warehouse_id,orders_processed,avg_picking_time_minutes,labor_utilization_percent,efficiency_rating
172,4761,31,53,Low
178,4710,24,59,Low
181,4518,7,69,Low
35,2174,27,58,Low
155,7619,26,83,High
135,2007,28,83,High
124,3237,22,62,High
99,6951,16,89,High
149,7131,16,71,Low
37,2443,39,98,Low
129,984,30,80,Low
68,821,37,63,High
41,149,34,78,High
47,1683,28,55,High
164,7490,26,93,Low
195,2684,11,66,Low
103,5256,39,65,Low
67,7188,8,56,Low
99,5733,26,53,High
43,2624,23,51,High
44,7829,15,72,High
160,4366,5,96,High
184,2271,8,87,Low
129,7876,5,63,Low
124,4005,11,89,Low
181,5466,35,86,Low
72,453,34,79,High
158,6053,18,91,Low
150,1090,33,98,Low
136,2014,11,59,High
112,4160,6,74,Low
132,5246,10,58,High
100,1022,17,61,Low
191,1513,25,58,High
4,6419,19,55,Low
134,5383,25,93,High
178,7386,9,91,High
23,4566,10,68,Low
174,4907,30,84,Low
17,7680,14,98,High
17,4040,28,80,High
153,2448,6,64,Low
122,6349,23,96,High
81,5433,11,74,High
3,963,29,76,High
84,3161,20,73,High
178,6419,36,77,High
74,4572,30,56,Low
26,5454,22,51,Low
166,6083,9,54,Low
194,5954,6,65,High
178,6934,13,76,High
126,3468,21,57,Low
155,5121,6,99,Low
103,3600,29,72,Low
179,4406,20,90,High
176,1535,37,79,Low
121,1299,32,70,High
73,1667,30,68,Low
83,1389,10,97,High
171,6187,24,83,High
151,7709,7,96,High
172,2238,20,74,Low
162,463,20,70,Low
31,2329,28,81,High
105,6677,26,57,Low
186,3194,13,57,Low
182,2329,23,88,Low
30,5403,22,61,Low
124,1030,33,79,Low
184,3155,7,72,Low
10,4362,34,92,High
53,2804,29,90,High
110,603,39,96,Low
40,3848,14,57,Low
178,7762,18,93,High
84,2673,19,63,Low
73,4491,6,53,High
177,4082,14,72,High
53,318,32,83,High
124,4338,16,91,Low
45,7957,38,50,High
157,1028,39,94,High
177,1593,6,63,High
54,7457,25,64,Low
159,3223,18,64,Low
74,6482,23,94,Low
47,5035,34,87,High
31,4780,15,98,Low
99,4911,37,83,Low
177,2499,21,51,Low
28,7968,14,64,Low
102,1710,33,68,Low
149,6380,10,99,Low
96,3615,29,93,Low
18,6787,23,95,High
114,4585,22,58,Low
123,4755,20,71,High
77,6363,17,63,High
184,2323,33,78,High
105,3825,20,98,High
194,706,36,90,Low
118,7473,15,98,Low
153,7975,8,98,Low
163,683,25,55,Low
151,7655,20,72,High
35,1479,24,70,Low
69,7920,32,78,Low
107,5295,21,80,Low
125,3931,39,50,Low
69,5293,34,67,High
179,5123,22,59,Low
29,4472,23,70,Low
31,4272,32,88,Low
187,7005,34,57,Low
143,7448,9,50,Low
158,7700,39,90,Low
60,6915,37,70,High
125,380,22,78,High
61,403,18,96,High
142,2391,37,94,Low
26,4282,12,55,Low
106,7304,18,65,High
20,7339,38,82,Low
105,6762,27,98,High
197,3611,21,74,High
32,3838,8,71,Low
28,5954,13,81,High
32,7288,8,67,Low
59,4786,22,81,Low
57,2828,33,56,High
40,4502,7,53,Low
77,7816,15,53,High
155,1458,17,94,High
30,6486,26,90,Low
31,665,26,96,Low
190,4336,8,83,Low
113,156,28,73,High
3,3769,38,83,Low
168,783,20,63,Low
146,5184,39,83,High
90,4488,7,90,Low
45,2093,25,57,Low
31,2784,14,55,Low
60,6122,15,75,Low
181,2719,24,85,High
41,3308,9,65,Low
76,6070,36,82,Low
109,5131,35,77,Low
18,6724,24,95,High
160,2271,17,75,Low
152,4322,34,85,Low
34,115,29,86,Low
1,4038,28,89,Low
76,1037,17,98,Low
31,7777,22,83,Low
64,1486,33,61,Low
37,6187,17,51,High
162,1296,36,86,Low
175,3529,7,60,Low
92,6052,8,72,Low
4,608,31,78,Low
183,3518,11,74,Low
51,6931,24,62,Low
116,7015,9,94,Low
37,6741,36,99,High
133,7696,31,62,High
146,1963,32,59,High
90,6565,34,81,Low
8,4949,5,61,High
52,6809,16,82,Low
41,7216,25,66,Low
5,2936,39,88,Low
108,932,13,94,High
18,4484,9,85,Low
92,4627,6,90,High
153,6410,7,93,Low
7,6565,27,82,High
32,1692,11,71,Low
51,6472,11,77,Low
141,1531,28,52,Low
5,5989,39,87,High
26,1429,16,98,Low
180,4837,8,85,High
155,5259,14,58,Low
100,5018,26,84,High
85,6145,18,70,Low
88,4807,19,97,Low
31,1208,14,50,High
197,375,20,99,High
18,5532,10,75,Low
117,7168,33,74,Low
14,3961,7,66,Low
77,6338,19,77,Low
121,7118,14,52,Low
164,4108,23,87,Low
14,6753,38,89,High
48,3420,22,61,Low
92,2506,34,79,Low
58,5884,24,98,Low
85,3001,39,60,Low
186,5102,15,88,High
128,393,12,73,Low
154,2342,29,64,Low
4,1919,10,90,Low
115,6907,28,53,Low
194,6985,35,83,Low
118,6673,32,95,Low
12,2408,32,66,Low
24,7601,28,67,High
166,2353,12,68,Low
96,1600,11,79,High
140,3234,20,83,High
134,5842,21,87,High
144,6749,34,97,Low
157,7076,17,73,High
131,3649,26,91,High
179,7455,27,76,Low
114,539,19,94,High
129,6990,20,56,Low
179,5794,25,90,Low
193,1359,17,69,High
138,4479,21,81,High
122,3969,17,58,Low
18,4230,11,88,Low
189,5676,32,76,High
58,3859,20,67,Low
163,4243,26,73,High
195,7063,35,61,Low
172,2939,19,53,Low
193,4213,12,70,High
10,550,27,81,High
79,2076,35,51,Low
65,6375,11,85,High
165,2263,13,60,Low
95,6869,35,57,Low
154,6859,28,60,High
110,5845,24,60,Low
149,3592,29,78,High
19,7028,16,70,Low
49,6574,25,60,Low
29,2082,12,93,Low
128,3372,18,50,High
99,3362,31,64,Low
172,1766,28,57,Low
62,3092,34,81,High
95,1079,17,72,High
161,7237,8,68,High
64,1064,21,77,Low
120,1642,31,59,Low
58,4739,21,88,Low
121,5965,7,85,Low
152,3658,17,61,High
95,6218,35,91,High
9,7692,14,88,High
98,506,14,90,Low
76,4326,21,65,High
188,6575,17,79,Low
30,3174,12,61,High
3,5300,26,76,High
107,7891,30,85,High
75,2645,12,64,Low
67,4778,37,86,Low
183,165,11,95,High
44,3351,39,97,High
59,1013,20,64,High
184,7672,39,90,Low
75,6440,16,56,Low
70,7319,7,77,High
122,1045,23,74,Low
123,1219,23,79,Low
20,5403,7,94,Low
182,6647,31,95,High
49,1125,37,83,Low
176,5569,14,64,Low
64,1450,17,59,High
60,2522,27,86,High
80,6541,31,60,Low
175,1105,23,63,Low
148,693,38,67,High
63,1058,36,74,Low
55,6838,27,50,Low
192,1664,21,74,Low
173,4082,24,84,High
23,2981,25,85,Low
15,868,20,50,High
165,3920,21,69,High
133,130,39,75,High
188,6626,22,61,High
121,2921,32,86,Low
176,3204,29,68,High
61,7327,19,72,Low
160,5531,33,72,High
177,3677,39,74,High
174,4598,9,95,Low
19,230,11,51,Low
119,2378,6,93,Low
82,2651,38,73,Low
197,2180,13,54,High
56,4092,33,87,High
151,5537,31,71,Low
196,4643,29,81,Low
32,175,13,53,Low
107,4754,34,93,High
163,3080,5,75,Low
28,6582,11,72,Low
112,1186,18,64,Low
103,2934,20,83,Low
199,3661,15,81,Low
113,3806,27,90,High
123,3648,32,98,High
142,4863,14,94,Low
141,3088,14,93,High
74,1974,30,58,Low
80,1722,18,94,Low
75,1398,30,82,High
40,1152,8,59,High
129,498,13,61,Low
38,4233,15,90,Low
120,4331,20,74,Low
66,837,19,53,High
15,5516,14,70,Low
157,7406,24,52,High
102,3111,26,81,High
139,1679,36,51,High
107,5413,8,81,High
30,6482,12,99,Low
9,7654,35,54,High
143,2723,34,75,Low
102,3278,33,73,Low
111,7458,27,88,Low
138,1360,12,75,Low
52,5249,30,94,High
89,3306,31,81,Low
131,2683,22,78,Low
100,4128,25,52,Low
3,5503,18,95,Low
198,6159,33,65,Low
46,4392,17,93,Low
78,469,18,51,High
176,2143,17,55,High
56,2213,7,95,Low
193,6645,6,84,Low
60,2542,15,62,High
188,4937,18,88,Low
116,3280,27,92,Low
196,2254,31,50,Low
78,5444,39,97,Low
176,4332,11,50,High
139,4414,26,74,High
14,1900,34,55,High
113,4554,6,78,Low
128,5766,11,67,High
40,6199,39,63,Low
35,3295,22,76,Low
149,3981,31,96,High
98,3321,33,67,Low
39,3074,21,89,Low
57,6968,27,90,Low
15,7728,16,87,Low
158,6018,17,62,Low
11,6696,7,91,High
169,6050,6,95,Low
102,7094,19,96,High
67,4564,21,69,High
49,6509,17,61,Low
191,6980,35,72,High
171,2161,21,58,High
110,3636,21,76,High
149,230,19,51,High
6,7436,30,68,Low
111,657,38,65,Low
100,612,22,90,Low
75,2415,9,98,High
103,558,8,84,High
14,5116,38,56,High
150,7783,23,95,High
7,2130,37,73,High
90,4058,19,98,High
170,4880,15,68,Low
115,1847,28,57,Low
185,7847,18,84,Low
121,7209,37,74,Low
60,3604,37,54,High
134,1639,15,81,High
20,6213,15,57,High
2,3313,22,76,Low
124,4494,6,79,Low
113,696,17,85,High
185,2165,12,62,Low
180,6007,28,65,Low
106,2940,27,81,Low
86,1153,21,71,High
71,1687,31,61,High
128,6069,25,90,High
25,2735,9,97,High
189,7354,21,82,Low
38,3465,20,52,Low
183,1998,28,70,High
168,911,16,78,Low
185,3228,27,82,Low
108,7129,25,90,Low
168,3992,8,64,High
135,4254,14,62,High
188,245,14,77,High
27,162,5,76,Low
74,192,9,69,Low
66,156,23,84,Low
41,1267,39,73,Low
100,6557,31,81,High
188,5974,21,73,High
169,6950,19,75,High
129,3733,25,64,Low
57,151,18,77,High
191,4682,15,98,Low
65,5427,30,60,High
64,1774,31,97,High
174,5971,10,74,High
84,7622,21,58,Low
12,3930,31,88,Low
72,4624,26,61,Low
128,445,38,99,Low
123,1092,7,65,High
56,1130,22,70,Low
184,2793,8,51,High
3,4468,31,88,Low
186,6997,10,91,High
11,1352,36,61,Low
193,4189,30,90,Low
29,1224,19,98,Low
69,4116,16,58,High
48,3930,28,77,High
63,3348,37,60,Low
159,6057,29,99,Low
82,2608,36,69,Low
32,6943,34,77,Low
132,3897,29,69,Low
92,3547,25,75,High
113,7876,26,59,High
75,6051,5,65,High
160,2790,16,68,Low
123,6843,28,98,Low
63,2458,31,71,Low
78,1602,26,86,Low
25,2202,7,66,Low
135,1295,17,66,Low
47,7861,34,93,High
185,3221,13,89,Low
166,6228,14,99,High
183,4201,12,82,Low
9,5656,35,50,High
178,1663,23,52,Low
15,6408,32,81,High
23,2432,16,97,High
163,3038,34,87,High
91,7661,10,61,Low
152,6584,35,67,Low
29,7505,11,93,Low
171,6833,18,77,Low
155,4867,32,99,High
49,6140,33,56,Low
43,2546,10,64,Low
101,7293,7,76,High
70,1310,31,66,Low
45,6853,27,60,Low
130,3671,39,82,Low
103,5697,7,87,Low
158,4624,8,67,Low
47,5221,22,79,High
36,7797,5,82,High
2,3942,37,85,Low
192,4369,33,91,Low
63,523,27,75,High
58,3236,31,72,High
105,7274,26,64,High
92,2036,8,76,Low
76,2162,17,84,High
189,983,36,96,High
12,4887,21,98,High
52,6857,31,69,Low
171,4703,37,55,Low
25,322,30,86,Low
153,7896,35,71,Low
22,3396,20,81,Low
177,6788,29,82,Low
182,1187,34,60,High
24,385,33,96,Low
148,3353,12,59,Low
193,4426,25,68,Low
57,4273,32,67,Low
198,5737,30,84,Low
122,1903,14,75,Low
58,3825,5,81,High
127,5412,33,78,Low
62,6604,11,91,High
173,630,30,70,Low
55,7606,12,92,Low
152,2343,36,92,Low
68,930,12,77,Low
83,6748,39,51,High
59,4210,25,96,High
118,1193,5,88,Low
92,4711,10,88,Low
127,1243,31,59,High
18,4176,16,57,Low
161,2203,16,82,Low
87,2783,31,75,Low
172,5266,13,51,High
153,6263,29,76,Low
86,1394,39,88,High
128,6194,38,86,Low
196,4512,18,63,High
170,7485,27,61,High
24,3866,36,93,Low
188,6713,21,82,High
116,5684,24,58,High
25,2937,20,50,High
156,6272,9,58,Low
54,4804,34,51,High
146,4074,32,88,High
138,5249,21,80,Low
155,1155,29,58,Low
26,6531,18,95,Low
127,832,7,96,Low
79,6206,38,67,Low
158,4069,32,73,Low
160,4799,25,50,High
90,3191,10,71,Low
191,4771,9,92,High
184,218,18,83,High
163,1299,34,55,Low
103,5537,8,86,Low
71,5865,8,69,Low
152,2150,16,68,Low
35,4396,25,64,Low
156,6883,26,99,High
68,5874,27,95,Low
43,6778,19,90,High
74,2155,11,65,High
82,5340,13,50,Low
122,265,7,55,High
116,5757,23,98,Low
147,5325,22,86,Low
50,6566,37,54,Low
48,7220,31,98,Low
165,3625,27,65,Low
11,4896,34,60,Low
52,4743,19,97,High
35,5277,23,71,High
190,5961,37,74,High
86,1960,11,61,High
14,5793,34,90,Low
176,6561,18,62,Low
42,796,13,55,Low
170,189,7,54,Low
82,1882,6,73,Low
134,3569,21,73,Low
136,973,9,59,Low
5,3971,38,79,High
2,5971,38,85,High
133,3030,21,99,Low
77,4065,10,79,High
164,4727,24,96,Low
132,3750,33,80,Low
22,4534,21,83,Low
56,1441,23,52,Low
112,2640,29,51,Low
5,5726,36,98,Low
138,2853,33,86,Low
142,7208,9,99,High
25,3838,18,75,High
157,2021,32,64,Low
46,7360,37,68,High
126,5764,14,93,Low
1,686,15,79,High
118,208,33,78,Low
67,6014,8,64,High
166,6079,9,92,Low
82,7891,27,87,High
139,2961,29,93,Low
101,1346,13,54,High
40,3013,25,52,Low
163,7483,8,62,High
70,870,35,59,Low
38,3239,33,68,High
28,5882,5,74,Low
79,5450,24,69,Low
154,1029,35,59,High
21,5075,25,71,Low
155,7355,14,59,Low
188,2088,14,55,High
37,3635,9,80,Low
32,5066,36,65,High
188,2420,24,56,Low
125,2718,18,89,High
90,7858,17,93,Low
111,3072,30,80,High
72,6718,6,87,High
153,5145,11,56,High
172,800,10,97,Low
112,3858,34,92,Low
178,2693,7,59,High
132,4794,27,68,High
17,1311,33,68,High
59,3918,39,94,Low
117,7993,6,66,Low
61,6275,14,56,High
60,3910,25,90,High
18,4817,39,67,Low
119,2545,18,86,High
170,5164,33,91,High
191,5372,25,90,Low
88,2386,9,68,Low
88,5626,31,95,Low
153,7211,15,64,Low
11,3905,27,58,High
22,646,33,63,Low
57,517,24,53,Low
124,4910,37,95,Low
118,3796,27,86,Low
117,2798,35,95,High
179,4993,5,89,High
140,1810,21,94,High
91,5019,25,58,High
126,7571,13,90,High
99,2233,22,87,High
87,4368,29,82,Low
79,5275,14,61,Low
183,4609,21,52,High
98,878,21,55,Low
148,1031,31,79,High
148,4261,21,59,Low
2,628,21,57,High
16,5304,26,63,Low
148,2257,17,64,Low
50,4332,28,80,High
99,7788,13,86,High
161,180,27,94,Low
85,6871,22,58,Low
153,7734,25,85,High
184,7018,18,97,High
96,4636,27,65,High
197,5487,12,59,Low
103,7829,34,69,Low
92,4274,7,87,Low
41,6899,15,81,High
27,939,16,55,High
192,3126,15,73,Low
66,5285,29,52,Low
150,7124,25,65,Low
181,525,11,93,Low
186,1314,18,63,Low
168,6941,16,63,Low
98,2904,30,94,Low
14,7604,10,80,Low
162,7096,31,68,Low
2,2862,18,53,Low
156,3273,9,59,High
196,4154,11,69,High
162,915,8,79,Low
2,4481,5,84,High
48,1777,17,62,Low
173,3075,14,83,High
67,1869,28,86,Low
84,1727,26,65,High
34,4305,7,91,High
34,6962,38,84,Low
114,4292,26,58,High
53,4726,35,72,Low
45,734,37,88,Low
130,2125,16,80,Low
36,1588,31,83,Low
158,3349,30,69,Low
16,6452,8,73,Low
21,2488,24,78,Low
137,2286,16,67,Low
70,1381,8,58,High
32,5880,6,79,High
70,4642,14,74,Low
145,2508,32,80,High
114,806,10,81,Low
133,5959,20,93,Low
35,2350,39,56,Low
57,2068,28,70,High
197,1391,35,96,Low
4,4495,21,72,High
135,6864,18,90,Low
184,6661,10,84,Low
44,4853,15,72,Low
188,628,7,58,Low
164,453,5,83,Low
3,7135,18,85,Low
74,970,39,51,Low
24,1326,22,73,Low
135,2200,22,63,Low
131,3810,11,86,High
67,6720,26,94,Low
178,6163,9,70,Low
121,1599,32,98,Low
106,397,19,86,High
28,2726,28,69,High
150,7660,37,62,High
13,2438,38,66,Low
51,1281,37,67,High
28,5924,27,83,Low
76,6676,29,84,High
163,7195,11,76,High
122,5191,13,83,Low
115,1814,17,72,High
171,440,18,89,Low
138,4059,23,76,High
176,6286,6,71,High
20,665,18,51,High
29,4872,11,56,High
157,1052,11,62,Low
101,927,12,71,Low
6,1250,20,68,Low
64,1912,24,80,Low
55,2267,29,67,Low
3,1965,10,56,Low
35,1074,33,59,Low
6,2937,26,80,Low
39,1288,15,90,Low
5,6553,34,66,Low
183,4063,13,68,Low
25,1698,39,60,High
126,2807,36,70,Low
103,3900,13,68,Low
154,1491,34,58,High
94,2738,5,53,Low
34,4185,7,59,High
65,7197,12,69,Low
181,4261,15,75,Low
96,5276,27,65,Low
38,5477,32,67,High
29,7420,9,70,Low
161,2505,10,55,Low
19,5192,31,87,High
184,6153,21,55,High
79,3670,28,72,Low
64,5481,31,73,Low
99,3702,35,84,Low
169,3489,16,52,Low
82,6793,12,67,Low
133,908,26,57,Low
188,4460,37,81,Low
193,3005,6,51,Low
173,3502,8,50,Low
73,5438,13,53,Low
17,284,23,56,High
72,387,25,81,High
159,5709,20,56,Low
37,5499,19,59,High
96,4497,8,89,High
166,6953,18,68,Low
81,2563,8,76,Low
26,2619,29,54,High
127,5085,21,67,Low
56,5449,26,78,Low
57,5398,26,94,High
135,1594,12,83,High
100,4887,35,56,Low
179,3473,18,50,Low
62,4710,31,67,High
194,2033,36,82,High
4,4167,14,94,Low
13,762,20,65,Low
122,7353,35,71,Low
141,2000,29,61,High
72,1438,7,61,Low
81,7307,27,99,Low
165,6961,12,73,High
190,1745,38,88,High
40,7303,38,61,Low
160,6800,31,62,High
47,2900,26,66,Low
40,1748,21,70,Low
18,6956,17,92,Low
131,266,37,58,High
145,5209,6,86,High
54,5321,26,53,Low
159,5459,16,77,Low
144,449,35,68,Low
198,2956,34,56,Low
18,3636,31,61,High
77,4597,33,75,High
35,1970,38,96,High
62,4987,23,66,Low
114,6515,33,50,High
43,5024,13,57,High
75,7343,35,77,Low
182,4849,31,77,High
96,6783,13,58,High
34,6386,31,76,Low
118,4206,24,79,Low
189,2521,35,79,Low
133,4350,24,56,Low
33,5989,22,77,Low
5,4757,32,66,Low
171,2937,27,61,High
116,3616,34,59,Low
136,6352,18,89,Low
183,5509,10,67,High
37,1403,9,96,Low
3,2012,35,76,High
20,7126,15,64,Low
107,346,11,97,High
26,7123,36,78,Low
138,3684,21,71,Low
23,6377,10,74,Low
141,3662,20,95,High
50,6637,27,90,Low
40,3459,30,89,Low
12,3366,6,73,High
194,4756,36,57,Low
125,339,36,61,Low
145,4435,11,73,High
15,3860,35,91,Low
188,3260,12,65,High
64,900,5,55,High
110,4764,7,57,High
155,5132,33,99,Low
175,4838,10,54,Low
13,3529,29,69,High
161,3022,10,57,High
118,5753,38,75,High
83,5027,28,75,Low
141,2010,14,93,High
32,4603,35,88,Low
149,7467,10,72,High
96,7001,10,61,Low
46,6332,23,78,Low
51,2423,17,78,Low
74,7045,38,65,Low
2,799,8,67,Low
152,1318,16,58,Low
88,6400,11,71,Low
28,7137,18,73,Low
1,2645,17,64,Low
138,7385,28,72,Low
144,6512,17,57,Low
175,4646,33,74,Low
91,764,14,99,High
169,875,38,65,High
63,5666,14,87,High
43,4823,15,89,Low
37,4460,27,80,High
6,539,14,96,Low
26,2347,14,77,Low
56,5243,10,55,Low
114,2152,38,74,High
34,1192,18,90,Low
113,4046,25,93,High
71,6052,39,83,High
179,5829,24,99,High
1,2939,19,93,High
85,7909,9,57,Low
90,3521,6,80,High
19,7152,13,66,High
9,2177,31,77,High
189,1384,12,73,High
60,838,17,64,Low
120,5631,33,53,High
168,5067,28,79,High
140,2321,23,84,High
134,6556,33,86,High
124,1228,25,84,High
163,1773,6,80,High
199,5324,34,62,Low
128,144,11,67,High
197,1899,9,50,High
192,3027,25,74,Low
184,711,16,62,Low
139,2739,39,51,Low
55,2476,20,61,High
5,7351,23,89,Low
174,7080,13,79,Low
61,7299,17,75,Low
84,6150,34,59,Low
126,6533,7,87,Low
24,4485,29,50,Low
13,4233,38,92,Low
71,2113,31,99,Low
33,2738,36,52,High
10,5959,26,98,High
67,334,19,51,Low
173,5469,7,67,Low
151,759,20,82,Low
14,4225,17,92,Low
5,3532,9,93,Low
190,4773,10,58,High
198,6643,25,91,High
9,6392,9,96,Low
37,7999,39,99,Low
53,2705,28,76,Low
67,1215,39,62,Low
199,2994,6,84,High
13,1502,34,64,High
43,4820,27,78,High
114,5193,36,68,Low
16,1315,37,94,Low
128,6414,24,51,Low
136,2895,22,60,Low
10,3395,8,59,High
83,6083,16,82,Low
189,1829,8,84,Low
92,4159,10,89,Low
95,320,9,84,Low
63,6117,21,80,Low
37,6323,14,52,Low
116,6620,12,71,Low
193,2992,29,52,Low
47,3967,11,81,Low
164,901,18,67,Low
75,2912,5,90,Low
96,3222,9,79,High
6,5436,31,60,Low
101,2751,22,50,High
153,4217,30,56,Low
177,2451,14,52,Low
92,7260,17,80,High
79,5437,19,93,High
10,1464,33,96,Low
91,3084,34,87,High
57,3605,8,54,Low
142,3571,19,61,Low
2,1329,11,81,Low
5,6946,8,79,Low
143,3014,9,55,High
184,1998,14,71,High
25,185,6,60,High
149,5188,5,53,High
60,2661,32,83,Low
183,7018,9,74,High
120,2403,15,59,Low
104,978,18,54,High
157,1802,27,73,High
1,3893,16,96,Low
69,750,35,56,High
20,6169,16,92,High
145,3745,21,63,Low
70,3432,12,72,Low
162,7986,28,58,High
72,3884,7,55,High
195,4157,28,93,Low
71,7617,34,67,Low
69,5099,30,78,High
169,1644,6,54,High
156,6447,34,83,High
51,6693,33,89,High
117,5665,31,93,Low
122,7645,12,71,Low
138,4807,10,73,Low
66,5167,32,60,High
136,6693,26,80,Low
94,7728,15,81,Low
88,4343,26,97,High
102,7189,25,67,High
38,4050,28,56,High
92,1429,39,77,Low
123,4541,12,92,High
111,5853,25,93,Low
167,3522,24,68,Low
38,5960,25,84,Low
71,4056,28,81,Low
115,3543,16,62,Low
54,4766,25,98,Low
100,6348,38,67,Low
52,3588,39,83,High
21,7505,30,74,Low
178,3254,8,88,High
192,6806,14,97,Low
13,2089,30,89,High
70,2860,5,53,Low
176,603,32,78,High
75,6580,36,93,Low
183,2431,37,64,High
195,4733,31,88,High
128,4661,20,85,Low
109,4463,25,98,Low
24,5674,34,62,Low
196,1444,33,62,High
103,7633,23,80,High
59,3575,11,69,High
36,2426,21,61,Low
145,5514,7,68,Low
188,5341,22,62,Low
75,6232,38,76,Low
110,2991,17,53,Low
77,1758,24,55,High
141,1688,19,86,Low
126,1134,16,76,High
182,1549,15,59,High
176,6697,6,81,High
144,5027,34,56,Low
96,5915,11,57,Low
104,4797,22,78,High
41,6284,20,53,Low
135,5119,5,67,Low
87,2100,39,93,High
63,2095,6,89,High
151,2924,38,66,High
190,4248,25,56,High
61,5688,31,78,Low
20,5501,20,65,Low
116,1505,6,52,High
91,5924,30,55,Low
18,1562,8,62,Low
135,7201,26,75,Low
197,4161,25,99,Low
32,4756,28,73,High
128,6655,14,64,High
79,3714,30,64,High
95,4535,22,66,Low
59,5645,29,72,High
78,5528,24,83,Low
151,5028,33,58,Low
119,5771,32,95,Low
30,7639,39,92,Low
89,6593,13,67,Low
47,6343,20,93,Low
142,3374,25,53,Low
69,5906,35,53,Low
105,2981,17,90,Low
192,2712,13,91,Low
159,6696,16,54,Low
179,6033,34,83,Low
81,3376,30,55,Low
54,3429,9,93,Low
99,5210,13,61,High
40,6815,15,67,Low
128,4009,29,59,High
18,6521,24,52,Low
51,3713,23,88,Low
60,4142,32,78,Low
39,7527,9,67,Low
55,2953,15,63,Low
143,7568,7,65,High
86,2972,13,62,High
132,2529,37,64,High
198,431,25,90,Low
30,5214,30,78,Low
54,7594,22,78,High
194,4191,34,88,Low
56,5045,37,67,Low
114,2694,13,76,High
182,3758,14,85,Low
160,4023,19,73,Low
78,6857,26,91,High
95,2082,5,58,Low
27,5747,26,89,Low
42,416,33,61,High
33,2250,8,55,Low
6,2383,30,81,Low
114,2544,33,57,Low
143,1124,22,89,Low
177,6446,28,97,Low
157,3772,5,68,Low
94,2565,22,76,Low
191,229,24,97,High
102,1805,23,92,Low
158,1307,25,53,Low
97,2777,11,72,Low
160,7694,8,56,Low
46,7841,10,90,High
151,2743,13,78,Low
186,5581,35,76,High
171,3648,25,85,Low
75,2656,13,63,High
186,3473,32,92,Low
122,7180,37,80,High
164,3718,23,94,High
153,1972,24,89,Low
49,7255,14,92,Low
16,3910,24,72,Low
152,1259,35,65,High
175,7484,20,50,High
142,2950,13,71,Low
90,7067,16,73,Low
192,2670,13,58,Low
148,6480,27,98,Low
94,2583,6,63,High
199,7306,21,59,Low
176,2631,17,87,Low
178,561,19,98,High
95,1347,32,79,Low
169,5220,30,73,Low
85,464,36,77,Low
112,609,14,65,Low
52,6930,34,59,Low
43,6007,32,88,High
107,6729,21,52,Low
54,410,28,73,High
133,7616,18,99,Low
54,4418,8,84,Low
69,7762,21,93,Low
28,2808,11,52,High
113,5992,8,57,Low
36,1498,34,71,High
133,6421,26,71,High
181,1383,18,99,Low
56,4802,5,88,Low
187,1979,5,50,Low
24,952,25,90,Low
136,2864,20,71,Low
113,2400,8,97,Low
132,7014,19,65,High
102,1044,34,66,High
55,5929,10,56,Low
22,3101,21,72,Low
75,5205,38,60,Low
154,207,6,54,High
37,5153,35,62,High
81,6269,29,96,Low
20,6428,15,75,Low
1,5769,37,93,High
23,4601,18,73,Low
79,1620,27,94,Low
115,3193,37,78,High
40,5835,18,79,High
62,814,25,70,Low
115,6277,8,57,Low
173,6936,5,57,High
149,2422,32,93,High
193,1768,11,98,Low
145,6058,9,56,Low
16,6057,23,89,Low
32,7467,7,61,Low
178,2100,25,58,High
53,1987,9,92,Low
55,1851,26,92,High
169,3252,17,69,High
27,5360,25,53,High
114,7340,29,97,High
40,3199,23,76,Low
39,5125,15,55,Low
152,2161,13,50,High
110,7222,28,85,Low
130,194,10,92,High
57,677,12,77,Low
80,663,29,75,High
123,6765,7,75,High
87,520,24,52,Low
104,3976,7,89,Low
117,853,18,89,High
36,2082,14,72,High
82,6901,20,67,Low
6,485,26,51,Low
166,4308,11,72,Low
141,2355,9,86,Low
183,5925,25,59,Low
36,6476,8,55,Low
52,4617,18,80,High
142,6479,26,97,High
81,4100,27,92,Low
89,610,31,54,High
48,4431,25,59,High
76,864,10,97,Low
120,1882,32,86,Low
145,7834,26,83,Low
30,5903,32,51,High
71,1661,21,97,Low
172,6456,12,63,Low
62,2353,23,76,Low
45,5437,14,82,High
112,4355,10,86,Low
191,3644,39,56,Low
4,7717,15,61,Low
161,7806,5,94,Low
31,155,6,54,High
131,6890,39,92,Low
117,4740,33,61,Low
185,3184,12,90,High
65,6612,7,96,Low
44,4772,37,78,High
104,7993,36,69,Low
189,3056,17,54,Low
96,4288,14,65,Low
143,6360,21,88,Low
37,3909,31,76,Low
86,2587,5,83,High
54,2741,22,51,High
127,6859,13,53,High
66,5473,29,81,High
46,4881,19,65,Low
181,6274,10,76,High
51,367,15,92,High
76,4463,27,52,Low
140,2000,34,57,Low
110,5333,11,50,Low
25,6622,27,88,High
172,5903,31,82,High
102,959,34,82,High
135,1602,39,89,Low
120,5121,32,61,High
41,1043,20,98,Low
128,303,13,99,Low
86,6169,26,75,Low
93,6296,19,98,Low
190,7910,30,57,Low
176,6150,9,58,Low
164,4007,13,57,Low
174,2723,17,51,High
145,7642,28,93,Low
40,2409,12,58,High
11,4666,19,65,Low
71,6275,11,63,High
31,6799,27,84,Low
110,3814,35,73,High
31,3693,34,61,Low
12,4514,6,99,Low
60,7291,29,87,High
116,782,22,58,Low
