customer_id,monthly_revenue,customer_lifespan_months,customer_lifetime_value,segment
17977,6845,7,47915,High Value
2734,5165,53,273745,Mid Value
14263,283,27,7641,Mid Value
937,4639,25,115975,Mid Value
14174,2638,47,123986,Mid Value
19526,654,26,17004,High Value
7953,2751,17,46767,High Value
10898,7056,11,77616,High Value
404,2681,32,85792,Low Value
15248,5513,37,203981,Mid Value
19849,8318,53,440854,Low Value
11231,5239,51,267189,Low Value
8937,4767,22,104874,Low Value
8447,3026,59,178534,High Value
16990,6836,3,20508,High Value
9171,8219,42,345198,High Value
19653,2644,30,79320,Mid Value
542,2561,7,17927,Low Value
12548,8048,47,378256,Mid Value
10207,9922,20,198440,High Value
49,9461,48,454128,High Value
7639,9328,8,74624,Mid Value
8454,3928,37,145336,Low Value
19921,8858,40,354320,High Value
18471,6674,21,140154,High Value
19979,8913,18,160434,Low Value
8330,3795,47,178365,Mid Value
2497,9286,47,436442,Low Value
24021,7028,54,379512,Low Value
11020,544,37,20128,Mid Value
19747,912,28,25536,High Value
19369,274,38,10412,High Value
13729,2787,51,142137,High Value
21715,4449,3,13347,High Value
21055,9404,12,112848,High Value
25053,4559,19,86621,Low Value
9666,4957,23,114011,Low Value
28178,9760,18,175680,Mid Value
28876,350,48,16800,Mid Value
4703,8089,5,40445,Low Value
15266,2152,41,88232,Low Value
21942,7374,39,287586,Mid Value
28380,1663,18,29934,Low Value
21976,993,9,8937,High Value
13676,8890,53,471170,Low Value
16777,4166,14,58324,Low Value
21931,6233,9,56097,Mid Value
18806,6015,45,270675,Mid Value
13058,2023,9,18207,Low Value
17563,5677,54,306558,Low Value
5601,4395,4,17580,High Value
21179,421,6,2526,High Value
22303,9724,6,58344,High Value
22988,7726,44,339944,Low Value
17187,9480,4,37920,Mid Value
21230,5619,47,264093,High Value
6935,5558,9,50022,High Value
24697,9094,26,236444,High Value
17657,8708,58,505064,Low Value
27059,534,5,2670,High Value
1327,8159,21,171339,Low Value
29156,7040,15,105600,Low Value
3120,9875,42,414750,Mid Value
2789,4888,21,102648,Low Value
9867,7776,52,404352,Mid Value
11983,2123,17,36091,Mid Value
1734,7093,5,35465,High Value
17360,1744,1,1744,High Value
24586,4901,18,88218,High Value
7010,8243,43,354449,Low Value
11262,3865,29,112085,Low Value
12586,1899,55,104445,Low Value
12487,8181,14,114534,High Value
7748,4688,21,98448,Mid Value
8268,3707,11,40777,Low Value
8261,8039,18,144702,High Value
20574,2777,55,152735,High Value
8648,6772,52,352144,Low Value
3554,5894,59,347746,High Value
16472,8532,43,366876,High Value
4828,998,44,43912,Mid Value
299,5112,12,61344,High Value
114,1068,29,30972,Low Value
24919,1354,53,71762,High Value
26512,9928,3,29784,High Value
6084,5708,12,68496,Mid Value
7889,8766,18,157788,High Value
16515,7795,27,210465,Low Value
15626,956,5,4780,High Value
29199,2080,36,74880,Low Value
16903,4555,24,109320,Low Value
10708,6405,14,89670,Mid Value
4493,9892,54,534168,Low Value
17917,8938,5,44690,Mid Value
10140,9955,54,537570,Mid Value
1379,4042,48,194016,Mid Value
9362,4518,58,262044,Mid Value
21170,679,35,23765,Low Value
2497,9922,46,456412,High Value
18649,8593,54,464022,Low Value
13689,584,22,12848,Low Value
29737,4116,44,181104,Low Value
1483,3976,17,67592,Low Value
11137,4211,23,96853,High Value
17831,8122,36,292392,Low Value
15682,3080,40,123200,High Value
28906,5373,49,263277,Low Value
25209,2388,26,62088,High Value
14675,2809,14,39326,High Value
28963,6104,2,12208,Mid Value
9701,7748,35,271180,Low Value
25145,651,28,18228,High Value
12293,5242,4,20968,Low Value
17848,5126,24,123024,Mid Value
5391,6267,43,269481,High Value
20427,8203,7,57421,Mid Value
12252,8970,44,394680,Mid Value
3638,886,12,10632,High Value
26501,1625,5,8125,Mid Value
10309,7510,10,75100,High Value
13761,8220,24,197280,Mid Value
6044,6377,40,255080,High Value
10701,8858,39,345462,Low Value
20000,1242,39,48438,Mid Value
13186,5351,30,160530,Low Value
13137,5005,27,135135,Low Value
25023,5510,25,137750,Mid Value
9766,2588,21,54348,Mid Value
27319,8055,55,443025,High Value
28812,631,14,8834,High Value
23746,1576,22,34672,High Value
20838,1965,59,115935,High Value
4523,2072,5,10360,Low Value
4042,7367,37,272579,Low Value
4126,868,11,9548,Mid Value
9887,6419,8,51352,High Value
13195,229,16,3664,High Value
13170,1431,29,41499,Low Value
10937,5040,39,196560,Low Value
1779,969,31,30039,High Value
13700,1685,19,32015,Mid Value
11437,9424,41,386384,Mid Value
16022,1840,37,68080,Low Value
19955,7152,49,350448,Mid Value
5859,2110,56,118160,High Value
25215,7140,12,85680,Low Value
11061,2517,56,140952,Mid Value
22962,5197,19,98743,High Value
23059,3866,1,3866,Mid Value
11480,1399,51,71349,Low Value
27359,9487,56,531272,High Value
4052,1835,39,71565,High Value
20124,4660,18,83880,Low Value
19085,7583,49,371567,Low Value
14702,1396,39,54444,Low Value
8258,5451,51,278001,Low Value
25745,927,48,44496,Mid Value
17169,2471,17,42007,High Value
7372,1737,20,34740,Mid Value
24373,4323,43,185889,Low Value
17694,2222,30,66660,Low Value
15388,7549,9,67941,Low Value
11992,1175,26,30550,Low Value
1333,3113,29,90277,High Value
12187,9527,15,142905,Low Value
5059,9703,12,116436,High Value
10271,3200,31,99200,High Value
17636,7509,44,330396,Mid Value
5550,5918,31,183458,Low Value
22244,5090,2,10180,Low Value
16689,8590,13,111670,High Value
26192,1100,54,59400,Low Value
12095,4063,8,32504,High Value
19498,7863,45,353835,Mid Value
22705,2361,22,51942,Mid Value
13704,7220,25,180500,Low Value
16305,6471,26,168246,Mid Value
26545,1006,58,58348,High Value
6215,6551,36,235836,High Value
16488,7029,48,337392,Mid Value
7168,9946,43,427678,High Value
208,1528,34,51952,Low Value
4345,8160,55,448800,High Value
3846,1878,32,60096,Mid Value
2632,1634,16,26144,Low Value
8118,2080,53,110240,Mid Value
16895,9303,12,111636,High Value
13636,3214,45,144630,Mid Value
11459,2360,24,56640,High Value
14039,3013,1,3013,Mid Value
17160,8285,41,339685,High Value
17379,7980,52,414960,High Value
28645,696,13,9048,Low Value
13949,8375,37,309875,Low Value
17299,2749,57,156693,Low Value
24614,9985,24,239640,Mid Value
14955,6506,41,266746,Low Value
14225,9597,24,230328,Low Value
4547,7455,24,178920,Mid Value
13705,5861,36,210996,Low Value
29699,4739,57,270123,High Value
16548,9331,4,37324,Low Value
13713,7674,18,138132,Mid Value
10040,721,56,40376,Low Value
22087,8752,53,463856,Mid Value
26813,9417,7,65919,Low Value
4463,1667,25,41675,Low Value
23822,4099,27,110673,High Value
25283,2741,48,131568,High Value
3457,5108,40,204320,Mid Value
28616,7933,16,126928,Mid Value
17435,2890,19,54910,Mid Value
5586,2129,23,48967,Mid Value
10252,9841,31,305071,Low Value
1128,1774,39,69186,Low Value
11851,2586,57,147402,Mid Value
22022,7753,9,69777,Mid Value
21053,4926,51,251226,High Value
18252,3438,38,130644,Low Value
17230,2243,10,22430,Low Value
17832,3680,24,88320,Mid Value
22212,4619,36,166284,High Value
4483,1590,26,41340,Mid Value
9566,6412,51,327012,Low Value
25009,2589,46,119094,Mid Value
8698,4380,39,170820,Mid Value
29522,9407,29,272803,High Value
10081,6590,7,46130,Low Value
23504,8888,20,177760,Mid Value
28348,6610,16,105760,High Value
21523,5091,46,234186,Low Value
24463,2909,24,69816,Low Value
605,5344,23,122912,Mid Value
25678,4115,17,69955,High Value
6324,8802,42,369684,Low Value
3957,8961,14,125454,High Value
29877,3253,49,159397,Mid Value
26843,4555,47,214085,High Value
20922,3733,52,194116,Mid Value
20210,8847,34,300798,Low Value
747,2107,4,8428,Low Value
20074,5908,39,230412,Low Value
27091,780,9,7020,High Value
15844,3845,33,126885,High Value
22843,3296,47,154912,High Value
4605,683,27,18441,High Value
12740,3460,16,55360,Low Value
22552,2659,33,87747,High Value
8697,3427,1,3427,High Value
4739,6953,41,285073,Mid Value
1813,1319,20,26380,Low Value
28831,2193,46,100878,Mid Value
16321,5568,26,144768,High Value
18066,7871,42,330582,Mid Value
15368,910,17,15470,Low Value
5325,4118,6,24708,Low Value
16565,9404,53,498412,Mid Value
15434,5227,20,104540,Low Value
29821,1587,9,14283,Low Value
11031,4852,11,53372,Low Value
9906,9572,18,172296,Low Value
13757,7963,33,262779,Mid Value
27591,9038,35,316330,High Value
13136,1805,47,84835,Low Value
14613,9472,50,473600,High Value
22889,3807,39,148473,Low Value
9471,3726,28,104328,Mid Value
14064,1954,59,115286,Mid Value
25411,7231,29,209699,High Value
5831,6813,44,299772,Low Value
6652,575,30,17250,Mid Value
8242,5113,6,30678,Mid Value
184,5963,19,113297,High Value
25677,5116,2,10232,High Value
10091,8885,49,435365,Mid Value
27572,8590,52,446680,High Value
7223,8701,16,139216,Mid Value
2983,4161,39,162279,Low Value
29445,3819,23,87837,High Value
5512,7101,52,369252,Mid Value
25542,6989,47,328483,High Value
10923,3309,20,66180,Low Value
9759,1617,22,35574,Mid Value
17736,1821,32,58272,High Value
16486,8451,39,329589,Mid Value
7126,8156,50,407800,High Value
24316,8451,42,354942,Low Value
16594,6751,46,310546,Low Value
12620,1152,26,29952,Low Value
2194,1944,9,17496,Low Value
19707,7176,40,287040,High Value
25464,4447,22,97834,High Value
13358,4202,4,16808,Low Value
19454,3809,33,125697,Mid Value
8320,2310,7,16170,Mid Value
8449,7377,9,66393,High Value
3016,6441,9,57969,High Value
1319,5390,58,312620,Low Value
9593,2494,53,132182,High Value
25058,7964,13,103532,High Value
506,3247,4,12988,Low Value
9092,9974,20,199480,High Value
19767,4716,59,278244,High Value
12667,2499,57,142443,Mid Value
29020,775,50,38750,High Value
6871,266,44,11704,Low Value
17370,2236,17,38012,Low Value
20736,7845,37,290265,High Value
24119,464,36,16704,Low Value
17378,983,49,48167,Low Value
20207,1030,55,56650,Mid Value
935,5925,19,112575,Mid Value
27705,8112,58,470496,Low Value
8441,929,38,35302,Low Value
11551,9877,31,306187,Low Value
17697,3358,20,67160,Mid Value
16118,2770,32,88640,Mid Value
8221,8912,47,418864,Mid Value
10702,3770,20,75400,Low Value
1525,7694,44,338536,High Value
14851,9773,14,136822,Low Value
18359,4448,23,102304,High Value
12847,7210,51,367710,High Value
17703,8067,1,8067,Mid Value
27225,9813,57,559341,High Value
12415,7915,14,110810,High Value
11976,6203,12,74436,High Value
15250,7948,33,262284,Low Value
28330,4684,28,131152,High Value
22091,3993,31,123783,Mid Value
5195,5211,27,140697,Mid Value
16736,5342,21,112182,Mid Value
11573,9523,11,104753,Mid Value
29564,5325,56,298200,Low Value
6256,1630,5,8150,Mid Value
23978,4172,1,4172,Low Value
26194,7405,22,162910,Mid Value
2367,5119,30,153570,Low Value
19152,8919,25,222975,High Value
2518,8996,56,503776,Mid Value
18041,214,50,10700,High Value
20401,7912,30,237360,High Value
27754,2951,8,23608,Mid Value
26993,4055,57,231135,Mid Value
5040,443,39,17277,Low Value
27513,9309,21,195489,Mid Value
25603,3068,41,125788,High Value
22421,6776,41,277816,High Value
16081,1677,18,30186,Low Value
21366,5019,39,195741,Low Value
18693,2166,47,101802,Mid Value
9226,5187,19,98553,High Value
21293,5738,14,80332,High Value
4640,1279,48,61392,Mid Value
17277,8609,54,464886,Mid Value
27226,4493,21,94353,Mid Value
18898,2661,25,66525,Mid Value
7476,2924,34,99416,Low Value
14415,6242,39,243438,Mid Value
11321,6450,24,154800,High Value
779,4359,9,39231,High Value
28708,2505,42,105210,Mid Value
14755,7494,50,374700,High Value
23948,6743,43,289949,High Value
14444,7046,22,155012,High Value
10928,6803,37,251711,Low Value
21561,2025,17,34425,Mid Value
8828,6697,39,261183,Low Value
15706,6410,28,179480,Mid Value
11968,8770,52,456040,Mid Value
28350,3966,12,47592,Low Value
26063,7870,13,102310,High Value
14639,7548,41,309468,Mid Value
25324,6389,50,319450,Mid Value
21722,2898,2,5796,Mid Value
19983,912,28,25536,Mid Value
10624,8849,45,398205,Mid Value
5156,1822,9,16398,Mid Value
11089,8599,22,189178,High Value
5017,8725,58,506050,Low Value
11765,1247,30,37410,High Value
22434,1383,3,4149,High Value
28359,7246,2,14492,High Value
23345,8974,7,62818,Mid Value
9458,2179,19,41401,Mid Value
7955,8701,24,208824,High Value
10416,5274,46,242604,High Value
4682,9140,14,127960,High Value
5330,6947,36,250092,High Value
13027,7935,33,261855,Low Value
4605,3083,39,120237,Mid Value
926,5304,53,281112,High Value
1013,5920,52,307840,Low Value
24860,8168,27,220536,High Value
2702,6535,55,359425,High Value
22728,738,33,24354,High Value
7693,9454,29,274166,High Value
1545,6265,58,363370,Mid Value
2766,7966,15,119490,High Value
24168,5402,9,48618,High Value
574,5847,17,99399,Mid Value
29584,5086,59,300074,Mid Value
28003,7560,7,52920,Mid Value
18003,1057,10,10570,Mid Value
5140,4022,39,156858,Mid Value
572,5726,54,309204,Mid Value
12560,6452,28,180656,Low Value
7016,1239,24,29736,Mid Value
8967,5485,57,312645,High Value
12973,9734,25,243350,High Value
18133,2459,36,88524,Mid Value
17863,5421,41,222261,High Value
29012,889,57,50673,Mid Value
4678,1150,1,1150,Mid Value
11075,3240,37,119880,Mid Value
13538,4993,29,144797,Mid Value
3291,2575,50,128750,Low Value
23182,8393,30,251790,Mid Value
17208,7027,44,309188,High Value
5240,3392,55,186560,High Value
9642,3996,35,139860,High Value
26797,8371,9,75339,Mid Value
1480,8654,1,8654,Low Value
4573,9727,36,350172,Mid Value
14441,6105,39,238095,Low Value
6791,6484,41,265844,Low Value
3396,7841,33,258753,Low Value
23111,348,26,9048,Low Value
22427,4253,18,76554,High Value
29089,7827,54,422658,High Value
6455,9516,31,294996,High Value
21941,9088,53,481664,High Value
16731,1398,48,67104,High Value
10417,6936,46,319056,Low Value
14764,5765,41,236365,Mid Value
25817,5797,6,34782,High Value
28449,8150,38,309700,Low Value
6180,9859,30,295770,Low Value
23837,6970,2,13940,Mid Value
13227,6731,42,282702,Low Value
18571,7341,52,381732,Mid Value
23940,9404,10,94040,Low Value
24553,5370,19,102030,Mid Value
318,395,43,16985,Mid Value
29647,2274,58,131892,Mid Value
1995,5256,58,304848,Low Value
28535,8273,10,82730,Low Value
2320,5715,20,114300,Low Value
735,4092,44,180048,Low Value
15175,7121,6,42726,Mid Value
21854,1598,41,65518,High Value
10138,7704,5,38520,Low Value
12958,7972,13,103636,High Value
14001,6621,2,13242,Mid Value
5912,7814,43,336002,High Value
3400,3343,33,110319,High Value
18227,8918,46,410228,High Value
14173,2674,7,18718,Low Value
26097,3635,3,10905,High Value
11334,2050,24,49200,Low Value
4361,4490,17,76330,High Value
11327,1826,44,80344,High Value
25719,5099,19,96881,Mid Value
29211,564,27,15228,High Value
8517,2217,43,95331,Mid Value
28568,8652,4,34608,Mid Value
7788,3609,42,151578,Mid Value
19863,1132,27,30564,High Value
28908,3387,53,179511,High Value
19042,9932,32,317824,High Value
29032,2000,11,22000,High Value
8576,1448,26,37648,Low Value
5329,7507,48,360336,High Value
6715,2608,24,62592,High Value
7301,7802,51,397902,High Value
27190,8893,35,311255,Low Value
19199,1470,43,63210,Low Value
12891,7479,53,396387,Low Value
4536,3933,21,82593,High Value
2070,487,20,9740,Mid Value
1599,4594,15,68910,Mid Value
21372,6025,14,84350,Low Value
1718,3518,24,84432,Mid Value
673,8300,23,190900,Low Value
25479,7738,57,441066,Mid Value
15715,6313,28,176764,High Value
24803,7470,10,74700,Mid Value
9179,1587,13,20631,Low Value
12846,4990,42,209580,Low Value
12876,210,21,4410,Low Value
10300,1887,27,50949,Mid Value
7239,4128,38,156864,High Value
13362,6226,53,329978,Low Value
26700,6815,18,122670,Mid Value
10301,5704,45,256680,High Value
7111,8944,42,375648,High Value
18671,6967,24,167208,Low Value
21265,5219,4,20876,Mid Value
2908,8579,14,120106,Low Value
14790,1000,18,18000,Low Value
14851,3665,45,164925,Mid Value
26129,8383,55,461065,Mid Value
7835,2082,13,27066,High Value
22809,1849,34,62866,Low Value
19379,4533,12,54396,Low Value
21596,4046,36,145656,Low Value
19330,5336,3,16008,Mid Value
9477,8298,36,298728,Low Value
27829,7055,30,211650,Low Value
9148,3319,54,179226,High Value
27751,9936,2,19872,High Value
22345,6157,5,30785,Low Value
355,8754,21,183834,Low Value
648,830,47,39010,Mid Value
2364,6172,1,6172,High Value
9622,4029,39,157131,High Value
17114,6919,50,345950,Mid Value
776,7674,7,53718,Low Value
10546,1853,19,35207,Low Value
11934,4439,7,31073,High Value
18491,9557,39,372723,Low Value
7170,9286,11,102146,High Value
11210,2137,19,40603,Mid Value
5862,8270,16,132320,High Value
23204,4510,41,184910,Low Value
3508,2160,18,38880,High Value
21195,779,44,34276,High Value
26863,424,6,2544,High Value
17803,5830,39,227370,Mid Value
1084,2856,57,162792,High Value
18118,1383,31,42873,Low Value
6262,5760,14,80640,Mid Value
24285,990,56,55440,High Value
14355,6273,59,370107,Low Value
28679,5160,41,211560,High Value
3474,3292,57,187644,Low Value
1572,9013,11,99143,Low Value
22569,9575,33,315975,High Value
7339,4769,34,162146,High Value
22699,7207,43,309901,High Value
29048,8780,58,509240,Mid Value
17425,2632,45,118440,Low Value
3431,8416,35,294560,Mid Value
26511,8971,44,394724,Mid Value
24458,651,47,30597,High Value
22647,808,21,16968,Mid Value
25398,1763,47,82861,Mid Value
1902,9717,46,446982,High Value
846,7062,29,204798,High Value
21013,7883,22,173426,High Value
4198,810,59,47790,High Value
22672,8594,42,360948,Low Value
18141,5885,26,153010,Mid Value
24276,9294,46,427524,High Value
20343,8418,10,84180,Mid Value
11988,285,59,16815,Low Value
8828,8731,16,139696,Mid Value
19384,4104,28,114912,Low Value
5485,5736,55,315480,High Value
17074,5921,32,189472,High Value
6090,6480,51,330480,Mid Value
10813,8641,17,146897,High Value
1325,9429,36,339444,Mid Value
22653,4770,42,200340,High Value
15312,9986,37,369482,High Value
11624,4015,56,224840,Mid Value
26898,5972,42,250824,High Value
29239,878,47,41266,Mid Value
4587,3746,45,168570,Low Value
26836,8552,16,136832,Mid Value
6416,6232,28,174496,Low Value
18792,1415,55,77825,High Value
11842,368,39,14352,High Value
7472,3148,31,97588,Low Value
1102,1100,55,60500,High Value
28374,2880,50,144000,High Value
2748,3697,51,188547,Mid Value
11350,4307,8,34456,High Value
4429,1275,40,51000,Low Value
18509,9556,36,344016,High Value
28987,4715,23,108445,Low Value
25325,3173,31,98363,Mid Value
29179,1407,59,83013,High Value
21131,3492,55,192060,High Value
25172,9180,22,201960,Low Value
18130,7096,53,376088,Mid Value
22894,8264,17,140488,Low Value
2477,4015,19,76285,High Value
4909,5926,13,77038,High Value
18604,7497,21,157437,Mid Value
12178,6335,26,164710,Mid Value
24658,9038,44,397672,Low Value
23940,6601,51,336651,High Value
25412,9009,56,504504,Low Value
1090,4620,24,110880,High Value
25910,4126,39,160914,High Value
16803,7340,23,168820,Mid Value
24874,9188,55,505340,Low Value
3819,1722,53,91266,Low Value
8800,6474,12,77688,Low Value
4852,9152,24,219648,Mid Value
25232,7575,31,234825,Mid Value
23696,5805,58,336690,Low Value
8285,3468,45,156060,Mid Value
11367,211,38,8018,Mid Value
28600,9399,10,93990,High Value
1166,2670,10,26700,High Value
13877,3983,17,67711,Mid Value
14045,1058,1,1058,Low Value
9090,1706,50,85300,Mid Value
19286,9236,55,507980,Low Value
1508,1263,10,12630,Mid Value
12784,2915,46,134090,Low Value
19359,6135,14,85890,Low Value
17091,4720,22,103840,Low Value
5484,8093,12,97116,High Value
23220,3292,43,141556,Mid Value
1234,7837,22,172414,Low Value
276,8574,24,205776,Mid Value
12778,2022,12,24264,High Value
29641,3663,28,102564,Mid Value
17615,8671,55,476905,Low Value
565,8034,50,401700,Mid Value
5432,4078,29,118262,High Value
19665,5401,41,221441,Low Value
2481,6199,18,111582,High Value
13162,3065,49,150185,Low Value
11206,7106,37,262922,Low Value
23110,2333,49,114317,High Value
15171,3531,19,67089,High Value
10414,1015,32,32480,High Value
24427,4875,6,29250,Mid Value
204,4910,52,255320,Low Value
5702,7991,34,271694,High Value
23097,1251,44,55044,Low Value
12530,7439,14,104146,Low Value
27699,6575,17,111775,Low Value
20109,364,54,19656,High Value
4930,291,48,13968,Mid Value
19497,4868,46,223928,Low Value
6123,4863,58,282054,Mid Value
5235,2598,36,93528,High Value
10516,1585,50,79250,High Value
7362,4635,24,111240,Mid Value
19973,4232,44,186208,Low Value
11767,1729,59,102011,Mid Value
28035,4355,45,195975,Mid Value
10293,2757,36,99252,High Value
17080,5945,37,219965,Low Value
16930,5203,20,104060,Mid Value
5334,1633,7,11431,Low Value
8072,9767,45,439515,Low Value
3206,3619,50,180950,High Value
26186,2111,14,29554,Mid Value
5795,6955,38,264290,High Value
6966,8907,47,418629,Mid Value
4710,8247,37,305139,Mid Value
3849,8424,1,8424,Low Value
27346,2675,17,45475,Mid Value
7769,1690,24,40560,Low Value
13157,312,22,6864,Low Value
15214,2431,29,70499,Mid Value
11684,7317,6,43902,Mid Value
17769,1999,25,49975,Low Value
29891,8677,13,112801,Mid Value
9481,6200,52,322400,Mid Value
28768,842,43,36206,Mid Value
4888,4692,1,4692,Low Value
18743,6794,46,312524,Low Value
1126,3783,54,204282,Low Value
7086,3542,14,49588,Low Value
14733,1716,42,72072,High Value
7507,3483,53,184599,Low Value
3788,7039,38,267482,Mid Value
4939,7844,46,360824,High Value
20715,954,27,25758,Mid Value
21820,2860,52,148720,High Value
15673,2414,38,91732,High Value
22184,8312,23,191176,Low Value
282,8073,1,8073,High Value
18525,9799,53,519347,Mid Value
24644,6925,53,367025,Mid Value
19925,3365,13,43745,Low Value
2026,1826,45,82170,Low Value
25786,5906,17,100402,High Value
20822,9128,18,164304,Low Value
14549,787,43,33841,Mid Value
19383,2956,8,23648,High Value
11552,333,16,5328,High Value
24610,4734,38,179892,High Value
4785,5317,10,53170,High Value
15374,9603,57,547371,Mid Value
253,9686,15,145290,High Value
15735,5579,4,22316,Mid Value
22161,5249,33,173217,High Value
24821,1596,22,35112,Low Value
9386,3681,29,106749,Low Value
28760,6567,27,177309,High Value
4360,4900,14,68600,Mid Value
5443,5549,17,94333,High Value
3594,6205,57,353685,Mid Value
24760,8566,39,334074,Mid Value
29606,4612,8,36896,High Value
28817,973,37,36001,Low Value
15851,4708,26,122408,Mid Value
1535,3223,52,167596,High Value
26710,9487,16,151792,Mid Value
19144,8906,56,498736,Mid Value
10949,6742,31,209002,Mid Value
4,5374,2,10748,Mid Value
25761,7573,31,234763,Low Value
1296,9850,47,462950,High Value
7618,5177,29,150133,Mid Value
19652,7691,32,246112,High Value
11835,6667,40,266680,Mid Value
13605,8234,59,485806,High Value
5884,7541,40,301640,Low Value
26951,5029,33,165957,Mid Value
24646,1871,52,97292,Mid Value
1401,6674,23,153502,Low Value
7181,9591,56,537096,Mid Value
20499,8303,42,348726,Mid Value
25311,5191,24,124584,Low Value
17012,6446,14,90244,Mid Value
17931,9540,43,410220,Low Value
13997,8582,31,266042,High Value
960,2221,45,99945,Low Value
7399,1500,18,27000,High Value
22870,5616,3,16848,High Value
19224,2267,43,97481,Mid Value
13661,3485,6,20910,Mid Value
23372,3026,42,127092,Low Value
13103,7343,16,117488,High Value
18337,1591,37,58867,High Value
28712,699,36,25164,Low Value
24519,2201,13,28613,Low Value
24465,7511,33,247863,High Value
8505,3181,5,15905,High Value
10120,2649,48,127152,Mid Value
19288,7996,28,223888,Mid Value
27093,7332,21,153972,Mid Value
5619,5646,53,299238,High Value
2377,5396,56,302176,High Value
610,8966,59,528994,Mid Value
17523,1196,22,26312,Low Value
12588,2571,6,15426,Mid Value
9716,5978,56,334768,High Value
18558,2788,54,150552,Mid Value
26828,6371,18,114678,Mid Value
23615,9820,57,559740,High Value
6729,5061,29,146769,High Value
26192,7197,24,172728,High Value
20443,5748,19,109212,High Value
20633,5358,55,294690,Low Value
25396,2879,59,169861,Low Value
22336,1334,14,18676,Low Value
20042,7500,48,360000,High Value
25379,9849,23,226527,Mid Value
23257,6805,14,95270,High Value
6719,379,52,19708,Mid Value
3005,7905,20,158100,Mid Value
693,5102,19,96938,Low Value
11418,3394,48,162912,Low Value
19982,9244,50,462200,Mid Value
643,9311,29,270019,High Value
15144,8539,52,444028,High Value
24381,3971,42,166782,Low Value
17558,6740,7,47180,High Value
20186,9382,25,234550,Low Value
7030,1092,24,26208,Mid Value
20035,2473,54,133542,Mid Value
493,5213,8,41704,High Value
20912,7934,2,15868,Mid Value
29023,8721,9,78489,High Value
5504,1954,9,17586,Low Value
25580,1288,53,68264,Low Value
9583,969,17,16473,High Value
18427,3769,41,154529,High Value
1713,5515,50,275750,High Value
5538,817,45,36765,Mid Value
6067,3191,15,47865,Low Value
872,7617,25,190425,High Value
17606,4042,22,88924,Mid Value
12165,7824,29,226896,High Value
25837,633,29,18357,Low Value
19919,8060,11,88660,High Value
2307,4585,22,100870,Low Value
11549,2521,12,30252,High Value
28691,956,50,47800,High Value
20187,879,4,3516,Low Value
10366,8298,44,365112,High Value
28175,6257,22,137654,Mid Value
19516,4618,22,101596,Mid Value
12617,2145,49,105105,Mid Value
9533,3007,30,90210,Low Value
17969,1858,55,102190,High Value
26009,1244,38,47272,Low Value
17609,3163,30,94890,Low Value
28995,7701,7,53907,High Value
7268,8294,40,331760,High Value
20759,6452,23,148396,High Value
6351,4317,55,237435,High Value
16087,6939,24,166536,Low Value
5352,6155,9,55395,Low Value
4561,9442,33,311586,Low Value
21028,2725,15,40875,Mid Value
19617,1193,20,23860,Mid Value
17514,7384,16,118144,High Value
15670,8386,16,134176,Mid Value
12270,5195,50,259750,Low Value
17325,429,12,5148,Mid Value
4376,3808,13,49504,High Value
28793,7102,10,71020,Low Value
6645,455,31,14105,High Value
19766,8596,7,60172,Low Value
5523,6344,5,31720,High Value
666,6004,23,138092,Mid Value
438,404,46,18584,Low Value
21877,336,35,11760,Mid Value
25371,384,33,12672,Low Value
16203,9466,3,28398,Mid Value
13750,6931,31,214861,Mid Value
28419,4083,58,236814,Mid Value
22605,8385,59,494715,Mid Value
7108,9844,43,423292,High Value
19186,2504,16,40064,Low Value
13024,3266,1,3266,Mid Value
18272,9847,27,265869,Mid Value
10783,5427,45,244215,High Value
47,2029,58,117682,Mid Value
8214,7489,31,232159,Low Value
26397,4390,15,65850,Mid Value
19491,4433,5,22165,Low Value
15948,5433,45,244485,Low Value
14830,1593,49,78057,High Value
4998,4562,8,36496,Mid Value
28897,832,43,35776,Mid Value
6603,3640,58,211120,Low Value
25194,6034,28,168952,Low Value
13550,2943,34,100062,High Value
27081,8856,4,35424,High Value
14206,287,19,5453,Low Value
5658,3109,44,136796,Low Value
27158,9006,10,90060,High Value
4586,3457,16,55312,Low Value
7703,8497,46,390862,Low Value
11642,8274,9,74466,High Value
4653,9568,15,143520,High Value
26877,3020,56,169120,Mid Value
28162,3255,20,65100,High Value
16436,2313,44,101772,Low Value
29090,1168,34,39712,High Value
19626,4319,32,138208,High Value
2519,6458,7,45206,Low Value
22250,5888,8,47104,Mid Value
26479,1370,16,21920,Mid Value
12488,2991,33,98703,Low Value
1932,8809,25,220225,Low Value
11668,2978,3,8934,High Value
4624,3208,36,115488,Mid Value
26477,6086,52,316472,Mid Value
28753,3746,37,138602,Mid Value
15658,4735,49,232015,Mid Value
27222,8295,53,439635,High Value
22510,7139,37,264143,Mid Value
5013,5901,30,177030,High Value
9312,9041,13,117533,High Value
10231,3000,41,123000,Mid Value
16077,2109,11,23199,Mid Value
15088,369,3,1107,Low Value
24489,7062,8,56496,Low Value
5937,5157,40,206280,Mid Value
24955,310,18,5580,Low Value
6669,9753,37,360861,Low Value
22859,6673,35,233555,High Value
20474,6167,35,215845,High Value
15743,5975,13,77675,High Value
9227,4320,45,194400,Mid Value
7852,3624,15,54360,Low Value
22701,4475,15,67125,Mid Value
21676,5542,20,110840,Mid Value
