service_name,uptime_percent,incidents_reported,incident_date
Dashboard,95.08,7,2020-05-30 20:07:50
Auth,99.17,7,2022-11-22 21:15:53
Dashboard,96.35,0,2019-01-28 19:41:32
Dashboard,97.6,5,2020-11-08 00:30:14
Auth,97.39,2,2024-01-19 22:48:57
API,95.12,5,2023-09-26 17:49:49
API,99.11,1,2018-04-10 10:24:28
Dashboard,96.04,8,2018-02-25 19:23:49
Auth,96.4,8,2020-05-21 00:17:54
Payments,99.31,3,2024-04-22 21:26:09
API,96.42,7,2021-02-17 23:19:43
API,95.85,2,2022-10-06 13:50:45
Dashboard,99.34,1,2018-03-14 13:49:13
API,95.3,1,2022-04-17 15:44:10
Payments,97.03,5,2023-07-25 21:28:56
API,97.3,8,2024-08-08 22:33:39
API,96.45,9,2020-03-06 16:38:06
API,98.23,1,2020-11-04 07:59:44
Dashboard,95.99,8,2022-03-07 06:43:05
Dashboard,98.47,1,2020-12-02 23:23:12
API,98.37,6,2023-03-03 04:04:05
API,96.04,2,2021-05-14 22:51:53
Payments,99.59,5,2020-04-06 09:07:17
Auth,95.92,9,2021-03-21 22:14:37
Payments,97.56,6,2021-04-08 17:15:04
Auth,98.11,7,2022-05-10 14:38:49
Auth,95.71,7,2019-06-03 03:37:47
Auth,97.62,6,2019-06-28 15:35:37
Dashboard,97.3,7,2018-09-19 16:58:07
Payments,98.08,6,2018-05-30 06:33:26
API,99.72,8,2020-01-08 07:50:37
Auth,99.34,5,2020-05-24 21:42:28
Dashboard,99.18,5,2018-11-21 08:56:37
API,95.14,2,2024-04-19 09:25:14
Auth,98.1,9,2018-03-08 02:30:49
Payments,98.75,8,2024-08-12 06:37:50
API,97.21,6,2023-02-27 20:03:16
Auth,99.14,2,2019-01-21 21:52:47
Payments,96.2,7,2022-09-16 04:13:59
API,97.44,2,2022-10-03 03:59:48
Payments,95.41,7,2018-07-23 06:54:28
Auth,98.35,0,2019-11-01 13:38:43
Dashboard,97.44,5,2023-05-23 02:02:52
API,97.7,7,2019-06-16 12:02:36
API,96.25,8,2018-10-10 08:00:04
API,97.11,5,2022-08-11 14:51:25
Dashboard,96.09,3,2021-08-13 11:17:31
API,96.06,4,2020-01-12 08:56:13
API,95.89,5,2021-11-10 17:52:19
Auth,96.53,0,2023-09-04 09:01:53
API,99.2,9,2021-01-24 02:03:09
Payments,98.56,6,2023-06-10 06:29:20
Payments,98.44,3,2022-02-05 13:33:36
Auth,95.57,4,2021-12-01 01:54:21
Payments,96.46,6,2024-08-24 12:24:29
Auth,96.31,4,2021-04-26 21:24:03
Auth,97.12,1,2022-08-31 14:45:12
Payments,95.38,5,2019-02-23 14:27:54
Auth,97.29,6,2024-01-22 04:36:51
Auth,95.31,1,2019-10-07 22:06:59
Payments,97.5,2,2018-05-31 14:51:29
Auth,98.36,5,2024-07-16 03:57:12
API,97.78,3,2019-09-11 07:43:05
Auth,99.56,7,2021-06-06 11:56:08
Dashboard,99.25,5,2018-01-24 02:09:07
Auth,99.42,0,2024-03-03 09:34:49
Dashboard,96.9,4,2022-10-06 22:25:29
Dashboard,97.08,9,2023-08-22 21:41:22
Payments,97.29,0,2022-08-03 04:04:35
Dashboard,98.04,7,2022-11-11 11:24:19
Dashboard,99.08,6,2018-07-11 09:26:14
Payments,97.66,0,2024-04-25 03:55:42
Auth,95.71,8,2023-07-31 08:52:26
Dashboard,95.08,8,2023-01-22 01:22:34
Payments,99.88,5,2021-09-05 07:37:28
Auth,99.13,4,2019-02-15 15:06:10
Auth,96.45,4,2023-10-06 23:01:26
Dashboard,99.21,9,2024-12-19 19:05:05
Dashboard,96.22,9,2022-01-15 01:33:23
API,95.77,3,2019-05-10 12:21:28
API,98.59,4,2022-10-24 20:57:35
Dashboard,97.67,8,2022-10-24 13:12:23
API,96.1,9,2019-12-19 11:58:04
Dashboard,98.61,4,2023-06-03 00:36:19
Auth,95.56,4,2024-10-05 04:41:36
API,97.67,3,2021-03-01 03:19:23
API,95.72,4,2018-02-03 10:36:02
Dashboard,96.38,2,2018-05-14 00:34:27
API,96.19,3,2023-07-16 06:43:04
Dashboard,96.97,0,2022-07-11 23:02:03
Payments,98.67,3,2019-06-26 08:04:37
API,98.05,7,2024-11-24 07:41:08
Payments,96.14,2,2018-01-06 22:56:02
API,98.01,1,2019-06-13 05:54:44
Dashboard,99.84,7,2024-11-13 22:03:10
Auth,99.26,0,2021-04-13 00:31:26
API,97.73,4,2024-06-11 15:00:02
Dashboard,96.81,8,2024-09-04 04:19:26
Dashboard,99.84,8,2018-01-06 04:41:45
Payments,98.72,4,2018-05-31 02:28:32
Dashboard,98.8,5,2023-04-24 07:04:16
Dashboard,99.06,2,2019-07-14 20:25:01
Dashboard,95.86,7,2018-01-23 07:28:50
Dashboard,99.34,0,2018-06-09 13:27:15
API,97.69,4,2019-06-03 13:54:37
Dashboard,96.17,6,2021-08-08 04:27:43
Payments,99.56,9,2018-09-06 02:38:51
Payments,99.29,8,2024-09-23 10:01:07
Auth,95.57,0,2019-07-14 01:40:32
Auth,96.37,8,2024-06-01 21:18:21
Auth,98.39,3,2019-06-01 04:30:23
Payments,98.71,5,2023-05-31 03:34:29
Auth,99.26,2,2021-02-25 10:27:59
Payments,99.34,3,2019-08-07 11:02:35
Dashboard,97.56,1,2022-08-15 10:22:49
Dashboard,96.7,7,2019-07-28 08:18:03
Dashboard,98.23,5,2018-02-21 11:49:56
Dashboard,96.2,7,2023-02-11 01:03:14
Dashboard,98.99,5,2018-01-15 17:45:45
Auth,95.43,9,2018-06-03 03:45:27
Auth,95.41,1,2023-01-03 11:05:16
Payments,99.48,6,2020-04-26 17:21:08
API,97.22,0,2018-12-17 18:21:39
API,98.43,1,2020-04-27 07:18:54
Payments,97.78,3,2022-06-14 14:48:09
Payments,96.19,8,2022-02-14 23:19:24
Auth,99.24,1,2024-07-02 03:20:13
Auth,97.3,9,2020-06-21 14:00:54
API,97.09,8,2024-03-03 22:50:32
API,98.68,0,2021-06-17 09:38:56
Auth,97.55,8,2024-05-10 11:30:35
Auth,97.5,6,2021-10-20 17:27:44
Payments,96.24,2,2018-01-16 01:12:32
Auth,95.06,1,2018-02-08 20:43:29
Dashboard,96.28,3,2023-11-01 17:17:27
API,98.33,7,2020-01-08 21:15:51
Auth,99.63,5,2020-05-08 03:20:31
Payments,99.4,5,2020-06-29 21:58:56
Auth,96.37,9,2018-11-12 12:57:37
Dashboard,99.74,0,2023-04-19 02:38:26
Dashboard,99.16,5,2021-06-25 03:21:17
Auth,98.72,5,2019-12-02 21:26:47
Dashboard,99.38,8,2023-09-28 14:54:09
Dashboard,98.42,4,2022-08-23 23:26:34
API,96.86,9,2022-08-01 11:03:07
Payments,96.5,8,2019-12-30 22:46:08
Payments,98.57,4,2018-04-24 12:31:02
Auth,97.73,8,2022-09-12 07:20:39
Auth,97.09,9,2021-10-06 21:35:47
Payments,97.05,1,2020-10-08 17:58:16
API,98.27,9,2018-05-29 07:40:15
Payments,95.12,2,2023-10-04 10:22:10
Dashboard,96.99,8,2021-03-04 23:45:54
Payments,95.41,0,2018-09-14 00:52:10
Auth,95.62,3,2022-07-11 07:44:28
Auth,97.18,5,2019-07-07 04:57:51
Payments,96.3,8,2018-08-01 18:36:09
Payments,99.02,0,2021-11-07 15:11:35
Auth,95.66,0,2021-04-03 19:35:50
Payments,98.88,7,2021-08-27 11:56:00
Dashboard,97.02,3,2021-04-05 15:24:42
Dashboard,98.63,8,2020-02-09 14:19:16
Auth,98.93,5,2024-10-01 07:47:47
Dashboard,95.05,4,2024-02-14 03:24:51
Payments,98.75,9,2023-10-24 05:13:02
API,95.03,8,2019-05-01 19:48:01
Payments,95.86,3,2021-11-10 17:23:20
Auth,99.86,8,2022-03-16 06:32:52
Payments,97.1,5,2018-04-03 19:23:50
API,98.33,8,2018-09-16 20:18:19
API,97.35,1,2020-03-18 01:03:56
Auth,98.39,4,2021-02-01 02:29:04
Payments,95.35,9,2018-08-05 19:09:58
API,95.89,8,2021-03-21 13:14:01
Dashboard,96.6,6,2018-09-07 00:36:14
API,96.41,6,2019-07-29 21:30:09
Auth,99.1,4,2023-12-01 18:04:31
API,95.45,9,2023-04-02 04:13:41
Dashboard,99.94,1,2019-07-22 06:04:39
Payments,98.66,7,2024-12-26 15:20:20
Auth,98.89,6,2024-03-15 12:15:33
API,95.25,3,2023-03-07 03:19:48
Auth,95.3,0,2019-09-25 06:07:52
Dashboard,96.56,0,2019-04-25 10:14:25
Dashboard,97.62,3,2021-02-27 10:03:06
Payments,98.17,2,2022-09-18 21:26:48
Payments,97.78,0,2021-02-04 10:59:45
API,95.1,6,2018-01-30 22:29:04
API,95.93,9,2019-07-05 21:09:06
Payments,97.02,5,2018-12-17 21:24:56
Dashboard,99.7,1,2021-03-03 21:22:30
Payments,98.07,6,2024-06-09 15:30:03
Auth,96.6,2,2022-01-30 16:58:42
Auth,99.86,7,2022-03-17 03:01:17
API,95.31,6,2019-02-17 01:21:54
API,95.97,6,2019-02-02 12:26:02
Dashboard,97.92,9,2024-03-29 12:00:49
Payments,96.9,8,2021-10-24 12:23:31
API,98.86,6,2020-10-21 04:08:55
API,99.36,2,2023-10-16 15:41:20
Payments,97.13,3,2019-09-19 16:40:19
API,98.25,0,2023-09-27 18:39:38
API,99.23,2,2022-05-31 01:03:25
Auth,95.23,6,2022-04-26 23:56:54
API,99.0,6,2020-03-06 07:10:48
Payments,99.65,5,2021-03-08 17:15:18
API,98.31,6,2018-03-23 21:53:03
API,98.76,8,2018-01-11 08:41:46
Payments,98.32,4,2023-01-16 15:41:08
Dashboard,99.81,1,2022-11-09 22:28:36
Auth,97.66,1,2022-07-16 18:24:02
Payments,95.73,3,2018-04-20 09:04:10
API,98.78,5,2024-09-02 13:01:29
API,95.31,0,2021-09-10 23:22:22
API,96.24,0,2023-10-20 17:57:13
Payments,98.28,3,2022-10-05 18:16:41
API,96.29,4,2020-12-15 07:19:13
Dashboard,99.7,7,2019-11-02 09:23:02
Payments,98.08,3,2024-06-07 06:19:11
API,95.18,8,2018-08-31 21:05:29
Payments,97.16,8,2018-02-15 16:49:01
Dashboard,99.49,3,2018-11-11 11:09:08
API,96.1,1,2018-06-02 07:29:11
Payments,97.7,6,2018-04-12 18:37:33
Auth,97.0,1,2024-01-10 08:19:11
Dashboard,97.28,6,2023-03-02 21:34:59
Auth,99.12,8,2019-04-28 02:08:54
Payments,96.27,2,2021-11-02 03:30:32
API,99.89,9,2024-04-21 16:10:37
API,97.33,7,2018-03-11 17:24:29
Payments,97.44,9,2018-03-05 06:04:27
Payments,98.23,4,2018-11-20 10:44:46
Dashboard,96.38,6,2019-01-30 03:38:11
Payments,99.85,4,2023-04-20 02:31:30
API,99.62,8,2018-12-07 18:29:29
Payments,95.69,6,2024-09-14 18:24:53
Payments,95.87,4,2020-08-05 10:22:03
Auth,97.49,3,2023-10-18 04:33:53
API,97.75,9,2023-05-16 17:48:22
API,95.47,2,2024-08-01 21:45:49
Payments,98.42,0,2024-09-15 06:27:05
Dashboard,96.72,7,2024-01-31 06:30:43
Dashboard,96.43,9,2018-06-23 15:33:54
Payments,99.6,3,2022-10-04 14:09:16
Payments,99.55,9,2021-11-11 08:54:41
Payments,98.78,8,2021-11-14 01:58:43
API,99.72,2,2020-11-30 09:48:44
API,95.48,8,2023-06-22 02:27:39
Payments,99.82,9,2018-01-06 16:03:37
API,98.98,1,2024-01-23 20:03:12
Payments,97.67,4,2022-11-06 02:19:30
API,95.48,8,2019-08-17 23:08:39
Payments,99.17,2,2022-04-23 14:34:26
Auth,95.43,1,2019-02-28 19:49:32
Auth,98.41,0,2024-12-27 02:00:37
Auth,97.92,3,2023-06-13 04:04:50
API,99.95,7,2020-06-03 06:25:53
Payments,98.37,2,2020-03-16 08:42:09
API,99.43,6,2018-04-17 14:47:58
Auth,99.9,0,2018-06-04 22:49:38
Dashboard,98.55,8,2023-03-05 06:36:23
Auth,99.89,6,2021-01-02 23:46:19
Payments,95.72,0,2024-11-09 21:39:43
Dashboard,96.01,0,2022-11-02 06:11:45
Payments,95.92,7,2020-12-04 04:29:38
Payments,99.57,6,2023-12-13 17:59:06
Payments,97.1,3,2023-05-02 01:03:43
Dashboard,98.12,1,2023-01-23 02:56:07
Dashboard,98.96,4,2023-11-09 02:39:42
API,95.87,0,2019-07-31 13:35:06
Payments,98.29,8,2023-08-02 09:28:47
API,99.56,6,2022-09-16 17:31:19
Auth,98.63,6,2022-06-03 00:39:06
Payments,98.92,9,2019-05-17 16:53:59
API,97.78,7,2020-06-24 20:00:21
Dashboard,98.44,6,2024-01-02 02:33:25
Auth,96.88,9,2021-02-28 03:47:44
Payments,95.67,3,2024-05-17 19:19:02
API,95.38,9,2021-11-24 11:06:13
Payments,96.08,6,2018-02-03 20:45:15
Dashboard,95.14,3,2018-08-07 09:26:22
Dashboard,98.08,6,2018-05-30 17:40:21
Auth,97.42,8,2021-05-22 12:02:12
Dashboard,96.31,6,2018-01-31 05:23:54
Payments,95.15,8,2021-07-29 12:33:54
Payments,96.78,5,2020-08-10 02:22:11
Dashboard,95.83,6,2024-01-25 04:36:30
Dashboard,99.9,7,2023-02-10 02:23:17
Dashboard,96.68,1,2022-12-21 04:01:20
API,97.72,3,2022-12-12 06:23:59
Payments,97.67,2,2022-09-19 08:51:10
Auth,98.02,5,2020-12-02 13:16:00
Payments,96.3,9,2023-04-27 17:20:51
Payments,96.09,2,2021-06-27 00:36:55
Auth,98.36,8,2023-10-26 03:58:39
API,98.58,9,2019-05-29 07:35:07
API,96.09,3,2020-04-11 09:21:43
Auth,98.24,1,2019-06-06 03:45:18
Payments,98.44,2,2022-05-19 23:11:28
Payments,98.37,8,2018-11-09 19:24:12
API,95.78,4,2022-01-07 00:43:11
Payments,95.99,6,2021-08-28 14:14:13
Auth,96.69,2,2024-05-16 21:55:27
API,99.64,1,2024-07-01 22:21:18
Payments,99.82,8,2020-02-19 02:53:16
Auth,96.33,3,2018-07-04 18:36:39
API,97.6,0,2023-02-15 08:54:00
Auth,95.78,9,2018-11-18 23:08:48
Payments,98.48,7,2023-12-23 00:43:39
Auth,97.57,1,2022-05-28 21:51:00
Payments,99.04,4,2019-01-18 00:52:15
Auth,98.5,7,2020-03-17 14:57:25
Auth,96.17,7,2023-01-15 16:54:28
API,97.02,8,2022-11-13 11:59:13
Auth,98.1,0,2023-01-15 18:26:42
API,99.97,9,2021-12-03 01:43:41
Dashboard,98.85,7,2024-06-06 17:01:21
Auth,95.81,5,2023-07-16 06:13:42
Payments,97.06,7,2024-07-08 16:26:06
Dashboard,97.07,1,2021-11-24 04:50:37
Auth,95.55,3,2020-03-18 15:41:44
API,95.0,4,2019-08-29 09:44:46
Payments,99.25,7,2019-10-22 15:11:57
Payments,98.34,9,2019-10-15 13:54:47
Payments,96.47,2,2020-09-11 08:03:33
API,98.54,6,2018-05-15 05:49:57
Payments,95.75,8,2022-08-12 03:35:47
API,95.49,7,2020-10-30 18:00:02
Dashboard,95.54,2,2021-05-16 18:37:23
Auth,97.24,6,2020-08-20 04:45:37
API,97.71,1,2021-08-31 22:57:22
API,98.79,6,2019-04-17 12:31:06
Dashboard,97.43,4,2021-06-02 13:28:48
Payments,99.81,0,2024-05-05 12:43:11
Dashboard,95.19,8,2019-05-16 21:31:27
Payments,96.98,5,2024-06-30 21:27:38
Auth,98.29,4,2021-10-27 21:35:03
API,99.9,4,2018-07-30 07:07:32
Dashboard,95.83,9,2024-07-11 12:36:21
Payments,99.61,1,2022-04-15 07:30:12
Payments,96.81,8,2024-12-09 04:05:15
Dashboard,95.12,7,2022-08-27 02:37:05
Dashboard,97.08,3,2022-07-30 16:10:13
Payments,99.22,0,2020-10-08 03:38:06
Auth,96.59,2,2024-04-11 15:28:36
Auth,99.8,8,2024-11-06 12:36:25
Auth,98.43,6,2021-03-17 04:02:49
Payments,98.19,9,2021-08-03 09:42:26
Payments,99.14,8,2021-06-08 06:18:09
Dashboard,96.86,1,2024-05-10 19:35:49
Auth,96.9,9,2024-06-29 17:52:10
Dashboard,99.77,6,2019-10-15 07:06:15
Auth,98.32,6,2020-08-26 19:28:51
Auth,97.42,0,2020-03-07 03:36:37
API,96.52,0,2023-01-12 16:50:01
Payments,96.54,5,2021-06-17 09:23:26
Dashboard,97.83,6,2021-10-24 05:17:12
Payments,98.68,5,2019-07-02 02:26:08
API,98.93,1,2024-02-09 00:48:41
API,99.18,0,2022-11-30 17:55:58
API,97.74,7,2018-04-26 00:06:46
Auth,99.44,2,2023-09-20 19:25:27
Dashboard,98.18,6,2020-05-01 18:53:36
API,98.27,5,2020-12-22 20:10:03
Auth,96.33,6,2021-04-11 12:45:11
Auth,95.79,6,2022-08-30 15:35:30
Payments,97.79,7,2024-05-15 13:45:53
API,98.93,8,2018-05-22 10:42:35
Dashboard,99.99,0,2018-09-10 11:57:41
Auth,99.5,7,2019-05-31 12:32:08
API,95.1,0,2020-07-14 10:51:34
Auth,95.02,1,2023-02-09 17:06:16
API,95.49,8,2020-01-08 21:07:43
Auth,95.49,9,2024-02-20 06:26:03
Auth,99.17,4,2023-03-10 17:58:40
Dashboard,97.45,5,2019-01-25 13:50:22
API,97.17,7,2023-05-26 12:24:26
Auth,97.23,8,2019-12-19 01:57:41
Dashboard,98.12,1,2019-10-11 12:14:10
API,99.52,1,2018-10-18 23:25:03
Dashboard,96.39,6,2022-03-20 04:36:08
API,99.15,1,2023-10-21 19:21:22
Payments,98.89,9,2019-06-12 21:26:28
API,95.67,5,2020-02-16 09:19:17
API,95.76,1,2019-09-14 12:46:53
Dashboard,96.45,1,2022-02-19 21:01:17
Dashboard,99.42,7,2020-01-03 01:15:56
Dashboard,97.64,3,2021-10-16 00:17:03
Dashboard,95.85,6,2020-05-13 07:36:54
API,97.36,8,2022-11-16 02:58:41
Auth,98.53,4,2021-02-18 12:07:05
Payments,99.95,9,2019-11-09 08:25:10
Dashboard,97.38,5,2020-09-25 03:22:19
Auth,97.57,4,2023-07-26 05:49:41
API,96.0,5,2023-07-26 06:46:30
Dashboard,97.72,4,2024-04-13 09:49:15
Auth,96.3,2,2019-04-23 10:22:59
Auth,95.81,8,2022-01-27 11:02:25
Payments,97.6,6,2024-02-19 09:08:24
Auth,95.69,3,2018-12-15 06:55:58
Dashboard,99.84,1,2023-06-18 19:02:42
Dashboard,96.38,2,2022-09-25 15:28:22
Dashboard,97.71,4,2018-12-21 07:49:53
Auth,96.21,4,2018-04-02 09:40:13
Auth,98.26,9,2020-12-31 01:01:29
Auth,99.17,6,2021-11-09 21:56:05
Dashboard,97.16,7,2019-12-30 16:51:50
API,99.39,2,2024-01-12 19:53:15
Auth,96.29,1,2021-11-26 21:21:13
Dashboard,97.73,4,2019-01-29 22:45:53
Payments,96.87,3,2019-08-31 14:24:52
Auth,98.47,0,2019-11-24 17:42:59
Dashboard,97.13,9,2018-08-14 22:17:36
Auth,95.68,9,2020-09-14 13:02:51
Auth,98.86,2,2024-12-18 00:44:47
Dashboard,98.22,8,2018-10-01 16:45:44
Payments,95.64,4,2021-09-06 12:30:32
Payments,99.81,5,2024-04-10 18:04:31
Dashboard,96.25,9,2020-03-10 03:05:43
Payments,99.78,0,2021-12-24 04:42:55
Payments,96.5,8,2021-03-11 05:10:46
Dashboard,99.26,1,2019-12-29 04:20:03
API,95.2,2,2021-07-16 01:04:14
Dashboard,99.76,8,2019-07-06 13:34:33
API,95.07,4,2021-09-06 14:01:57
Payments,95.07,1,2021-08-12 03:37:37
Dashboard,98.87,8,2024-12-30 03:46:24
Dashboard,96.87,7,2021-03-27 07:22:56
Payments,99.56,3,2021-05-10 06:22:21
Dashboard,98.64,8,2023-09-11 03:33:54
Dashboard,98.56,4,2020-11-19 18:30:52
Auth,96.43,8,2021-08-24 09:18:19
Auth,97.52,4,2019-02-21 00:46:29
Auth,97.64,1,2020-04-13 07:44:04
Auth,95.46,4,2019-03-21 08:36:56
API,97.31,7,2023-07-21 20:28:55
Auth,98.59,3,2018-03-12 19:04:10
Dashboard,99.0,3,2022-04-26 15:29:50
Auth,97.5,8,2019-11-25 14:55:22
Auth,98.26,2,2020-02-14 07:33:23
Auth,98.77,1,2021-03-25 09:36:07
Dashboard,99.76,3,2018-01-23 23:07:52
Payments,99.59,1,2023-12-27 22:10:50
Auth,98.6,4,2018-07-03 21:50:05
Payments,98.27,3,2021-06-19 00:00:26
Dashboard,96.14,4,2019-07-07 01:43:16
Payments,96.5,3,2022-04-03 20:23:29
Auth,95.68,8,2022-09-25 03:26:35
Dashboard,98.98,0,2020-03-11 08:06:52
Payments,98.68,3,2021-07-22 15:41:55
Dashboard,99.62,9,2020-01-28 03:29:47
Payments,96.0,0,2021-04-29 15:55:32
Auth,95.77,8,2019-07-28 03:49:12
API,95.51,2,2023-02-20 13:40:13
API,98.39,7,2019-09-12 03:48:10
Dashboard,99.8,8,2022-02-16 23:03:43
API,96.9,1,2018-08-01 02:46:02
API,96.63,9,2023-12-17 21:29:46
Dashboard,99.05,9,2022-07-01 09:49:43
Dashboard,96.13,5,2019-09-29 05:12:01
Payments,99.31,0,2022-08-06 01:06:26
Dashboard,98.8,4,2020-11-12 07:16:57
Dashboard,96.64,3,2023-12-07 20:59:44
Payments,99.05,3,2018-05-10 03:03:35
Auth,97.15,3,2022-08-12 08:38:14
Dashboard,97.94,7,2018-04-12 06:55:05
Payments,99.53,1,2018-04-22 15:51:08
Payments,96.78,3,2021-03-15 14:26:38
API,99.23,8,2020-01-06 06:20:13
Payments,97.94,3,2024-02-22 06:33:14
Payments,96.95,1,2021-06-18 16:08:18
Dashboard,95.31,9,2021-09-16 15:10:47
API,95.39,2,2022-02-25 23:45:29
Dashboard,97.96,4,2019-05-30 08:49:07
Auth,98.44,5,2020-02-15 09:29:56
Payments,99.65,1,2022-03-28 21:41:15
Payments,99.58,9,2023-12-05 19:27:05
Dashboard,99.77,5,2022-09-27 17:22:19
Dashboard,99.37,3,2023-10-07 00:37:03
API,95.07,8,2018-01-29 05:22:22
Dashboard,99.73,8,2019-07-22 06:52:11
API,96.99,2,2019-05-15 13:12:42
Payments,99.76,1,2023-06-25 23:36:01
API,95.07,4,2018-01-26 20:45:20
Dashboard,98.96,1,2023-03-13 22:36:05
API,97.06,1,2018-03-08 18:11:06
Payments,97.6,7,2020-09-05 20:43:41
Payments,96.66,2,2024-08-07 22:26:53
API,96.89,8,2022-05-11 01:18:32
API,97.33,6,2019-12-15 17:31:38
Payments,98.75,6,2020-09-16 22:48:18
API,99.43,4,2021-05-18 07:46:54
Dashboard,99.18,0,2021-07-26 21:20:27
Payments,99.8,3,2024-01-26 10:04:59
Auth,99.59,5,2019-08-15 01:44:39
API,95.46,8,2021-08-15 20:51:56
Auth,95.53,6,2019-05-31 07:05:50
Auth,96.52,3,2023-12-22 17:51:42
Dashboard,99.25,9,2022-10-24 02:08:56
Auth,97.48,1,2020-08-04 22:09:03
Auth,99.79,5,2019-01-03 19:09:37
Payments,96.95,1,2020-04-20 13:22:08
Dashboard,98.32,8,2018-05-04 20:36:04
Dashboard,98.61,7,2020-07-17 08:58:49
Auth,95.52,1,2019-12-23 22:34:18
Payments,96.18,4,2024-08-27 13:20:57
Dashboard,97.69,1,2024-06-16 20:31:43
API,99.5,1,2023-12-05 11:03:32
Auth,96.33,0,2023-10-06 00:07:18
Auth,96.03,9,2024-10-17 12:32:09
Auth,95.3,7,2020-08-01 13:44:17
Auth,99.86,0,2020-05-06 21:43:20
Dashboard,96.19,6,2020-09-11 10:27:15
API,98.39,6,2019-09-25 23:40:35
Dashboard,99.96,4,2021-09-07 14:22:20
Dashboard,99.7,9,2023-11-19 13:50:38
API,96.76,6,2020-09-08 01:03:05
Payments,97.88,8,2018-09-19 06:54:28
Payments,98.89,7,2022-05-21 17:15:10
Payments,96.63,9,2024-07-08 17:24:47
API,98.0,7,2024-07-20 11:10:07
Payments,99.31,6,2022-11-03 22:33:16
API,99.24,0,2023-09-07 07:53:13
API,96.2,3,2023-07-31 15:18:49
API,95.21,2,2018-07-22 12:00:19
Dashboard,98.87,7,2018-08-17 06:12:09
Auth,96.22,0,2020-07-31 11:07:17
Auth,97.21,8,2019-01-01 01:22:14
Auth,98.35,7,2022-02-20 03:35:08
Dashboard,95.94,7,2021-07-13 16:04:07
Payments,95.48,7,2022-03-21 00:46:57
Payments,99.92,8,2020-10-15 00:20:17
Dashboard,97.54,7,2019-12-26 15:19:19
API,99.13,9,2022-05-21 09:12:09
API,97.27,3,2020-11-23 12:59:21
API,99.42,1,2018-12-02 01:23:30
Payments,96.24,3,2020-03-14 16:21:58
Payments,95.82,1,2019-12-12 12:38:34
API,97.21,7,2022-09-13 00:48:32
Dashboard,97.76,8,2018-08-27 01:47:47
API,99.9,7,2022-02-25 14:58:14
API,96.44,3,2019-08-09 16:32:45
Payments,97.2,2,2024-06-03 12:06:09
API,98.09,4,2024-11-09 17:59:22
Auth,98.92,5,2019-08-24 07:55:53
Dashboard,95.04,8,2019-12-26 22:31:08
Dashboard,99.72,9,2020-12-30 14:09:17
Auth,98.16,8,2021-10-01 17:17:35
Auth,96.96,2,2021-09-05 18:00:44
Auth,95.37,5,2024-12-22 23:02:01
API,99.65,3,2019-05-11 00:57:37
Auth,95.77,2,2022-02-02 06:17:27
API,97.51,7,2022-03-22 02:45:03
API,99.14,2,2022-11-01 07:10:50
Dashboard,96.35,2,2023-08-12 20:50:40
API,98.48,8,2024-05-01 20:58:22
Payments,95.55,4,2020-10-03 16:10:25
API,97.8,5,2018-02-08 08:07:19
Payments,96.59,0,2018-06-21 06:21:21
Payments,99.72,8,2022-09-02 11:31:19
Payments,97.04,6,2019-11-19 00:36:02
Auth,98.76,0,2021-04-10 17:30:07
Dashboard,97.12,3,2021-03-23 03:14:13
Payments,95.99,7,2024-03-06 02:42:44
Dashboard,96.88,3,2023-03-10 06:15:02
Payments,99.4,0,2024-12-28 07:32:23
Payments,96.01,1,2021-02-14 07:13:12
API,98.31,7,2024-09-01 17:47:24
Dashboard,97.5,3,2022-08-29 07:42:30
Auth,96.17,8,2022-10-22 09:28:32
Auth,95.32,6,2019-09-22 05:54:07
Auth,95.36,5,2018-12-06 22:03:12
Payments,97.98,0,2020-05-14 13:08:56
Auth,99.94,8,2022-02-25 17:49:41
API,98.0,0,2018-06-22 00:27:15
Payments,99.2,7,2021-04-06 11:55:53
API,95.94,9,2018-12-18 20:34:21
Auth,96.91,7,2023-06-09 06:12:29
Dashboard,98.23,8,2018-05-26 20:47:48
Auth,99.15,2,2019-06-10 11:19:43
API,95.19,0,2020-05-27 13:46:51
Payments,98.43,7,2021-10-22 23:41:53
Auth,97.42,1,2023-07-13 12:33:32
Auth,97.88,8,2022-12-05 18:24:36
API,97.84,4,2020-08-18 10:51:16
Auth,95.27,9,2022-10-11 20:37:28
Dashboard,99.88,8,2023-09-11 13:54:37
Payments,97.81,9,2022-06-30 18:35:00
Auth,96.43,4,2018-04-04 04:44:29
Auth,98.87,1,2020-05-31 17:59:37
Payments,97.37,8,2024-01-29 02:53:00
Payments,96.11,5,2023-07-16 17:39:36
API,99.96,4,2019-02-26 16:38:46
Auth,96.52,2,2019-08-02 00:26:32
Payments,96.6,2,2018-05-19 00:07:15
Dashboard,97.08,1,2021-10-29 09:02:33
Payments,98.35,1,2022-08-30 16:51:28
API,97.41,2,2021-10-27 02:31:51
API,97.98,8,2018-10-27 13:56:48
API,98.3,9,2022-01-13 05:42:44
Payments,96.41,3,2024-02-19 23:34:46
Payments,98.05,3,2022-10-12 18:15:59
Dashboard,99.14,4,2018-12-21 19:17:01
Auth,97.2,2,2021-06-01 13:32:18
Auth,97.77,3,2020-06-08 10:30:17
Dashboard,95.27,9,2019-10-02 15:07:43
API,99.09,1,2023-11-18 05:38:12
API,97.93,2,2018-12-25 06:12:59
