employee_id,training_program,training_hours,completion_status
57493,Leadership,105,Completed
133,Technical,63,In Progress
32533,Soft Skills,73,Completed
34078,Compliance,96,Completed
53122,Compliance,61,Completed
32108,Compliance,69,Completed
8213,Compliance,69,Completed
18945,Compliance,64,In Progress
27255,Soft Skills,35,In Progress
41806,Technical,89,Completed
241,Technical,117,Completed
42093,Compliance,91,In Progress
17690,Compliance,93,Completed
42809,Leadership,17,In Progress
40301,Compliance,97,Completed
34348,Leadership,111,In Progress
19943,Compliance,109,Completed
56071,Soft Skills,18,Completed
4606,Technical,27,Completed
42589,Compliance,75,In Progress
32633,Technical,102,Completed
27949,Soft Skills,104,Completed
24624,Technical,92,In Progress
6769,Technical,63,Completed
10927,Leadership,66,Completed
21320,Compliance,12,In Progress
22819,Technical,111,Completed
44550,Soft Skills,51,In Progress
37243,Leadership,74,Completed
34164,Soft Skills,112,In Progress
45427,Leadership,68,Completed
36602,Compliance,59,In Progress
2203,Technical,5,In Progress
26607,Soft Skills,106,Completed
38820,Compliance,95,In Progress
49799,Leadership,57,Completed
15462,Technical,67,In Progress
9010,Soft Skills,15,Completed
17307,Technical,15,Completed
10201,Leadership,29,Completed
24293,Soft Skills,34,Completed
43635,Soft Skills,89,In Progress
13912,Soft Skills,62,Completed
58583,Soft Skills,115,In Progress
21106,Soft Skills,7,Completed
9731,Leadership,112,In Progress
6182,Compliance,15,Completed
46076,Compliance,74,Completed
35097,Technical,36,Completed
30684,Technical,32,Completed
22274,Compliance,28,Completed
11955,Soft Skills,24,Completed
42057,Technical,41,Completed
45117,Technical,103,Completed
24878,Technical,79,Completed
14075,Soft Skills,42,Completed
55827,Leadership,90,In Progress
26574,Soft Skills,62,Completed
35644,Compliance,114,In Progress
44529,Compliance,26,Completed
33950,Technical,24,Completed
12257,Compliance,50,In Progress
41726,Soft Skills,43,Completed
53363,Leadership,88,In Progress
10325,Compliance,107,Completed
43466,Technical,65,Completed
32519,Technical,58,In Progress
8589,Soft Skills,97,Completed
58645,Compliance,21,In Progress
12880,Soft Skills,112,Completed
2897,Compliance,107,Completed
2489,Technical,101,In Progress
55701,Leadership,110,In Progress
19957,Compliance,26,Completed
13161,Leadership,8,Completed
41919,Soft Skills,94,Completed
22993,Soft Skills,112,In Progress
15975,Compliance,77,Completed
41614,Compliance,39,In Progress
41531,Soft Skills,26,Completed
23597,Compliance,116,Completed
41287,Leadership,54,In Progress
9556,Soft Skills,56,Completed
19876,Compliance,111,In Progress
9994,Leadership,46,In Progress
59892,Technical,87,In Progress
3738,Technical,75,Completed
46757,Compliance,32,Completed
51889,Leadership,72,In Progress
53345,Leadership,56,Completed
22852,Technical,68,In Progress
6179,Compliance,69,Completed
56233,Compliance,33,Completed
35259,Soft Skills,76,In Progress
845,Technical,4,In Progress
53653,Soft Skills,89,Completed
20865,Compliance,75,Completed
55321,Compliance,60,Completed
18062,Compliance,32,Completed
49480,Leadership,63,Completed
24925,Soft Skills,16,Completed
25479,Soft Skills,81,Completed
30737,Compliance,105,In Progress
9034,Soft Skills,35,Completed
53769,Compliance,117,Completed
36492,Technical,85,Completed
28594,Soft Skills,24,Completed
37708,Soft Skills,113,In Progress
4759,Compliance,45,In Progress
23664,Soft Skills,53,Completed
3226,Technical,105,Completed
58759,Technical,74,In Progress
34976,Technical,110,In Progress
22496,Leadership,72,Completed
59582,Compliance,35,Completed
46198,Leadership,113,In Progress
2008,Compliance,103,In Progress
58887,Soft Skills,36,Completed
46766,Technical,6,Completed
44672,Leadership,4,Completed
10788,Technical,91,Completed
4813,Compliance,27,Completed
9596,Soft Skills,64,Completed
23501,Compliance,25,Completed
26490,Leadership,73,In Progress
46417,Soft Skills,83,Completed
21955,Soft Skills,58,Completed
49858,Compliance,92,Completed
55348,Technical,74,Completed
8478,Technical,50,Completed
8901,Technical,77,Completed
27062,Soft Skills,97,Completed
45874,Technical,92,Completed
17253,Compliance,71,In Progress
54411,Leadership,90,Completed
38162,Leadership,114,Completed
2048,Leadership,117,Completed
8610,Compliance,43,In Progress
2474,Technical,44,Completed
52248,Technical,65,Completed
42636,Leadership,5,Completed
46388,Soft Skills,23,In Progress
8029,Technical,42,Completed
49009,Leadership,68,Completed
16088,Leadership,41,In Progress
63,Leadership,74,Completed
39775,Leadership,89,Completed
280,Soft Skills,44,In Progress
45062,Technical,106,In Progress
34191,Leadership,35,In Progress
49664,Soft Skills,106,Completed
21766,Compliance,39,Completed
55435,Soft Skills,118,Completed
47720,Soft Skills,46,In Progress
3726,Leadership,10,Completed
155,Compliance,63,Completed
7049,Technical,90,Completed
4260,Leadership,104,Completed
54427,Compliance,19,In Progress
41776,Compliance,21,Completed
43047,Leadership,106,In Progress
47916,Soft Skills,99,Completed
14657,Leadership,113,Completed
23073,Soft Skills,36,Completed
4036,Compliance,78,Completed
47419,Leadership,111,Completed
9221,Technical,49,In Progress
22666,Soft Skills,37,Completed
51204,Soft Skills,70,Completed
12438,Technical,76,Completed
42251,Technical,12,Completed
41584,Compliance,28,Completed
12355,Soft Skills,103,In Progress
17322,Soft Skills,63,Completed
31552,Leadership,77,Completed
48274,Soft Skills,92,In Progress
52738,Leadership,24,Completed
18349,Soft Skills,100,Completed
9202,Technical,59,Completed
6489,Soft Skills,118,In Progress
53524,Leadership,104,Completed
55237,Soft Skills,89,Completed
55710,Compliance,59,In Progress
45716,Soft Skills,56,Completed
59908,Compliance,53,Completed
2971,Technical,68,Completed
24489,Leadership,103,Completed
48940,Leadership,110,Completed
16297,Leadership,89,Completed
3566,Soft Skills,81,Completed
24987,Leadership,4,Completed
44805,Compliance,75,Completed
43365,Technical,30,In Progress
5551,Leadership,28,Completed
16325,Compliance,7,Completed
58260,Technical,23,Completed
38167,Technical,4,In Progress
4908,Soft Skills,27,Completed
1341,Leadership,99,In Progress
24001,Technical,32,Completed
49058,Leadership,79,Completed
37214,Compliance,43,In Progress
25295,Compliance,27,In Progress
50750,Compliance,60,Completed
6502,Technical,116,In Progress
21457,Technical,22,In Progress
1807,Leadership,112,Completed
56098,Soft Skills,23,Completed
20170,Compliance,8,Completed
32035,Leadership,65,In Progress
16572,Soft Skills,61,In Progress
54119,Leadership,81,Completed
12491,Leadership,104,Completed
57303,Compliance,79,Completed
9379,Soft Skills,44,In Progress
58794,Soft Skills,11,Completed
50149,Technical,36,Completed
47296,Leadership,5,Completed
9839,Compliance,27,Completed
3116,Technical,111,In Progress
31834,Soft Skills,19,In Progress
19498,Technical,96,Completed
18270,Technical,116,Completed
6195,Leadership,16,In Progress
57134,Compliance,23,In Progress
40193,Leadership,111,Completed
39324,Compliance,80,Completed
18667,Leadership,102,Completed
57654,Compliance,111,In Progress
28154,Compliance,78,Completed
28732,Compliance,116,Completed
2398,Leadership,20,In Progress
35258,Leadership,28,Completed
13327,Compliance,103,Completed
16044,Leadership,96,Completed
42757,Leadership,44,Completed
10396,Soft Skills,105,In Progress
3936,Compliance,42,Completed
53209,Leadership,8,Completed
57348,Leadership,28,Completed
24225,Soft Skills,87,Completed
59387,Technical,74,In Progress
4527,Technical,71,In Progress
19591,Leadership,31,In Progress
32309,Leadership,62,In Progress
54672,Leadership,31,Completed
41470,Technical,87,Completed
37124,Soft Skills,21,Completed
34189,Technical,46,Completed
39408,Technical,106,Completed
40688,Technical,104,In Progress
15973,Soft Skills,55,Completed
4173,Leadership,15,Completed
6033,Soft Skills,99,Completed
12243,Soft Skills,27,Completed
5397,Technical,29,Completed
24147,Soft Skills,52,In Progress
58502,Technical,76,In Progress
23046,Leadership,101,Completed
15202,Leadership,42,Completed
2426,Compliance,115,Completed
24286,Soft Skills,17,Completed
39876,Compliance,49,In Progress
5805,Soft Skills,33,Completed
50338,Soft Skills,83,Completed
37216,Technical,21,In Progress
3788,Leadership,22,Completed
55819,Compliance,74,Completed
15631,Technical,7,In Progress
46498,Leadership,28,Completed
30601,Soft Skills,52,In Progress
37592,Technical,51,Completed
22068,Compliance,64,In Progress
37654,Technical,90,In Progress
34611,Soft Skills,61,Completed
8260,Technical,94,Completed
56168,Soft Skills,71,Completed
14077,Compliance,54,In Progress
25364,Compliance,31,Completed
15739,Compliance,23,Completed
2455,Technical,47,In Progress
37082,Leadership,97,Completed
12012,Soft Skills,13,Completed
32306,Leadership,28,Completed
49830,Soft Skills,90,Completed
39072,Soft Skills,65,Completed
7759,Technical,19,Completed
21736,Leadership,105,Completed
47189,Leadership,19,Completed
54464,Compliance,59,Completed
33494,Soft Skills,77,Completed
30151,Soft Skills,20,Completed
38352,Leadership,102,In Progress
22991,Compliance,87,In Progress
37597,Soft Skills,37,Completed
14498,Leadership,11,In Progress
58215,Soft Skills,33,In Progress
21731,Technical,54,Completed
14735,Compliance,90,In Progress
49236,Leadership,96,In Progress
53786,Soft Skills,31,Completed
6155,Leadership,26,Completed
15249,Soft Skills,83,Completed
43746,Technical,21,Completed
16123,Technical,45,Completed
9820,Soft Skills,29,Completed
29045,Technical,87,In Progress
24564,Leadership,11,Completed
52941,Compliance,22,Completed
2167,Compliance,105,In Progress
57264,Leadership,31,Completed
18224,Leadership,61,In Progress
32163,Technical,91,In Progress
30308,Leadership,30,Completed
16507,Technical,100,Completed
26327,Technical,85,In Progress
2755,Leadership,21,In Progress
3449,Soft Skills,46,Completed
34823,Leadership,112,In Progress
50473,Leadership,43,In Progress
34426,Compliance,4,Completed
14101,Compliance,119,Completed
15503,Technical,78,Completed
10244,Leadership,111,In Progress
9543,Compliance,59,In Progress
37820,Technical,102,Completed
53916,Soft Skills,36,Completed
24189,Leadership,49,Completed
3010,Technical,40,Completed
50147,Technical,85,Completed
15915,Technical,52,In Progress
44796,Soft Skills,17,In Progress
12524,Compliance,83,Completed
11069,Leadership,76,Completed
37454,Leadership,24,Completed
6937,Compliance,42,In Progress
17856,Technical,103,Completed
187,Soft Skills,114,Completed
30631,Compliance,31,In Progress
52807,Leadership,105,In Progress
32726,Leadership,58,In Progress
7910,Compliance,110,Completed
44195,Soft Skills,69,Completed
22543,Compliance,78,In Progress
1596,Compliance,84,In Progress
33823,Soft Skills,85,Completed
58094,Leadership,10,In Progress
13882,Technical,82,In Progress
52198,Compliance,35,Completed
11062,Soft Skills,93,Completed
33796,Compliance,53,Completed
54992,Soft Skills,55,In Progress
20083,Leadership,48,Completed
9974,Compliance,116,Completed
24719,Compliance,67,In Progress
29562,Technical,17,Completed
45477,Compliance,18,In Progress
55062,Compliance,86,Completed
20368,Technical,56,Completed
43193,Technical,58,Completed
54675,Compliance,91,Completed
15513,Leadership,19,Completed
6388,Leadership,66,Completed
47556,Leadership,104,In Progress
53853,Leadership,36,Completed
11125,Leadership,62,Completed
15218,Leadership,52,In Progress
43595,Soft Skills,60,In Progress
23833,Compliance,104,In Progress
38579,Soft Skills,15,Completed
25525,Leadership,41,Completed
26858,Compliance,18,In Progress
16790,Soft Skills,10,Completed
40333,Leadership,54,Completed
35413,Leadership,15,Completed
27916,Technical,76,Completed
10856,Technical,4,Completed
38647,Compliance,80,Completed
11740,Technical,57,In Progress
44240,Soft Skills,28,Completed
26102,Technical,80,Completed
13656,Compliance,114,Completed
23823,Technical,19,Completed
8153,Soft Skills,50,Completed
1403,Technical,27,Completed
23783,Leadership,38,Completed
35805,Technical,8,Completed
6617,Soft Skills,39,In Progress
380,Leadership,72,Completed
20635,Technical,10,Completed
8158,Technical,96,Completed
33664,Leadership,17,Completed
44614,Soft Skills,22,Completed
37944,Compliance,17,Completed
38356,Soft Skills,67,Completed
31519,Compliance,60,Completed
27152,Leadership,108,Completed
31423,Soft Skills,43,Completed
44136,Technical,85,Completed
28068,Compliance,8,Completed
10593,Leadership,44,Completed
55749,Soft Skills,59,Completed
58065,Leadership,60,Completed
22260,Compliance,69,Completed
3597,Technical,52,In Progress
9965,Compliance,15,Completed
29218,Compliance,50,Completed
13215,Compliance,8,Completed
2806,Compliance,103,In Progress
33766,Leadership,104,Completed
45807,Compliance,69,In Progress
15080,Leadership,64,In Progress
47945,Compliance,100,In Progress
42764,Soft Skills,81,Completed
31320,Soft Skills,112,Completed
57359,Technical,79,In Progress
18434,Technical,84,Completed
38752,Technical,90,In Progress
49209,Leadership,110,Completed
29946,Leadership,22,Completed
2526,Compliance,59,In Progress
35860,Leadership,114,Completed
27429,Technical,26,Completed
10594,Soft Skills,90,In Progress
4712,Soft Skills,92,Completed
16286,Soft Skills,99,Completed
12878,Soft Skills,36,Completed
24109,Soft Skills,77,In Progress
30874,Leadership,109,Completed
46118,Soft Skills,22,Completed
52056,Soft Skills,115,In Progress
32948,Technical,29,Completed
17348,Leadership,58,In Progress
1578,Compliance,41,Completed
42690,Leadership,60,Completed
52032,Compliance,72,In Progress
25406,Leadership,119,Completed
28771,Technical,57,In Progress
58444,Soft Skills,31,In Progress
19250,Soft Skills,33,Completed
38567,Leadership,111,Completed
11356,Compliance,107,Completed
47137,Compliance,21,In Progress
4303,Soft Skills,20,In Progress
41762,Leadership,101,In Progress
36987,Soft Skills,76,Completed
27563,Compliance,17,Completed
39481,Leadership,13,In Progress
42122,Technical,88,In Progress
28124,Technical,77,In Progress
34680,Soft Skills,106,Completed
23374,Compliance,77,Completed
7576,Soft Skills,112,Completed
11439,Leadership,67,Completed
20344,Technical,110,Completed
48575,Technical,61,Completed
34940,Soft Skills,84,In Progress
47114,Soft Skills,63,Completed
1571,Soft Skills,41,In Progress
46177,Compliance,17,Completed
59961,Technical,117,In Progress
5684,Leadership,74,Completed
19420,Leadership,104,Completed
7086,Leadership,101,Completed
41727,Compliance,37,Completed
51847,Leadership,113,Completed
7619,Technical,119,In Progress
52071,Leadership,119,Completed
33431,Compliance,19,Completed
55607,Soft Skills,33,In Progress
21393,Soft Skills,28,In Progress
779,Technical,101,Completed
28494,Technical,17,Completed
40445,Soft Skills,108,In Progress
41711,Technical,75,In Progress
15728,Leadership,12,In Progress
31125,Leadership,15,Completed
50796,Compliance,99,In Progress
39620,Leadership,5,Completed
8260,Soft Skills,22,In Progress
8739,Compliance,113,In Progress
13254,Soft Skills,76,In Progress
14706,Soft Skills,51,Completed
7852,Soft Skills,27,Completed
35482,Soft Skills,40,Completed
40319,Leadership,115,In Progress
39407,Compliance,83,Completed
34994,Soft Skills,93,Completed
20024,Leadership,31,In Progress
41541,Compliance,88,Completed
12611,Leadership,112,In Progress
20067,Technical,38,In Progress
3289,Compliance,22,Completed
29231,Leadership,101,Completed
26013,Soft Skills,84,In Progress
37955,Technical,51,Completed
42555,Technical,36,Completed
20637,Soft Skills,72,Completed
40931,Compliance,20,In Progress
9883,Soft Skills,113,Completed
57422,Leadership,80,Completed
44676,Soft Skills,49,Completed
38506,Leadership,68,Completed
48364,Soft Skills,60,Completed
53295,Leadership,71,Completed
39959,Compliance,56,Completed
41990,Technical,9,Completed
24715,Leadership,59,Completed
915,Soft Skills,71,In Progress
47271,Technical,10,In Progress
24523,Compliance,88,Completed
56977,Technical,112,In Progress
6005,Soft Skills,8,Completed
44839,Compliance,92,Completed
52515,Technical,19,In Progress
9098,Soft Skills,60,Completed
6463,Technical,72,Completed
49884,Technical,16,Completed
36997,Leadership,11,Completed
51437,Soft Skills,7,Completed
13958,Leadership,105,Completed
44403,Soft Skills,84,Completed
13849,Technical,69,In Progress
34754,Compliance,43,In Progress
9743,Technical,31,Completed
28086,Leadership,38,Completed
41139,Leadership,107,Completed
36833,Soft Skills,33,Completed
58903,Technical,70,Completed
1403,Soft Skills,37,Completed
38142,Compliance,12,Completed
12516,Technical,62,Completed
102,Compliance,65,Completed
48612,Soft Skills,50,Completed
42288,Soft Skills,11,Completed
37289,Technical,27,Completed
41167,Leadership,33,In Progress
7116,Technical,69,Completed
8296,Soft Skills,79,Completed
11796,Leadership,101,Completed
21804,Soft Skills,10,Completed
54447,Compliance,96,In Progress
48447,Soft Skills,108,Completed
27291,Soft Skills,28,Completed
41554,Soft Skills,34,Completed
50297,Soft Skills,22,In Progress
12744,Leadership,29,In Progress
19190,Leadership,11,In Progress
29601,Compliance,82,Completed
37060,Compliance,15,Completed
42234,Technical,48,Completed
45322,Leadership,43,In Progress
36588,Compliance,78,Completed
10541,Soft Skills,84,Completed
4534,Compliance,60,Completed
47381,Leadership,56,Completed
13250,Soft Skills,4,Completed
12951,Compliance,73,In Progress
39074,Leadership,42,In Progress
40746,Leadership,51,Completed
24027,Leadership,73,In Progress
32416,Soft Skills,39,Completed
4689,Soft Skills,70,Completed
37104,Soft Skills,28,Completed
1674,Technical,86,Completed
59133,Leadership,81,Completed
32977,Leadership,104,Completed
16307,Compliance,63,Completed
56960,Compliance,10,Completed
18281,Compliance,44,Completed
13026,Leadership,85,In Progress
6827,Soft Skills,11,In Progress
45361,Leadership,68,In Progress
6353,Technical,91,Completed
39581,Technical,53,In Progress
10661,Soft Skills,57,In Progress
35487,Soft Skills,107,Completed
44208,Compliance,85,Completed
50916,Compliance,80,Completed
53132,Compliance,11,In Progress
46048,Technical,88,Completed
40456,Compliance,55,In Progress
41580,Soft Skills,53,Completed
25513,Leadership,82,Completed
16167,Soft Skills,70,Completed
22885,Leadership,73,Completed
44358,Soft Skills,93,Completed
37632,Soft Skills,16,Completed
33890,Technical,35,Completed
51967,Soft Skills,93,Completed
58076,Compliance,10,In Progress
24749,Soft Skills,29,In Progress
23644,Technical,53,Completed
20734,Soft Skills,28,In Progress
20539,Leadership,30,In Progress
19811,Compliance,43,Completed
27430,Technical,87,Completed
38794,Leadership,22,Completed
8399,Compliance,6,Completed
9568,Technical,31,Completed
26996,Soft Skills,66,Completed
38905,Technical,103,Completed
35880,Leadership,98,In Progress
10191,Soft Skills,77,Completed
43865,Technical,87,Completed
14331,Technical,97,Completed
35860,Soft Skills,18,Completed
33120,Leadership,89,Completed
58855,Soft Skills,33,In Progress
13390,Compliance,87,Completed
18659,Compliance,5,Completed
16418,Soft Skills,51,Completed
43354,Compliance,110,In Progress
2935,Technical,42,Completed
59459,Leadership,71,Completed
37571,Technical,77,Completed
19098,Compliance,97,In Progress
58124,Compliance,92,Completed
38301,Leadership,71,In Progress
10992,Leadership,39,Completed
56703,Technical,13,Completed
41533,Compliance,7,Completed
20654,Soft Skills,88,Completed
40548,Leadership,108,Completed
1686,Compliance,12,In Progress
3487,Technical,109,In Progress
1512,Soft Skills,74,Completed
20433,Soft Skills,20,Completed
28243,Technical,55,In Progress
25136,Technical,45,Completed
44799,Compliance,24,In Progress
43121,Technical,5,In Progress
4778,Soft Skills,82,Completed
44883,Soft Skills,23,Completed
33843,Soft Skills,96,In Progress
28774,Technical,68,Completed
1122,Leadership,87,In Progress
38507,Leadership,26,Completed
57435,Technical,113,In Progress
44594,Leadership,94,Completed
423,Leadership,81,Completed
32507,Leadership,101,Completed
33422,Technical,105,In Progress
3269,Technical,46,Completed
7940,Compliance,7,Completed
20088,Soft Skills,9,Completed
23050,Soft Skills,97,Completed
37295,Leadership,117,Completed
1790,Leadership,34,Completed
55043,Compliance,61,In Progress
40510,Leadership,11,Completed
24010,Compliance,32,Completed
12068,Soft Skills,59,Completed
45404,Soft Skills,94,Completed
31912,Soft Skills,16,In Progress
23598,Technical,14,In Progress
19147,Leadership,78,Completed
31882,Compliance,23,Completed
27097,Soft Skills,14,In Progress
55954,Compliance,25,Completed
51633,Compliance,100,Completed
10345,Compliance,68,Completed
56703,Leadership,37,Completed
15020,Leadership,81,Completed
49158,Technical,109,Completed
22591,Soft Skills,6,Completed
21741,Technical,53,Completed
27182,Soft Skills,80,In Progress
19259,Technical,33,In Progress
27544,Technical,100,Completed
1249,Compliance,15,Completed
48208,Soft Skills,97,Completed
10635,Soft Skills,77,Completed
27734,Soft Skills,106,Completed
45540,Compliance,50,Completed
2480,Technical,73,Completed
39877,Compliance,15,Completed
53106,Technical,16,Completed
12335,Technical,83,In Progress
54605,Compliance,111,In Progress
19507,Compliance,47,Completed
15497,Technical,49,Completed
55835,Soft Skills,99,Completed
41138,Leadership,25,Completed
41507,Technical,86,In Progress
27403,Soft Skills,49,Completed
707,Technical,83,Completed
47402,Soft Skills,41,Completed
35615,Technical,59,Completed
59610,Compliance,97,Completed
40341,Soft Skills,113,Completed
58337,Technical,99,In Progress
18703,Technical,74,Completed
39644,Technical,108,Completed
56472,Soft Skills,25,Completed
59106,Compliance,59,Completed
50480,Leadership,50,Completed
17591,Technical,35,Completed
51578,Compliance,76,Completed
50684,Technical,88,Completed
43516,Compliance,41,Completed
18773,Compliance,81,Completed
40077,Technical,17,In Progress
52491,Leadership,68,In Progress
4675,Leadership,16,In Progress
22240,Technical,69,Completed
53999,Leadership,13,Completed
44092,Soft Skills,35,In Progress
39704,Leadership,52,Completed
46458,Soft Skills,47,Completed
46546,Compliance,80,Completed
16413,Leadership,85,Completed
16801,Leadership,92,Completed
19831,Compliance,57,Completed
13434,Leadership,61,Completed
53327,Compliance,10,In Progress
14510,Soft Skills,88,In Progress
23646,Compliance,10,In Progress
49762,Soft Skills,10,In Progress
57262,Compliance,84,Completed
46847,Compliance,59,Completed
56445,Compliance,108,In Progress
57033,Soft Skills,46,Completed
33847,Soft Skills,66,Completed
33124,Compliance,67,Completed
39525,Technical,26,In Progress
22320,Technical,32,Completed
21406,Compliance,56,Completed
34282,Compliance,119,In Progress
8239,Compliance,74,Completed
34189,Technical,91,Completed
30733,Leadership,40,Completed
1945,Technical,36,Completed
56335,Leadership,113,Completed
41560,Soft Skills,13,Completed
57428,Compliance,57,In Progress
21552,Leadership,74,In Progress
58816,Soft Skills,66,In Progress
847,Compliance,31,Completed
33950,Soft Skills,18,Completed
57512,Soft Skills,9,Completed
43151,Leadership,7,Completed
51690,Leadership,19,In Progress
19743,Technical,29,Completed
46966,Compliance,62,Completed
39547,Compliance,56,Completed
18587,Compliance,48,In Progress
59292,Soft Skills,38,Completed
47643,Leadership,26,Completed
38246,Soft Skills,43,In Progress
50351,Compliance,5,In Progress
22058,Technical,116,In Progress
21346,Leadership,8,Completed
1104,Soft Skills,4,Completed
1511,Soft Skills,70,Completed
49001,Compliance,46,Completed
49597,Technical,64,Completed
12220,Leadership,25,Completed
2363,Compliance,26,Completed
43527,Leadership,117,Completed
57632,Leadership,80,Completed
41790,Technical,86,Completed
37341,Leadership,89,Completed
170,Soft Skills,12,Completed
757,Compliance,25,Completed
2571,Compliance,41,In Progress
33748,Compliance,38,In Progress
22632,Leadership,90,Completed
20672,Soft Skills,110,Completed
48639,Compliance,117,In Progress
34572,Leadership,103,Completed
26292,Compliance,106,Completed
13240,Soft Skills,73,Completed
4077,Soft Skills,27,Completed
55149,Leadership,93,Completed
16008,Technical,14,In Progress
27423,Soft Skills,94,Completed
16787,Leadership,106,Completed
26234,Technical,17,In Progress
3380,Soft Skills,76,Completed
38367,Compliance,86,Completed
2839,Compliance,56,In Progress
21569,Compliance,32,Completed
52396,Soft Skills,108,Completed
26407,Compliance,85,Completed
43315,Soft Skills,17,Completed
26617,Technical,110,Completed
23699,Technical,18,Completed
35456,Compliance,62,Completed
50899,Soft Skills,106,Completed
54076,Compliance,29,Completed
10840,Technical,7,Completed
51121,Leadership,113,Completed
16765,Soft Skills,43,In Progress
25009,Soft Skills,22,Completed
5321,Compliance,66,Completed
31122,Technical,31,In Progress
42433,Soft Skills,81,In Progress
14267,Soft Skills,76,In Progress
28914,Technical,53,Completed
2769,Soft Skills,113,In Progress
24914,Soft Skills,36,In Progress
1994,Soft Skills,60,Completed
11640,Technical,35,Completed
29,Technical,102,Completed
15451,Technical,88,Completed
35540,Leadership,9,Completed
29685,Technical,4,Completed
52179,Leadership,46,Completed
49332,Leadership,62,Completed
17683,Soft Skills,47,In Progress
42439,Compliance,55,Completed
7650,Leadership,29,Completed
16823,Leadership,66,Completed
28490,Leadership,67,In Progress
34858,Leadership,113,In Progress
48204,Compliance,13,In Progress
13243,Technical,42,Completed
18126,Technical,19,Completed
668,Compliance,49,Completed
1142,Soft Skills,85,Completed
59105,Soft Skills,66,Completed
37546,Leadership,37,Completed
10746,Leadership,37,Completed
37874,Leadership,18,Completed
5890,Leadership,9,Completed
39368,Technical,85,In Progress
10283,Leadership,92,Completed
13256,Technical,99,Completed
47090,Technical,4,Completed
8258,Compliance,76,Completed
8980,Technical,85,Completed
20513,Technical,15,Completed
26469,Leadership,103,In Progress
50476,Leadership,26,Completed
39353,Compliance,45,Completed
13986,Soft Skills,22,Completed
32385,Technical,104,Completed
56447,Technical,53,Completed
42730,Soft Skills,74,In Progress
18684,Technical,50,In Progress
42368,Compliance,68,In Progress
18616,Technical,38,In Progress
20710,Leadership,93,Completed
24164,Soft Skills,4,Completed
13610,Soft Skills,110,In Progress
51148,Technical,84,Completed
29080,Compliance,59,Completed
33833,Leadership,16,Completed
3064,Compliance,10,Completed
44035,Compliance,57,Completed
10384,Compliance,23,In Progress
58201,Soft Skills,9,Completed
24184,Compliance,31,Completed
25698,Soft Skills,47,Completed
2332,Soft Skills,21,In Progress
45918,Leadership,56,In Progress
42823,Compliance,56,Completed
48081,Leadership,89,Completed
31948,Leadership,15,Completed
10926,Soft Skills,27,Completed
1587,Technical,111,Completed
47657,Compliance,19,Completed
4257,Technical,52,Completed
7271,Leadership,72,Completed
38582,Compliance,40,Completed
25684,Technical,105,Completed
19961,Compliance,44,In Progress
48470,Compliance,102,Completed
41552,Leadership,42,In Progress
27165,Leadership,7,Completed
51882,Compliance,54,Completed
44544,Leadership,36,In Progress
41306,Leadership,90,Completed
46284,Technical,58,Completed
45212,Soft Skills,37,Completed
8313,Compliance,42,Completed
46970,Technical,15,Completed
13925,Leadership,42,Completed
35399,Technical,64,Completed
41250,Compliance,106,Completed
26969,Compliance,12,Completed
53710,Technical,78,In Progress
23660,Soft Skills,56,Completed
59904,Soft Skills,98,Completed
43343,Compliance,104,Completed
3639,Compliance,34,In Progress
36452,Soft Skills,100,Completed
39853,Compliance,24,Completed
32168,Compliance,39,In Progress
10597,Soft Skills,15,In Progress
14804,Technical,72,In Progress
30017,Soft Skills,72,In Progress
13671,Leadership,95,Completed
58830,Compliance,69,Completed
13425,Compliance,80,Completed
12279,Leadership,108,In Progress
8194,Leadership,40,Completed
7548,Compliance,49,Completed
23918,Leadership,85,Completed
17010,Leadership,5,Completed
22119,Compliance,48,In Progress
21981,Leadership,28,In Progress
9206,Compliance,73,Completed
3149,Leadership,31,In Progress
7449,Leadership,96,Completed
22818,Technical,30,Completed
50167,Leadership,76,Completed
31448,Soft Skills,38,Completed
15344,Compliance,76,In Progress
14975,Technical,68,Completed
4242,Compliance,19,Completed
1838,Technical,43,Completed
13670,Compliance,54,In Progress
41048,Technical,53,Completed
23099,Soft Skills,22,In Progress
9650,Compliance,112,In Progress
11453,Soft Skills,66,In Progress
32006,Compliance,85,In Progress
15349,Compliance,38,In Progress
58436,Technical,35,Completed
50982,Technical,30,In Progress
30539,Technical,40,Completed
21864,Leadership,14,Completed
27931,Soft Skills,103,Completed
51995,Technical,69,In Progress
4136,Leadership,81,Completed
30024,Leadership,17,In Progress
15436,Soft Skills,91,Completed
24585,Leadership,40,Completed
36889,Technical,11,In Progress
31230,Technical,50,Completed
10054,Compliance,80,Completed
34503,Leadership,31,In Progress
31432,Leadership,102,In Progress
56645,Soft Skills,90,Completed
18521,Soft Skills,79,Completed
40934,Technical,24,In Progress
34099,Compliance,62,In Progress
58623,Compliance,56,In Progress
26669,Leadership,111,Completed
10460,Leadership,99,In Progress
14142,Technical,44,In Progress
7915,Soft Skills,97,Completed
38207,Soft Skills,115,Completed
16787,Soft Skills,112,Completed
20156,Leadership,37,In Progress
51302,Compliance,77,Completed
54334,Leadership,26,Completed
27103,Compliance,105,Completed
25261,Leadership,10,Completed
59484,Leadership,45,In Progress
24375,Soft Skills,10,Completed
55271,Soft Skills,86,Completed
55828,Technical,81,Completed
51694,Leadership,4,Completed
46063,Soft Skills,26,In Progress
27356,Leadership,7,Completed
24170,Technical,64,Completed
