employee_id,current_level,years_in_current_role,promotion_eligible
10226,Senior,2,Yes
44021,Junior,4,No
8858,Junior,3,No
29928,Lead,7,Yes
10435,Mid,5,No
16837,Lead,4,No
49254,Mid,4,No
46170,Junior,0,No
33847,Lead,1,Yes
17045,Senior,7,No
21187,Lead,4,No
10865,Senior,4,Yes
51153,Mid,5,No
453,Lead,1,Yes
34940,Mid,4,No
1184,Lead,5,Yes
12665,Senior,7,No
4289,Junior,4,Yes
47585,Junior,4,No
58540,Mid,5,Yes
12217,Lead,0,Yes
40180,Junior,7,No
20242,Junior,0,No
48283,Senior,6,No
52755,Junior,3,Yes
25465,Lead,0,Yes
23782,Lead,6,No
10751,Senior,7,No
24937,Junior,1,Yes
39732,Lead,0,No
46920,Mid,6,No
38696,Senior,7,Yes
36979,Mid,2,Yes
57049,Mid,1,No
13119,Junior,5,Yes
3235,Mid,2,No
1656,Junior,3,No
22241,Lead,2,No
43564,Lead,3,No
45428,Mid,4,No
47972,Mid,7,No
31935,Mid,6,Yes
32066,Senior,5,Yes
58271,Lead,3,No
54630,Junior,4,No
57536,Junior,3,No
16934,Junior,6,No
50485,Lead,0,No
22112,Mid,4,No
16656,Mid,4,Yes
24678,Mid,4,Yes
51115,Mid,0,No
1929,Senior,6,No
21649,Junior,5,Yes
45851,Mid,0,No
31974,Lead,3,No
37428,Lead,5,No
40085,Senior,4,No
48706,Lead,7,No
26497,Junior,7,Yes
875,Senior,1,No
53044,Mid,3,Yes
29664,Lead,6,No
32317,Mid,7,No
34931,Mid,4,No
8551,Senior,3,No
51251,Mid,6,Yes
10248,Lead,0,No
51594,Junior,4,No
59530,Lead,7,No
29276,Mid,2,Yes
51764,Senior,0,No
59494,Mid,6,No
11007,Mid,6,Yes
21886,Senior,4,No
3157,Mid,2,No
32703,Lead,7,Yes
5272,Junior,3,No
51929,Junior,2,Yes
17077,Lead,0,Yes
39532,Junior,1,No
28263,Senior,5,No
27185,Senior,1,No
22732,Mid,6,Yes
31006,Junior,5,No
48365,Lead,0,No
45984,Lead,3,No
5204,Senior,1,No
14633,Lead,2,Yes
42194,Senior,4,No
55529,Senior,6,Yes
32732,Lead,7,Yes
36452,Lead,1,No
21346,Senior,2,No
43115,Senior,2,No
57620,Junior,4,No
3496,Senior,7,No
20907,Senior,0,No
33503,Lead,2,No
56761,Lead,7,Yes
19756,Junior,0,No
57178,Lead,1,No
37269,Mid,3,Yes
57868,Lead,6,No
29054,Mid,4,No
47169,Senior,0,Yes
20865,Mid,4,No
3958,Junior,2,Yes
11717,Senior,5,No
11937,Junior,5,Yes
33533,Lead,1,Yes
44917,Lead,4,Yes
7228,Mid,6,Yes
40369,Mid,0,No
12219,Junior,7,Yes
43854,Senior,0,Yes
56671,Senior,2,No
583,Senior,5,No
23154,Junior,2,No
40453,Senior,1,Yes
30176,Lead,0,No
31937,Junior,3,Yes
52096,Mid,1,Yes
45715,Junior,7,Yes
47877,Senior,4,Yes
25002,Mid,4,No
58236,Mid,6,No
7781,Senior,4,Yes
13516,Mid,2,No
43939,Lead,2,No
38567,Mid,1,No
24771,Mid,7,No
30690,Junior,5,No
30686,Junior,7,Yes
55094,Senior,0,No
56757,Lead,7,No
35768,Junior,3,No
43310,Mid,6,Yes
2887,Junior,2,No
17467,Junior,4,No
35956,Junior,7,Yes
7495,Senior,2,No
26811,Mid,1,No
8184,Mid,4,No
52636,Mid,6,Yes
3586,Junior,5,No
32343,Junior,4,No
50781,Mid,5,Yes
46941,Junior,0,No
31450,Mid,5,No
47208,Senior,4,No
53809,Senior,6,No
11162,Mid,0,Yes
54316,Junior,7,No
5523,Mid,2,No
51945,Junior,4,No
41340,Junior,4,No
20016,Mid,6,No
47271,Senior,4,Yes
39214,Lead,0,Yes
49697,Junior,5,No
49133,Junior,6,Yes
59739,Senior,3,Yes
15066,Senior,0,No
37001,Lead,1,No
456,Lead,5,No
82,Junior,5,No
13757,Lead,6,No
10415,Senior,1,No
35075,Senior,5,No
59130,Senior,5,Yes
15786,Mid,1,No
17424,Junior,2,Yes
52122,Mid,3,No
10506,Senior,1,Yes
50511,Junior,4,No
59964,Lead,2,Yes
31016,Junior,7,Yes
36413,Senior,1,No
15118,Junior,2,No
19867,Senior,0,No
3694,Lead,1,No
53644,Mid,1,Yes
48436,Mid,7,No
7713,Junior,1,Yes
52902,Lead,4,No
10804,Senior,2,Yes
384,Lead,6,Yes
22070,Mid,7,Yes
14168,Mid,2,No
58891,Junior,4,No
32734,Junior,4,No
48962,Lead,6,No
23018,Mid,4,Yes
9383,Senior,0,No
34068,Senior,7,Yes
58516,Mid,0,Yes
49379,Lead,3,Yes
51765,Junior,1,Yes
15534,Lead,4,No
25345,Junior,0,No
12924,Mid,1,No
21246,Lead,6,No
47264,Lead,4,No
56212,Senior,2,Yes
47610,Mid,7,No
48883,Mid,6,No
22218,Junior,4,No
19477,Senior,2,No
8556,Mid,5,No
1208,Junior,1,Yes
10546,Lead,2,Yes
20690,Senior,2,No
27965,Mid,4,No
32387,Mid,0,No
4078,Senior,1,No
16088,Senior,1,Yes
51768,Lead,1,No
30591,Lead,5,No
25649,Lead,3,No
44024,Mid,0,No
31247,Junior,4,No
5271,Junior,1,Yes
45609,Senior,5,Yes
4651,Mid,7,Yes
34097,Junior,5,No
52085,Mid,7,Yes
17598,Lead,3,Yes
44153,Mid,6,No
25825,Lead,3,Yes
28545,Senior,1,Yes
6040,Junior,6,Yes
22913,Mid,4,No
31366,Junior,7,No
15899,Junior,2,No
37292,Senior,5,Yes
18302,Lead,5,No
16745,Lead,0,No
35449,Lead,7,No
57898,Junior,4,No
51819,Junior,5,Yes
5021,Lead,7,No
17664,Senior,2,Yes
41551,Senior,5,No
53749,Senior,2,No
40480,Junior,7,Yes
15841,Junior,6,No
37469,Lead,0,Yes
23661,Mid,1,No
22711,Mid,5,No
34391,Senior,3,No
41239,Senior,4,No
57919,Senior,6,Yes
11764,Lead,0,Yes
38558,Mid,3,No
52146,Senior,6,Yes
16672,Mid,3,No
52007,Lead,5,Yes
1962,Lead,4,No
49547,Mid,7,No
19451,Senior,5,No
50014,Junior,5,No
44715,Junior,7,Yes
7050,Junior,3,No
28372,Senior,1,No
8123,Mid,4,Yes
4515,Mid,5,Yes
10350,Junior,0,Yes
47444,Senior,0,Yes
25497,Mid,1,No
48853,Senior,2,No
46935,Mid,2,Yes
47623,Junior,4,No
14808,Lead,6,No
8695,Lead,1,Yes
34270,Mid,6,No
45990,Lead,1,No
47506,Junior,7,No
49024,Mid,5,No
22533,Junior,5,No
15601,Lead,3,Yes
410,Senior,4,No
33452,Junior,4,No
52210,Mid,6,Yes
56076,Senior,2,No
19001,Senior,6,No
22211,Mid,0,No
20343,Lead,0,Yes
19472,Senior,7,No
8840,Junior,4,No
59432,Lead,2,No
59516,Senior,1,No
58091,Lead,5,Yes
51055,Lead,5,No
58793,Lead,1,No
37656,Senior,2,No
18839,Lead,1,No
18266,Senior,7,No
5850,Mid,4,No
17435,Mid,4,No
4234,Lead,6,Yes
43647,Junior,4,No
4860,Senior,4,Yes
59093,Junior,0,No
12077,Mid,1,Yes
2973,Senior,1,Yes
32309,Mid,0,No
56559,Junior,1,No
17620,Junior,5,No
12933,Senior,0,Yes
3088,Senior,2,No
16471,Mid,4,No
23348,Senior,2,No
43211,Lead,6,No
35320,Senior,7,No
20640,Mid,3,Yes
10080,Mid,0,No
34732,Junior,3,Yes
28425,Lead,3,Yes
53744,Junior,6,Yes
275,Lead,2,No
7830,Junior,6,Yes
26135,Mid,6,Yes
49382,Lead,5,No
55426,Senior,2,Yes
39172,Junior,1,No
35775,Mid,5,Yes
27705,Junior,0,No
21210,Junior,3,Yes
38717,Lead,7,No
8591,Senior,3,No
23133,Mid,0,Yes
44778,Junior,2,No
35073,Mid,0,No
21511,Mid,3,Yes
45983,Lead,6,Yes
1268,Lead,0,No
59050,Mid,5,Yes
5348,Senior,3,No
51695,Lead,6,No
49757,Senior,1,No
27031,Mid,3,No
12953,Mid,4,No
99,Junior,0,No
33924,Lead,6,No
1033,Senior,0,No
35071,Mid,2,No
27808,Lead,0,Yes
6564,Junior,4,No
31055,Lead,2,No
57689,Lead,3,Yes
29371,Mid,3,Yes
39847,Junior,0,No
34442,Senior,1,No
4184,Lead,3,No
31164,Junior,3,No
32828,Mid,6,No
43687,Lead,4,Yes
23877,Mid,5,No
52291,Junior,2,No
43963,Junior,7,Yes
57045,Mid,1,No
11159,Junior,4,No
35280,Lead,5,Yes
45567,Mid,2,No
29422,Junior,2,No
32713,Senior,7,Yes
45611,Senior,4,Yes
20463,Mid,3,No
9144,Senior,4,Yes
49879,Mid,1,No
42394,Senior,5,No
24002,Mid,4,No
28812,Senior,0,No
27874,Junior,5,No
1254,Lead,0,No
34306,Senior,0,No
52953,Junior,0,No
40411,Lead,2,Yes
28369,Mid,5,No
43284,Junior,3,Yes
28261,Senior,5,Yes
10329,Senior,6,No
5695,Junior,1,No
20500,Lead,6,Yes
31497,Senior,4,No
6353,Lead,0,No
42116,Senior,5,No
13408,Lead,5,No
39140,Junior,4,No
6494,Lead,6,Yes
41137,Lead,6,No
2587,Junior,1,No
46109,Junior,0,No
2614,Junior,2,Yes
52908,Lead,3,No
21076,Senior,5,No
40285,Lead,7,No
31281,Junior,4,No
25677,Lead,6,No
43445,Junior,7,Yes
36238,Mid,0,No
43088,Senior,0,Yes
15292,Senior,2,No
31638,Mid,1,Yes
57694,Senior,7,No
57783,Mid,2,No
25859,Senior,2,No
56697,Senior,1,No
48253,Mid,7,No
13841,Junior,3,No
47115,Junior,0,No
10405,Junior,1,Yes
213,Senior,3,No
12067,Mid,5,Yes
39402,Lead,7,Yes
17316,Lead,7,No
3305,Senior,1,No
34054,Senior,3,Yes
21463,Mid,7,No
6119,Senior,3,No
12993,Lead,2,Yes
10524,Mid,1,No
5527,Senior,0,No
23037,Junior,6,Yes
7752,Mid,7,No
39336,Mid,7,No
46419,Mid,2,No
31075,Lead,1,No
46054,Senior,7,No
16893,Lead,4,No
16665,Junior,5,No
45356,Senior,5,No
7932,Lead,3,No
19295,Lead,7,No
55428,Senior,5,No
19247,Senior,3,Yes
34793,Lead,6,No
603,Mid,4,Yes
26319,Lead,3,Yes
27953,Junior,1,No
29474,Senior,0,Yes
36192,Senior,3,No
49137,Senior,1,No
25025,Senior,1,No
6393,Junior,2,No
48481,Lead,5,No
15277,Mid,1,Yes
14583,Senior,2,No
4307,Senior,7,Yes
23203,Junior,2,No
20170,Senior,4,No
43058,Mid,2,Yes
47373,Mid,6,Yes
59228,Junior,5,No
42277,Junior,2,No
30626,Junior,6,No
44498,Senior,2,Yes
40371,Junior,3,No
38753,Senior,1,No
12867,Lead,3,Yes
27343,Senior,7,No
12,Mid,1,No
38890,Mid,7,No
20253,Senior,6,No
10757,Senior,6,No
18631,Mid,2,No
47431,Lead,2,Yes
57962,Lead,4,No
44369,Lead,6,No
44763,Senior,5,No
4763,Junior,7,No
41641,Junior,0,No
44585,Mid,4,No
29994,Senior,3,No
34905,Mid,0,No
57193,Senior,2,No
20502,Junior,1,No
16224,Lead,6,Yes
34751,Junior,7,Yes
47085,Junior,3,Yes
36801,Junior,5,No
12854,Junior,3,Yes
20290,Lead,1,No
53291,Senior,0,No
21473,Lead,7,Yes
7216,Mid,7,Yes
52542,Junior,3,Yes
3986,Junior,6,Yes
41817,Senior,3,Yes
37618,Senior,2,Yes
56025,Senior,6,No
17014,Junior,0,Yes
56155,Mid,3,Yes
50265,Lead,2,Yes
46938,Mid,5,No
22079,Senior,2,No
12584,Junior,7,No
38909,Junior,4,Yes
16939,Mid,1,Yes
48136,Lead,0,No
19604,Mid,3,No
36647,Senior,2,Yes
36352,Lead,0,No
37306,Senior,7,No
17134,Junior,7,No
7919,Junior,0,No
59696,Senior,2,Yes
51289,Senior,3,Yes
40956,Mid,4,Yes
7213,Lead,7,No
32262,Lead,6,No
27962,Lead,4,No
49839,Junior,2,Yes
40682,Lead,1,Yes
23383,Senior,5,No
50566,Lead,4,Yes
10684,Mid,0,No
15909,Lead,0,No
18440,Senior,7,No
58701,Lead,4,No
32882,Junior,3,No
52740,Senior,3,Yes
41895,Junior,0,Yes
43235,Senior,3,No
41639,Lead,3,Yes
19255,Senior,5,No
50104,Lead,5,No
1273,Junior,3,No
19118,Mid,0,No
44195,Senior,2,Yes
55044,Senior,1,No
43137,Lead,1,Yes
1887,Lead,2,No
8628,Senior,2,No
54831,Senior,6,Yes
29060,Junior,2,No
19985,Senior,5,No
52093,Senior,5,No
22358,Senior,5,No
29517,Mid,1,No
42043,Junior,2,No
59701,Junior,1,Yes
11795,Mid,5,No
9626,Mid,1,Yes
58594,Senior,5,No
54034,Lead,4,No
42482,Mid,4,No
32690,Lead,0,No
18853,Junior,7,Yes
29390,Senior,6,Yes
36474,Junior,1,No
18279,Lead,7,Yes
48475,Mid,5,No
21357,Junior,4,No
28375,Junior,4,No
26094,Mid,7,No
11914,Mid,6,No
26315,Junior,6,No
46310,Lead,7,No
15583,Junior,0,No
3128,Junior,4,Yes
6784,Lead,4,No
27778,Senior,7,No
56736,Senior,3,Yes
27287,Senior,3,No
57589,Mid,3,No
6004,Mid,0,No
50613,Lead,0,No
47393,Lead,0,No
29737,Junior,1,No
6428,Mid,6,Yes
33755,Junior,0,No
5673,Senior,6,Yes
40453,Lead,0,Yes
27009,Senior,5,No
24950,Senior,3,No
55777,Mid,1,No
54699,Junior,4,No
26017,Mid,0,No
19461,Senior,0,Yes
58853,Lead,3,Yes
16965,Senior,4,Yes
46608,Senior,2,Yes
55445,Junior,5,Yes
53,Junior,0,No
16555,Mid,5,Yes
16380,Junior,7,Yes
30556,Junior,1,No
28570,Lead,1,No
50642,Lead,7,No
11164,Lead,5,No
24805,Mid,6,No
36234,Lead,1,No
1536,Mid,0,Yes
24225,Junior,2,Yes
36562,Junior,7,No
58830,Senior,0,No
12288,Lead,2,Yes
20555,Lead,3,No
56408,Mid,6,No
41092,Lead,5,Yes
49729,Junior,1,No
54775,Mid,6,No
8544,Junior,6,No
13288,Mid,3,Yes
41285,Senior,7,No
36947,Senior,5,No
41056,Senior,1,Yes
59503,Mid,2,Yes
20006,Lead,3,Yes
45028,Junior,4,Yes
41512,Junior,3,No
49552,Mid,2,No
5019,Senior,0,Yes
59252,Lead,1,No
14445,Senior,5,No
38602,Junior,1,No
6673,Mid,3,Yes
23265,Junior,1,No
42947,Mid,7,No
37418,Junior,5,No
44203,Mid,0,No
11297,Junior,3,Yes
24539,Junior,6,No
38631,Mid,4,No
1488,Senior,5,No
23375,Mid,3,No
50306,Lead,6,No
48909,Senior,2,No
10098,Mid,3,No
22081,Senior,6,No
58896,Senior,5,No
37697,Senior,0,No
28464,Senior,1,Yes
32232,Mid,1,Yes
53243,Junior,6,No
41719,Senior,4,No
52325,Senior,4,Yes
56623,Senior,1,No
28699,Senior,2,No
27148,Lead,6,No
32488,Junior,3,No
44294,Junior,7,Yes
9840,Lead,5,No
5945,Senior,3,No
20645,Junior,5,Yes
46285,Senior,5,Yes
9656,Mid,3,No
15074,Mid,4,No
54417,Lead,0,No
5691,Junior,4,No
57735,Lead,5,No
31151,Senior,0,Yes
10265,Mid,3,Yes
14090,Lead,3,Yes
15076,Senior,5,No
35419,Junior,7,No
59706,Junior,5,No
21733,Senior,4,Yes
42424,Mid,7,Yes
55352,Senior,7,No
59660,Senior,5,Yes
33853,Mid,4,No
12776,Junior,3,No
42250,Mid,7,No
14622,Mid,5,Yes
44685,Junior,2,No
16609,Lead,4,Yes
50470,Mid,2,No
42341,Lead,2,No
5172,Senior,4,No
19815,Mid,1,No
37046,Junior,1,No
43038,Lead,1,Yes
2518,Junior,2,No
47804,Senior,1,Yes
22153,Senior,0,No
17404,Junior,1,No
58393,Senior,2,Yes
8121,Mid,5,No
5069,Mid,5,No
9758,Lead,1,No
2538,Lead,5,Yes
152,Senior,2,No
49040,Senior,7,No
1839,Junior,4,No
6447,Senior,1,No
40117,Senior,2,No
51774,Mid,3,No
8662,Junior,6,Yes
17439,Junior,5,No
1412,Junior,3,No
52792,Mid,4,No
44837,Junior,3,Yes
2411,Senior,7,No
36052,Junior,3,No
20055,Lead,4,No
33745,Junior,1,No
45695,Lead,4,No
24031,Senior,4,No
37276,Mid,4,No
48063,Senior,0,No
49972,Junior,3,No
57851,Junior,2,No
25142,Senior,5,No
22487,Junior,3,No
32869,Lead,2,No
27911,Senior,4,No
48228,Mid,7,Yes
48771,Junior,7,No
18257,Mid,6,No
27843,Junior,7,No
35718,Lead,4,Yes
36082,Lead,4,Yes
35332,Mid,3,No
54331,Senior,4,No
59517,Junior,4,No
41629,Lead,2,No
2744,Junior,3,Yes
50506,Lead,7,Yes
24973,Junior,5,No
51690,Lead,0,Yes
12825,Senior,4,No
21320,Lead,7,No
6108,Mid,6,No
31676,Lead,4,No
8087,Senior,0,No
35005,Mid,5,No
49917,Mid,3,Yes
15374,Lead,5,No
35001,Junior,2,Yes
5553,Mid,7,Yes
29793,Mid,5,No
10137,Junior,1,No
38286,Lead,0,Yes
38047,Lead,0,No
34309,Mid,0,Yes
9610,Lead,1,No
46877,Senior,6,No
28813,Senior,1,No
29528,Mid,7,Yes
4987,Senior,6,No
30925,Junior,0,No
43038,Mid,0,Yes
41606,Junior,6,No
51631,Junior,5,No
13270,Junior,5,No
38810,Junior,0,No
7125,Mid,2,No
3151,Junior,7,Yes
12760,Lead,4,No
19526,Lead,6,No
18802,Lead,2,No
10250,Senior,3,No
4544,Lead,7,Yes
6388,Senior,3,No
30210,Lead,0,No
41733,Senior,2,Yes
39588,Junior,4,No
18427,Junior,5,No
12733,Junior,5,Yes
46990,Lead,6,No
49139,Senior,7,No
4320,Lead,7,No
43128,Lead,5,Yes
43724,Lead,2,No
154,Senior,6,Yes
16883,Mid,1,No
33912,Lead,3,No
46247,Senior,1,Yes
16798,Junior,2,Yes
51066,Senior,0,No
25450,Senior,7,No
4637,Junior,0,Yes
20133,Senior,0,Yes
35513,Junior,4,No
25719,Lead,4,No
57943,Junior,6,No
23963,Junior,3,Yes
56366,Mid,2,No
16277,Junior,5,No
38089,Mid,6,Yes
7139,Mid,0,No
9026,Lead,5,Yes
1189,Lead,2,No
38103,Senior,0,No
59686,Lead,0,No
33862,Lead,2,No
974,Mid,1,Yes
52251,Junior,0,Yes
24971,Lead,0,No
17155,Lead,6,Yes
12237,Lead,3,No
20807,Senior,5,No
10540,Junior,5,Yes
27861,Mid,2,No
46637,Senior,0,No
41859,Junior,3,No
46987,Senior,7,No
16614,Junior,2,No
19421,Mid,3,Yes
25395,Lead,6,Yes
36488,Senior,4,No
49310,Junior,2,No
44155,Junior,5,No
5553,Junior,6,No
30591,Junior,1,No
56178,Mid,3,No
55227,Mid,4,No
52006,Senior,2,No
31995,Mid,6,Yes
30996,Mid,4,Yes
412,Senior,6,No
12028,Mid,3,Yes
31790,Senior,7,No
27274,Lead,4,No
15465,Mid,7,Yes
32106,Junior,3,No
4202,Senior,7,No
57537,Senior,5,No
28615,Lead,0,No
59424,Junior,3,No
58475,Mid,3,Yes
21708,Mid,0,Yes
41682,Senior,5,No
40209,Lead,3,No
38055,Junior,5,Yes
33517,Senior,5,No
27670,Lead,5,No
3822,Lead,6,Yes
8798,Junior,6,No
48720,Junior,6,No
42863,Junior,4,Yes
1852,Senior,6,No
2064,Senior,3,No
7244,Junior,6,Yes
3504,Senior,6,No
22991,Senior,0,Yes
53927,Mid,1,No
4209,Mid,2,No
27389,Mid,3,No
22857,Junior,0,Yes
52253,Mid,6,No
54698,Mid,0,Yes
31034,Mid,1,Yes
30393,Junior,4,Yes
15270,Junior,1,Yes
4753,Mid,1,No
48384,Junior,3,No
27627,Lead,5,Yes
37447,Mid,0,No
55124,Senior,4,Yes
3216,Junior,1,No
16244,Senior,4,No
58858,Junior,5,No
14482,Senior,5,Yes
7421,Junior,4,Yes
7904,Senior,0,No
17126,Mid,4,Yes
48939,Lead,1,Yes
44592,Mid,6,Yes
46724,Senior,2,Yes
52044,Lead,4,No
57200,Mid,4,Yes
18838,Senior,3,No
29421,Senior,5,No
31863,Lead,1,No
50563,Mid,3,Yes
5927,Junior,7,Yes
9831,Senior,6,Yes
54550,Mid,4,No
31811,Junior,2,No
53719,Mid,2,No
1968,Lead,2,Yes
51358,Senior,1,Yes
7675,Senior,2,Yes
16362,Lead,5,No
29791,Senior,7,Yes
53789,Senior,1,No
2593,Lead,4,No
41079,Mid,3,Yes
35527,Lead,7,Yes
6090,Lead,4,No
53021,Senior,2,No
9397,Lead,5,Yes
49758,Junior,4,Yes
10776,Lead,2,No
52429,Lead,4,No
58562,Senior,5,Yes
12813,Junior,7,No
22099,Mid,7,Yes
51386,Lead,7,No
35628,Junior,1,No
53583,Mid,5,Yes
29478,Lead,7,Yes
58645,Mid,0,No
58203,Junior,4,No
9981,Junior,0,Yes
17535,Junior,0,No
45129,Lead,2,Yes
26116,Senior,6,No
54516,Lead,6,Yes
8711,Junior,2,No
26690,Mid,7,Yes
13879,Junior,2,Yes
39845,Mid,5,No
21073,Junior,2,No
21200,Senior,2,Yes
3483,Lead,2,Yes
25819,Mid,2,Yes
11504,Mid,6,Yes
35254,Junior,0,Yes
14248,Senior,7,No
3889,Lead,0,Yes
16774,Junior,7,No
50094,Mid,4,No
55232,Junior,4,No
26301,Junior,4,No
58389,Senior,3,Yes
31216,Mid,7,Yes
7343,Senior,0,No
1450,Senior,7,Yes
23798,Lead,7,Yes
1573,Mid,1,Yes
36225,Lead,0,No
11788,Mid,3,No
10183,Senior,7,No
33124,Senior,3,No
51871,Lead,7,Yes
52550,Senior,0,No
13782,Junior,2,No
21396,Mid,3,Yes
59321,Senior,4,No
29776,Lead,7,No
21398,Junior,1,No
11603,Senior,4,No
19640,Lead,0,No
31135,Mid,5,Yes
31413,Lead,4,No
26316,Lead,0,Yes
205,Lead,4,No
56896,Senior,4,No
26154,Lead,0,No
39180,Senior,5,Yes
13878,Senior,5,Yes
58720,Mid,4,No
52138,Mid,1,No
11206,Mid,7,No
36833,Senior,2,No
36039,Lead,6,No
35809,Lead,1,No
4973,Mid,7,No
31906,Lead,4,No
2113,Senior,0,No
57353,Lead,3,No
48781,Mid,5,No
12563,Mid,4,Yes
21807,Junior,5,No
43546,Senior,0,No
58059,Mid,5,No
39717,Lead,0,Yes
12074,Lead,2,No
3412,Lead,2,Yes
16530,Senior,4,No
23466,Mid,6,No
36379,Mid,0,No
32683,Junior,0,No
18529,Junior,6,Yes
35115,Senior,1,No
53196,Lead,7,Yes
46369,Lead,2,No
59970,Junior,6,Yes
7764,Senior,7,No
36131,Lead,0,No
3207,Lead,0,No
2039,Senior,4,Yes
41320,Senior,0,No
29307,Mid,6,Yes
59641,Senior,2,No
5883,Senior,1,No
45467,Mid,1,No
54635,Senior,3,No
43171,Junior,5,No
27443,Senior,1,Yes
37238,Junior,6,Yes
37232,Lead,1,Yes
52289,Junior,7,No
46900,Mid,3,No
49174,Senior,7,No
28403,Junior,1,No
36218,Mid,1,No
50861,Lead,0,No
44393,Lead,3,No
26331,Mid,4,No
18354,Senior,2,No
9108,Mid,0,Yes
22341,Lead,3,No
58649,Mid,4,Yes
15205,Mid,2,No
6750,Mid,1,No
37902,Junior,0,No
50178,Senior,7,Yes
43985,Senior,4,No
5561,Junior,7,No
18527,Lead,4,No
52763,Junior,2,No
11134,Senior,6,No
49987,Lead,2,No
15197,Senior,7,No
51549,Mid,5,No
25686,Mid,3,No
7832,Mid,6,No
7533,Junior,0,No
838,Senior,1,No
8102,Senior,3,No
17205,Mid,1,No
58571,Senior,6,No
22007,Senior,2,No
17632,Mid,1,No
15467,Mid,7,No
57363,Lead,3,No
22972,Junior,3,No
16845,Junior,6,No
44692,Mid,2,Yes
34107,Lead,4,No
23041,Lead,7,No
14619,Lead,4,No
52025,Mid,1,Yes
10933,Senior,7,No
10616,Junior,0,No
26478,Junior,4,No
16222,Lead,4,Yes
51898,Senior,6,Yes
54362,Senior,3,No
28750,Junior,7,No
40242,Junior,4,No
13689,Senior,4,Yes
27326,Mid,7,No
49960,Mid,4,Yes
36900,Junior,2,No
2835,Senior,6,Yes
48658,Lead,1,No
23864,Mid,6,No
53606,Mid,7,Yes
47646,Lead,2,No
17048,Senior,4,Yes
1516,Lead,6,No
19054,Lead,4,No
30883,Lead,1,Yes
2811,Senior,7,Yes
56061,Mid,3,No
32568,Mid,5,No
6131,Mid,5,No
25889,Lead,4,No
35202,Junior,7,Yes
23451,Senior,4,No
56742,Lead,2,Yes
31483,Junior,6,Yes
49288,Lead,1,No
19626,Lead,1,No
21669,Junior,1,No
34390,Mid,1,Yes
24862,Senior,6,Yes
29482,Mid,1,Yes
30216,Mid,7,Yes
47543,Mid,2,No
50006,Lead,3,No
40145,Lead,2,No
49225,Junior,5,No
28473,Lead,7,No
12039,Junior,5,No
52305,Lead,7,No
40960,Mid,5,No
48647,Lead,2,Yes
26908,Senior,7,No
58026,Senior,0,No
16146,Mid,2,No
4330,Mid,6,No
25708,Lead,5,No
27102,Junior,0,No
29418,Mid,3,No
46929,Lead,2,Yes
46058,Lead,4,Yes
20115,Junior,5,Yes
38553,Lead,4,No
21254,Senior,7,No
10758,Senior,5,No
26061,Lead,5,Yes
40372,Senior,0,No
51697,Mid,7,No
3271,Mid,6,No
7292,Mid,7,No
21291,Junior,4,No
21192,Junior,1,No
35030,Mid,2,No
36002,Senior,5,No
36274,Junior,4,No
22674,Lead,3,Yes
59362,Senior,0,Yes
49438,Senior,1,Yes
53209,Lead,7,No
14094,Senior,4,Yes
45953,Lead,1,Yes
16449,Senior,2,No
26773,Lead,0,No
50141,Lead,7,No
34916,Senior,0,Yes
21264,Mid,3,No
26717,Senior,6,No
46939,Mid,6,No
55391,Senior,6,Yes
38924,Mid,2,No
32997,Junior,2,No
16732,Senior,3,Yes
11035,Lead,6,No
54028,Senior,7,Yes
3921,Mid,6,No
21553,Lead,6,Yes
14466,Senior,7,Yes
21164,Lead,7,No
27845,Mid,6,No
6116,Senior,0,No
20227,Junior,3,No
32382,Lead,6,No
44200,Mid,7,Yes
16814,Mid,6,Yes
17268,Mid,4,Yes
17666,Mid,7,No
8256,Mid,1,No
35279,Senior,1,No
1096,Lead,6,Yes
21656,Junior,4,No
17819,Mid,0,No
931,Junior,3,Yes
24059,Lead,7,Yes
12522,Lead,2,Yes
10106,Senior,4,No
34567,Senior,1,No
42874,Senior,3,No
29936,Mid,4,No
41339,Junior,5,No
52747,Mid,1,No
46331,Lead,7,No
29402,Junior,0,No
56281,Junior,4,No
2646,Lead,3,No
4492,Senior,4,Yes
58750,Lead,4,Yes
31883,Junior,4,No
20260,Senior,3,No
40067,Senior,7,No
11431,Junior,1,No
48065,Junior,5,Yes
28921,Lead,4,Yes
50083,Junior,4,Yes
1196,Mid,2,Yes
2440,Lead,0,Yes
34543,Junior,4,No
51439,Junior,0,No
4241,Lead,7,Yes
18438,Mid,1,No
17734,Junior,4,Yes
7521,Mid,2,No
23483,Mid,2,No
14556,Junior,7,No
3547,Junior,2,No
50914,Mid,1,Yes
38688,Senior,6,No
49494,Junior,4,Yes
53073,Junior,7,No
32650,Lead,0,No
7484,Junior,0,No
7865,Lead,6,No
17692,Mid,3,Yes
32571,Lead,4,No
28588,Mid,2,No
46383,Lead,4,No
55758,Senior,0,No
6207,Senior,1,Yes
13004,Lead,4,No
33694,Senior,3,Yes
40847,Lead,2,No
30485,Lead,5,No
39073,Senior,1,No
55406,Lead,1,No
16026,Mid,3,Yes
37458,Mid,3,No
35055,Mid,3,No
44071,Senior,5,Yes
32590,Mid,5,No
36282,Junior,4,No
33658,Junior,6,Yes
49665,Lead,4,Yes
49574,Senior,2,No
5533,Lead,1,Yes
46665,Junior,4,No
9975,Junior,4,Yes
