department,current_headcount,projected_growth_pct,future_headcount
Tech,43,-0.16,43.0
Tech,228,1.89,232.0
Sales,98,-3.59,94.0
Sales,5,23.21,6.0
Sales,60,9.22,66.0
Sales,260,22.62,319.0
Tech,211,24.86,263.0
Sales,140,12.23,157.0
Tech,81,13.97,92.0
Sales,218,1.37,221.0
HR,254,5.49,268.0
Sales,264,24.27,328.0
Sales,194,8.4,210.0
Sales,282,-4.51,269.0
Sales,280,0.95,283.0
Tech,181,21.02,219.0
Tech,270,1.83,275.0
HR,226,10.34,249.0
HR,123,-9.96,111.0
HR,86,1.58,87.0
Sales,115,-2.12,113.0
HR,104,18.64,123.0
HR,37,-9.56,33.0
Finance,6,1.54,6.0
HR,256,2.98,264.0
Tech,229,6.85,245.0
Tech,51,-9.07,46.0
Sales,137,8.31,148.0
Finance,273,19.9,327.0
Finance,22,1.88,22.0
HR,113,-0.16,113.0
Sales,102,-3.08,99.0
Finance,31,9.85,34.0
HR,121,1.05,122.0
Tech,147,17.23,172.0
Finance,210,8.68,228.0
Tech,278,10.81,308.0
HR,40,22.18,49.0
Finance,207,-1.76,203.0
HR,44,3.97,46.0
Sales,266,0.49,267.0
Finance,285,19.83,342.0
Finance,17,-1.77,17.0
Sales,20,16.1,23.0
Finance,195,1.63,198.0
HR,92,16.37,107.0
Tech,62,24.04,77.0
Finance,252,-0.56,251.0
Tech,37,5.99,39.0
Finance,246,14.13,281.0
Sales,103,-1.84,101.0
Finance,83,14.04,95.0
Finance,101,1.84,103.0
Tech,21,20.59,25.0
HR,184,7.7,198.0
Sales,183,6.18,194.0
Finance,220,7.04,235.0
Sales,274,-4.84,261.0
Finance,59,-8.06,54.0
Tech,164,-8.29,150.0
HR,258,22.97,317.0
HR,222,12.88,251.0
HR,89,5.51,94.0
Sales,47,-7.43,44.0
Tech,225,-3.19,218.0
HR,34,-8.5,31.0
Sales,241,21.9,294.0
HR,189,-5.97,178.0
Sales,288,-8.73,263.0
Tech,68,3.26,70.0
Sales,281,0.76,283.0
Finance,133,20.78,161.0
Tech,33,-9.62,30.0
Finance,66,-5.35,62.0
Tech,250,11.73,279.0
Sales,178,7.99,192.0
Tech,107,-1.45,105.0
Finance,142,-3.65,137.0
Tech,259,16.39,301.0
Finance,10,8.16,11.0
Sales,289,8.96,315.0
Finance,53,3.55,55.0
Sales,241,22.34,295.0
HR,72,0.91,73.0
Tech,157,-6.62,147.0
HR,172,18.57,204.0
Tech,277,-8.33,254.0
Tech,246,14.14,281.0
Finance,39,2.76,40.0
HR,268,-5.39,254.0
HR,98,3.11,101.0
Finance,212,20.32,255.0
Sales,221,12.23,248.0
Finance,47,23.13,58.0
Finance,17,-3.11,16.0
HR,153,21.39,186.0
Sales,246,10.84,273.0
Finance,162,-1.15,160.0
Tech,238,1.94,243.0
Sales,135,11.21,150.0
Sales,130,6.24,138.0
Sales,93,-8.99,85.0
Sales,239,-8.29,219.0
Finance,122,-9.69,110.0
Tech,165,22.58,202.0
Sales,186,-9.59,168.0
Tech,296,3.68,307.0
Sales,284,3.12,293.0
Sales,51,5.52,54.0
Tech,141,-6.6,132.0
Tech,250,1.64,254.0
Finance,276,4.53,289.0
Finance,118,-6.25,111.0
Tech,297,7.34,319.0
Sales,157,16.64,183.0
Tech,28,-1.58,28.0
Tech,109,22.12,133.0
Sales,278,11.19,309.0
Sales,54,22.26,66.0
HR,266,-5.28,252.0
Sales,285,-6.33,267.0
Finance,44,4.13,46.0
Finance,147,5.89,156.0
Tech,147,23.57,182.0
Tech,224,14.89,257.0
Finance,182,1.51,185.0
Tech,8,-4.51,8.0
HR,222,12.86,251.0
HR,24,12.18,27.0
Sales,114,-7.16,106.0
HR,297,13.41,337.0
Tech,64,7.3,69.0
Sales,135,14.08,154.0
HR,54,18.74,64.0
Finance,239,5.14,251.0
Finance,298,-2.58,290.0
Sales,206,6.47,219.0
Tech,61,24.6,76.0
Tech,58,4.11,60.0
Finance,218,18.7,259.0
Finance,144,-6.73,134.0
HR,233,6.25,248.0
Finance,148,23.82,183.0
Finance,267,6.13,283.0
Sales,12,22.14,15.0
Tech,60,23.46,74.0
Finance,114,14.9,131.0
HR,162,-2.94,157.0
Sales,67,12.3,75.0
Finance,8,0.45,8.0
HR,144,17.02,169.0
Finance,69,-5.55,65.0
Sales,67,16.25,78.0
HR,74,19.42,88.0
Sales,252,12.63,284.0
Tech,153,21.38,186.0
Sales,73,11.5,81.0
Sales,135,5.38,142.0
Sales,210,19.36,251.0
Tech,90,-4.67,86.0
HR,91,15.59,105.0
Finance,48,10.55,53.0
HR,46,21.34,56.0
Finance,170,9.96,187.0
HR,91,10.47,101.0
Tech,99,15.08,114.0
HR,254,-8.35,233.0
HR,121,17.87,143.0
Sales,295,-5.3,279.0
Tech,169,-9.18,153.0
Finance,290,-8.52,265.0
Tech,251,-9.56,227.0
Tech,178,20.56,215.0
Finance,74,-4.06,71.0
HR,138,12.77,156.0
Sales,191,-0.51,190.0
HR,84,-0.03,84.0
Tech,107,7.08,115.0
Finance,157,14.67,180.0
HR,169,8.65,184.0
HR,210,-8.2,193.0
Finance,245,6.12,260.0
Sales,63,23.39,78.0
HR,59,9.69,65.0
Tech,271,-8.77,247.0
Tech,163,21.41,198.0
HR,77,17.57,91.0
Finance,173,-6.51,162.0
Finance,293,18.51,347.0
Finance,23,8.56,25.0
HR,224,-6.3,210.0
HR,159,3.33,164.0
Sales,102,0.46,102.0
Finance,209,4.91,219.0
Sales,132,-2.11,129.0
HR,260,10.28,287.0
Finance,122,9.66,134.0
Sales,102,12.01,114.0
HR,153,-6.75,143.0
HR,118,-1.04,117.0
Finance,38,17.93,45.0
Finance,265,0.3,266.0
Finance,279,10.78,309.0
Finance,135,9.24,147.0
Finance,26,19.34,31.0
HR,240,4.63,251.0
HR,48,23.77,59.0
Finance,208,8.69,226.0
Finance,220,11.08,244.0
HR,93,23.28,115.0
Sales,143,5.63,151.0
HR,251,18.39,297.0
HR,144,11.2,160.0
HR,180,14.27,206.0
HR,113,-0.32,113.0
HR,130,18.02,153.0
Finance,272,15.5,314.0
Finance,287,3.37,297.0
Tech,13,2.45,13.0
Sales,226,11.85,253.0
Tech,258,19.51,308.0
Finance,60,2.39,61.0
Tech,296,4.24,309.0
HR,92,5.65,97.0
Tech,201,11.68,224.0
Sales,127,18.51,151.0
Finance,161,-3.01,156.0
Finance,255,20.08,306.0
Finance,263,23.98,326.0
Sales,99,12.67,112.0
Sales,193,2.43,198.0
HR,252,22.19,308.0
Tech,161,5.18,169.0
Tech,278,-3.06,269.0
HR,227,10.93,252.0
Finance,72,-9.39,65.0
Sales,160,17.24,188.0
Finance,261,-6.43,244.0
Sales,135,12.48,152.0
Finance,83,7.91,90.0
HR,52,2.13,53.0
Sales,112,7.82,121.0
Finance,70,23.29,86.0
Sales,49,4.7,51.0
HR,14,24.97,17.0
HR,41,9.14,45.0
Tech,83,6.98,89.0
Sales,75,2.95,77.0
Finance,76,24.33,94.0
HR,11,-7.02,10.0
Sales,35,-8.49,32.0
Sales,196,10.97,218.0
HR,146,-9.73,132.0
Tech,213,19.96,256.0
Tech,235,-3.58,227.0
Sales,137,16.17,159.0
Sales,231,23.82,286.0
HR,16,2.44,16.0
HR,159,17.17,186.0
HR,217,11.87,243.0
HR,216,-1.96,212.0
Finance,102,-8.94,93.0
Sales,283,16.57,330.0
Sales,46,-9.49,42.0
Sales,224,3.02,231.0
HR,133,-4.18,127.0
Sales,115,-2.05,113.0
Finance,246,13.81,280.0
Tech,119,2.52,122.0
Tech,166,-7.03,154.0
Finance,289,20.18,347.0
HR,281,-7.22,261.0
Sales,13,12.71,15.0
Sales,19,-5.44,18.0
Finance,155,7.82,167.0
Tech,225,9.51,246.0
Sales,120,10.75,133.0
Tech,107,16.9,125.0
Finance,290,8.37,314.0
Tech,131,6.27,139.0
HR,170,15.27,196.0
HR,178,-3.95,171.0
Tech,8,1.25,8.0
Sales,106,2.29,108.0
HR,49,6.49,52.0
Sales,144,0.31,144.0
Sales,110,2.08,112.0
Tech,96,-0.11,96.0
Finance,176,8.32,191.0
Finance,188,0.01,188.0
Tech,299,22.58,367.0
Finance,208,-9.59,188.0
Sales,279,16.78,326.0
Tech,24,19.54,29.0
Tech,204,11.53,228.0
Sales,207,20.34,249.0
HR,267,16.59,311.0
HR,42,12.34,47.0
Finance,190,-9.01,173.0
Tech,5,20.45,6.0
HR,174,-7.11,162.0
Tech,31,15.81,36.0
Sales,299,7.92,323.0
Tech,192,22.48,235.0
Tech,166,2.45,170.0
Sales,144,14.5,165.0
HR,216,8.13,234.0
Finance,143,17.77,168.0
HR,275,-6.8,256.0
Tech,72,0.02,72.0
Tech,20,-9.6,18.0
Tech,70,19.53,84.0
Finance,65,-8.23,60.0
HR,254,6.69,271.0
Finance,49,4.17,51.0
HR,62,2.31,63.0
Tech,11,15.55,13.0
Sales,22,1.28,22.0
Tech,272,0.96,275.0
Sales,289,-2.56,282.0
Finance,123,-4.34,118.0
HR,267,4.75,280.0
Tech,257,17.2,301.0
HR,97,7.52,104.0
Tech,136,21.4,165.0
Sales,218,12.7,246.0
Tech,197,6.13,209.0
Sales,49,-4.44,47.0
Finance,267,7.19,286.0
Tech,253,2.88,260.0
Finance,169,10.13,186.0
Finance,121,12.57,136.0
HR,277,20.6,334.0
HR,34,-6.94,32.0
Finance,73,24.17,91.0
HR,285,21.69,347.0
Finance,106,2.85,109.0
Sales,33,16.02,38.0
HR,59,1.58,60.0
Tech,26,18.83,31.0
Tech,99,17.53,116.0
HR,248,16.31,288.0
HR,161,-8.63,147.0
Finance,173,13.79,197.0
Sales,72,16.81,84.0
Finance,210,3.32,217.0
Tech,276,-9.19,251.0
Tech,81,2.9,83.0
HR,227,12.63,256.0
HR,9,2.18,9.0
HR,217,20.57,262.0
Sales,174,23.0,214.0
Tech,285,20.28,343.0
Tech,108,21.03,131.0
Tech,22,15.73,25.0
Finance,91,1.91,93.0
Sales,133,16.94,156.0
HR,130,20.53,157.0
Sales,292,2.24,299.0
Sales,50,19.88,60.0
HR,224,17.61,263.0
Tech,279,3.04,287.0
Sales,14,17.81,16.0
HR,16,13.64,18.0
Sales,29,8.95,32.0
Sales,264,-3.43,255.0
Tech,233,-9.13,212.0
Tech,214,10.59,237.0
Tech,49,23.6,61.0
HR,129,12.51,145.0
HR,58,-6.44,54.0
Finance,39,7.67,42.0
Tech,130,15.59,150.0
Finance,219,-6.33,205.0
Sales,237,-5.7,223.0
HR,73,-4.77,70.0
Sales,278,21.57,338.0
Tech,212,11.89,237.0
Finance,74,-6.56,69.0
Tech,223,22.17,272.0
Sales,214,-1.64,210.0
HR,86,-8.39,79.0
Tech,208,13.36,236.0
Finance,298,5.47,314.0
Tech,223,15.71,258.0
Tech,289,22.59,354.0
Finance,17,-6.08,16.0
Finance,227,22.43,278.0
Sales,209,-1.05,207.0
Sales,187,8.32,203.0
Finance,25,-7.19,23.0
Tech,111,24.88,139.0
HR,83,5.31,87.0
Finance,40,-1.73,39.0
Finance,134,6.12,142.0
Sales,98,14.19,112.0
Tech,187,11.36,208.0
Sales,70,16.75,82.0
HR,170,5.25,179.0
Sales,269,-6.2,252.0
Tech,6,23.77,7.0
Sales,254,10.5,281.0
Tech,245,20.24,295.0
HR,216,0.45,217.0
Tech,79,11.86,88.0
Sales,98,-9.52,89.0
Tech,231,9.23,252.0
HR,19,11.79,21.0
Finance,191,24.84,238.0
Sales,215,19.29,256.0
HR,113,-4.44,108.0
Finance,14,9.8,15.0
Tech,167,5.49,176.0
HR,48,20.93,58.0
Tech,39,-3.56,38.0
Finance,218,1.74,222.0
HR,154,21.29,187.0
Tech,55,-5.76,52.0
Finance,255,24.34,317.0
Tech,139,0.92,140.0
Tech,229,-5.27,217.0
HR,263,13.48,298.0
Finance,241,23.02,296.0
Finance,288,-1.5,284.0
Tech,197,2.15,201.0
Sales,260,9.96,286.0
HR,125,11.58,139.0
Sales,282,13.65,320.0
Sales,288,18.72,342.0
HR,73,18.71,87.0
Tech,63,7.23,68.0
Sales,208,-4.93,198.0
Tech,282,23.47,348.0
Finance,31,-6.13,29.0
Tech,96,1.7,98.0
Finance,275,17.83,324.0
Tech,261,-9.7,236.0
Finance,155,22.35,190.0
Sales,201,-5.31,190.0
Finance,108,15.73,125.0
HR,270,15.11,311.0
Sales,67,5.74,71.0
Sales,142,-5.9,134.0
Sales,137,-3.41,132.0
Finance,23,9.38,25.0
Sales,164,9.31,179.0
Finance,250,5.14,263.0
Sales,113,-7.39,105.0
Tech,83,19.67,99.0
Sales,156,-5.56,147.0
Tech,11,15.75,13.0
Sales,292,10.91,324.0
HR,227,3.04,234.0
Finance,75,17.77,88.0
Sales,41,3.63,42.0
Finance,294,13.12,333.0
Finance,206,7.02,220.0
Finance,137,2.58,141.0
HR,31,6.53,33.0
HR,223,-0.77,221.0
Tech,174,-2.65,169.0
Sales,261,16.5,304.0
Sales,138,12.33,155.0
Sales,150,10.87,166.0
Tech,5,0.08,5.0
HR,213,-4.2,204.0
HR,273,10.02,300.0
Tech,67,24.65,84.0
HR,192,-4.63,183.0
Tech,235,20.0,282.0
Sales,119,15.72,138.0
Finance,215,-0.86,213.0
Finance,10,18.96,12.0
Tech,75,-0.86,74.0
Finance,172,17.92,203.0
Finance,276,13.7,314.0
Sales,281,19.78,337.0
Finance,134,23.07,165.0
Sales,127,1.49,129.0
Sales,298,1.88,304.0
Finance,192,23.52,237.0
Finance,243,19.96,292.0
HR,139,-2.44,136.0
Sales,140,10.41,155.0
Finance,226,9.43,247.0
Tech,177,19.46,211.0
HR,119,10.49,131.0
Sales,141,-4.48,135.0
HR,132,23.72,163.0
Finance,255,2.09,260.0
Finance,90,22.02,110.0
Sales,133,-0.28,133.0
HR,299,11.71,334.0
Tech,291,24.35,362.0
HR,90,21.15,109.0
Finance,26,20.28,31.0
HR,261,-1.08,258.0
Finance,174,12.78,196.0
Finance,166,2.46,170.0
HR,241,11.78,269.0
Sales,104,-0.27,104.0
HR,273,15.63,316.0
HR,50,19.74,60.0
Tech,46,0.69,46.0
HR,141,-2.96,137.0
Finance,34,-8.96,31.0
Sales,160,15.75,185.0
Sales,273,17.45,321.0
HR,121,-9.73,109.0
Finance,156,-1.78,153.0
Finance,61,16.45,71.0
HR,41,-0.95,41.0
Tech,53,-9.98,48.0
Sales,265,-2.66,258.0
Tech,152,-0.85,151.0
Tech,8,-9.78,7.0
Tech,188,15.46,217.0
Finance,75,-4.39,72.0
Sales,193,-4.25,185.0
HR,137,-9.27,124.0
Tech,84,3.25,87.0
Sales,50,11.64,56.0
Tech,161,-2.63,157.0
Sales,297,3.89,309.0
HR,57,13.62,65.0
Sales,97,13.71,110.0
Tech,266,14.46,304.0
HR,32,17.53,38.0
Finance,122,-5.09,116.0
Tech,110,22.37,135.0
Finance,251,-1.45,247.0
Finance,196,17.6,230.0
Finance,211,23.53,261.0
HR,55,13.31,62.0
Sales,218,1.12,220.0
Finance,281,-1.99,275.0
Tech,179,22.21,219.0
Finance,129,-3.73,124.0
Finance,284,3.67,294.0
Tech,79,7.66,85.0
HR,34,7.12,36.0
Tech,242,17.11,283.0
HR,49,12.62,55.0
Finance,73,5.52,77.0
Sales,207,14.57,237.0
Finance,26,23.57,32.0
Tech,22,9.4,24.0
HR,297,20.41,358.0
Finance,95,11.91,106.0
Sales,147,-7.96,135.0
Tech,266,21.45,323.0
Finance,144,18.23,170.0
Sales,201,-8.54,184.0
Finance,183,5.77,194.0
Sales,90,22.71,110.0
HR,32,18.71,38.0
Finance,66,23.6,82.0
Tech,150,-4.2,144.0
Sales,149,5.4,157.0
Tech,97,23.48,120.0
Sales,164,11.11,182.0
Finance,254,7.78,274.0
Finance,66,23.73,82.0
HR,230,23.82,285.0
Finance,61,20.46,73.0
Sales,238,9.74,261.0
Tech,298,16.73,348.0
Sales,132,14.55,151.0
Finance,201,6.53,214.0
Finance,48,18.11,57.0
HR,11,-4.52,11.0
Tech,162,5.65,171.0
HR,93,21.28,113.0
Finance,44,23.41,54.0
Tech,200,7.5,215.0
Tech,85,17.85,100.0
Finance,244,6.77,261.0
Finance,232,24.45,289.0
Tech,55,2.29,56.0
HR,183,8.85,199.0
Finance,210,20.72,254.0
Sales,189,22.02,231.0
HR,257,9.9,282.0
Tech,19,15.52,22.0
Tech,141,13.44,160.0
Tech,178,-7.28,165.0
HR,126,2.91,130.0
Finance,204,9.61,224.0
Tech,102,10.67,113.0
Tech,263,-9.5,238.0
Tech,6,23.89,7.0
HR,270,4.46,282.0
Sales,132,2.0,135.0
HR,58,-2.0,57.0
Tech,137,-6.89,128.0
Sales,285,20.74,344.0
HR,232,-6.42,217.0
HR,290,9.29,317.0
Sales,17,-9.5,15.0
Sales,295,1.87,301.0
HR,31,4.51,32.0
HR,184,10.54,203.0
Sales,16,-7.56,15.0
Finance,57,-4.12,55.0
Sales,87,14.1,99.0
Tech,276,13.17,312.0
Finance,299,-6.78,279.0
Tech,138,13.87,157.0
Sales,197,14.56,226.0
Tech,74,3.58,77.0
Sales,160,19.7,192.0
Finance,93,-4.15,89.0
Sales,54,-0.47,54.0
Finance,76,20.26,91.0
Finance,75,14.65,86.0
Tech,40,17.01,47.0
Finance,25,-1.2,25.0
Finance,154,18.92,183.0
Tech,142,-0.28,142.0
Tech,296,8.47,321.0
HR,116,3.08,120.0
HR,53,1.51,54.0
Finance,202,-6.1,190.0
Sales,137,23.31,169.0
Tech,126,5.45,133.0
Sales,63,2.62,65.0
Sales,179,5.88,190.0
HR,172,3.35,178.0
Finance,287,-7.06,267.0
HR,51,21.79,62.0
HR,264,-5.33,250.0
HR,133,-0.87,132.0
Tech,42,22.89,52.0
Sales,296,0.54,298.0
Sales,97,5.7,103.0
Finance,117,-5.53,111.0
HR,261,-4.62,249.0
Finance,8,4.01,8.0
Tech,138,6.43,147.0
Sales,257,20.28,309.0
Sales,224,16.36,261.0
HR,195,19.64,233.0
Tech,266,20.19,320.0
Sales,7,7.4,8.0
Tech,276,6.66,294.0
Tech,198,-2.45,193.0
Sales,137,12.07,154.0
Finance,205,10.02,226.0
Tech,167,2.41,171.0
Finance,212,-2.24,207.0
Tech,287,19.4,343.0
Sales,119,-5.68,112.0
Tech,79,0.12,79.0
Finance,294,16.68,343.0
Sales,295,18.92,351.0
Sales,298,15.82,345.0
Sales,201,-4.79,191.0
HR,246,22.14,300.0
Tech,83,0.52,83.0
Sales,82,1.19,83.0
Finance,21,3.4,22.0
Finance,62,9.12,68.0
Finance,5,22.28,6.0
Sales,164,-9.05,149.0
HR,237,23.03,292.0
HR,175,-5.79,165.0
HR,194,-4.84,185.0
Finance,88,20.56,106.0
Sales,280,24.11,348.0
Sales,52,-3.28,50.0
HR,35,-9.29,32.0
Sales,103,9.34,113.0
HR,241,4.32,251.0
Finance,25,14.08,29.0
Tech,63,-8.49,58.0
Finance,170,-6.92,158.0
Tech,143,10.69,158.0
Finance,72,1.97,73.0
HR,285,21.01,345.0
Sales,43,1.97,44.0
Tech,181,16.29,210.0
Finance,264,16.99,309.0
Finance,62,15.46,72.0
Finance,245,-3.29,237.0
HR,105,13.65,119.0
Sales,101,1.34,102.0
HR,7,-7.82,6.0
HR,278,-4.8,265.0
Tech,124,-4.18,119.0
Finance,251,5.8,266.0
HR,31,23.72,38.0
Finance,30,24.55,37.0
Finance,55,8.84,60.0
Sales,185,-3.58,178.0
Finance,240,24.35,298.0
Tech,210,-3.7,202.0
Sales,98,1.52,99.0
Finance,55,0.92,56.0
Tech,148,-0.05,148.0
HR,119,2.84,122.0
Sales,9,19.89,11.0
Sales,167,18.12,197.0
HR,92,23.36,113.0
Finance,123,-5.43,116.0
Finance,186,14.77,213.0
Sales,274,6.04,291.0
HR,192,-8.49,176.0
Tech,120,18.25,142.0
Tech,43,10.84,48.0
HR,239,14.5,274.0
HR,272,18.96,324.0
HR,17,-5.74,16.0
HR,293,12.41,329.0
Sales,40,6.22,42.0
Sales,197,9.04,215.0
Tech,205,10.64,227.0
Tech,215,14.66,247.0
Tech,184,3.03,190.0
Sales,213,-5.16,202.0
Tech,265,7.51,285.0
Finance,211,-3.35,204.0
HR,102,0.21,102.0
Sales,104,-0.27,104.0
Finance,89,22.56,109.0
Finance,44,20.24,53.0
Sales,293,21.55,356.0
Finance,222,8.91,242.0
HR,48,21.53,58.0
Sales,23,24.38,29.0
Finance,11,18.85,13.0
Finance,37,8.37,40.0
Sales,234,-1.32,231.0
HR,185,24.48,230.0
HR,195,-8.6,178.0
Tech,114,14.45,130.0
Sales,283,17.4,332.0
Tech,91,0.54,91.0
Sales,10,-1.69,10.0
Finance,72,17.05,84.0
Finance,38,23.96,47.0
Finance,69,15.65,80.0
HR,23,12.44,26.0
Sales,64,11.31,71.0
Sales,195,0.27,196.0
Sales,52,20.35,63.0
Sales,187,-2.68,182.0
Finance,43,7.55,46.0
HR,174,3.74,181.0
Sales,16,21.76,19.0
Finance,295,-8.85,269.0
HR,199,19.35,238.0
HR,181,14.73,208.0
Finance,225,3.01,232.0
Sales,247,10.47,273.0
Finance,56,-1.12,55.0
Tech,275,12.77,310.0
HR,290,-5.64,274.0
Tech,241,6.54,257.0
Tech,171,-6.14,161.0
Finance,86,-3.2,83.0
Finance,90,0.91,91.0
Sales,119,9.96,131.0
Tech,114,2.27,117.0
HR,182,-2.74,177.0
Sales,274,15.53,317.0
Finance,135,17.95,159.0
Finance,172,3.8,179.0
Finance,121,-4.28,116.0
Sales,17,-0.67,17.0
Tech,128,23.84,159.0
Finance,297,-6.02,279.0
Tech,12,4.88,13.0
HR,82,19.83,98.0
Sales,235,24.34,292.0
Sales,77,5.77,81.0
Finance,172,5.3,181.0
Sales,264,16.17,307.0
Tech,101,0.38,101.0
Finance,211,-2.12,207.0
HR,164,22.65,201.0
Finance,142,16.37,165.0
Tech,64,-6.11,60.0
Finance,226,8.51,245.0
Finance,143,11.99,160.0
Sales,26,13.75,30.0
Tech,48,13.94,55.0
Finance,187,-8.69,171.0
HR,231,15.67,267.0
Finance,46,6.16,49.0
HR,258,-9.1,235.0
Finance,278,-4.73,265.0
Tech,283,-5.13,268.0
Tech,274,-3.06,266.0
HR,123,6.51,131.0
Finance,35,22.27,43.0
Sales,106,21.96,129.0
Tech,13,0.98,13.0
Sales,120,14.07,137.0
Tech,60,14.01,68.0
Sales,13,21.38,16.0
HR,46,-3.46,44.0
Sales,193,16.54,225.0
Tech,198,-9.2,180.0
Finance,121,17.23,142.0
HR,185,-8.15,170.0
Sales,100,11.14,111.0
Sales,222,-9.56,201.0
Finance,145,8.73,158.0
Tech,18,-9.78,16.0
Tech,22,-3.38,21.0
Finance,245,-6.87,228.0
Tech,122,10.65,135.0
Finance,103,3.88,107.0
Finance,158,2.72,162.0
Sales,112,14.56,128.0
Sales,145,4.12,151.0
HR,137,4.01,142.0
Finance,93,-3.12,90.0
HR,124,20.47,149.0
Tech,151,-4.28,145.0
Sales,79,19.56,94.0
HR,151,17.56,178.0
Sales,20,14.42,23.0
Sales,42,6.76,45.0
Finance,153,-2.92,149.0
Tech,183,10.39,202.0
Tech,118,-4.42,113.0
HR,202,-3.5,195.0
Finance,152,9.07,166.0
Finance,286,8.71,311.0
Finance,223,-0.72,221.0
Finance,210,8.11,227.0
Tech,86,-5.54,81.0
Sales,240,6.92,257.0
Tech,224,3.68,232.0
HR,249,8.37,270.0
Finance,285,19.3,340.0
Tech,278,22.45,340.0
Sales,14,22.64,17.0
Finance,89,18.75,106.0
Sales,37,24.95,46.0
Sales,40,9.57,44.0
HR,138,6.37,147.0
Finance,57,-2.62,56.0
HR,164,4.4,171.0
Finance,245,5.38,258.0
Sales,161,24.83,201.0
Sales,211,5.61,223.0
Sales,229,21.8,279.0
Sales,78,14.63,89.0
Finance,24,-5.26,23.0
Finance,116,5.32,122.0
HR,137,18.13,162.0
Sales,159,18.6,189.0
Finance,156,5.42,164.0
HR,298,20.12,358.0
Tech,264,21.38,320.0
Tech,127,4.88,133.0
Tech,116,-4.09,111.0
HR,258,19.02,307.0
Tech,98,-0.62,97.0
HR,215,24.25,267.0
Finance,163,-9.25,148.0
Tech,76,-2.57,74.0
Tech,255,3.8,265.0
Tech,203,4.66,212.0
Tech,239,1.98,244.0
Sales,256,6.31,272.0
Sales,29,14.39,33.0
Finance,160,12.73,180.0
HR,56,-2.59,55.0
Finance,91,-5.65,86.0
Tech,24,24.56,30.0
Tech,81,12.83,91.0
Sales,27,-6.31,25.0
Sales,206,17.59,242.0
Tech,82,16.41,95.0
Finance,178,-4.78,169.0
Sales,216,6.11,229.0
Sales,215,12.98,243.0
Sales,214,13.21,242.0
Finance,293,9.62,321.0
Finance,194,10.81,215.0
Sales,201,11.39,224.0
Finance,238,21.1,288.0
Finance,123,19.06,146.0
Tech,148,4.82,155.0
HR,74,-5.75,70.0
Tech,115,19.71,138.0
HR,70,-7.44,65.0
Finance,237,-4.39,227.0
Sales,234,-1.8,230.0
Tech,166,9.49,182.0
HR,112,-4.26,107.0
Tech,94,13.81,107.0
Finance,34,19.15,41.0
Tech,247,24.68,308.0
Sales,263,12.16,295.0
HR,226,19.91,271.0
Tech,13,23.15,16.0
Finance,87,-2.43,85.0
Sales,77,6.99,82.0
Sales,29,8.57,31.0
Tech,263,1.2,266.0
Tech,138,18.63,164.0
Sales,25,12.45,28.0
Sales,238,24.65,297.0
HR,256,10.93,284.0
Tech,291,-6.87,271.0
Finance,124,12.19,139.0
Sales,165,17.11,193.0
HR,6,7.75,6.0
Tech,90,14.94,103.0
HR,128,-9.25,116.0
Tech,48,23.95,59.0
Tech,80,-8.18,73.0
Finance,55,-6.16,52.0
Finance,94,3.79,98.0
Sales,34,-6.79,32.0
Sales,172,9.31,188.0
Sales,142,-9.52,128.0
HR,192,14.35,220.0
Finance,91,-6.2,85.0
Tech,59,11.82,66.0
HR,182,19.45,217.0
Tech,57,-0.91,56.0
Tech,28,-9.02,25.0
Sales,24,13.01,27.0
Tech,152,15.21,175.0
HR,74,8.42,80.0
Tech,154,-9.06,140.0
Sales,6,10.9,7.0
HR,240,7.37,258.0
Tech,44,19.86,53.0
Finance,169,-6.53,158.0
HR,81,-2.5,79.0
Finance,264,6.08,280.0
Tech,217,-2.58,211.0
Sales,165,-1.22,163.0
Finance,154,0.45,155.0
Tech,269,5.21,283.0
Finance,130,-5.07,123.0
Sales,232,6.62,247.0
Sales,183,22.24,224.0
Finance,19,-7.57,18.0
Finance,204,22.77,250.0
Finance,62,21.45,75.0
Tech,291,-3.34,281.0
Tech,289,15.82,335.0
Finance,236,21.01,286.0
HR,247,24.23,307.0
Tech,227,0.41,228.0
Tech,16,12.45,18.0
Tech,57,14.68,65.0
HR,286,21.75,348.0
Finance,215,17.09,252.0
Sales,292,6.77,312.0
HR,176,9.07,192.0
Sales,170,5.08,179.0
Tech,21,-2.39,20.0
Tech,9,-0.79,9.0
Finance,217,10.35,239.0
Sales,290,-4.54,277.0
Sales,63,9.14,69.0
Finance,36,7.18,39.0
Tech,299,-3.71,288.0
HR,143,-6.81,133.0
HR,30,-6.18,28.0
Finance,108,16.29,126.0
Sales,254,9.75,279.0
Tech,41,-8.34,38.0
Finance,50,12.9,56.0
HR,67,7.74,72.0
Finance,83,2.58,85.0
Finance,13,3.23,13.0
Tech,92,13.11,104.0
Finance,115,22.02,140.0
Finance,27,-0.83,27.0
Tech,93,2.9,96.0
Sales,108,16.58,126.0
Tech,135,1.22,137.0
HR,71,9.59,78.0
HR,232,0.15,232.0
Sales,40,-6.01,38.0
Sales,108,-2.99,105.0
Tech,77,20.39,93.0
Tech,263,-4.78,250.0
Finance,78,16.93,91.0
HR,118,5.45,124.0
Finance,270,10.0,297.0
Finance,34,3.16,35.0
Tech,52,12.49,58.0
HR,166,-5.26,157.0
Finance,150,18.27,177.0
