department,current_headcount,projected_hiring,projected_attrition,planning_year
Operations,312,26,58,2024
Sales,27,65,16,2026
Finance,453,21,32,2024
Sales,479,6,76,2026
Marketing,379,47,47,2026
Sales,26,37,36,2024
Sales,31,17,70,2026
Sales,198,27,64,2024
Marketing,144,62,39,2026
HR,355,23,70,2025
Finance,181,5,36,2024
Sales,224,40,40,2026
Sales,22,67,37,2025
IT,195,74,58,2026
IT,294,76,78,2026
Sales,154,39,77,2026
HR,486,5,19,2026
Operations,374,25,55,2024
Sales,460,6,68,2024
Finance,492,89,19,2026
Sales,85,80,6,2026
IT,105,62,12,2025
HR,130,35,23,2026
Marketing,167,85,27,2024
Finance,117,65,5,2024
Finance,127,6,27,2025
Operations,399,25,52,2025
Sales,154,86,40,2026
Marketing,186,42,13,2025
Operations,446,13,2,2024
HR,96,89,29,2025
IT,320,37,63,2025
IT,114,34,47,2024
HR,300,72,19,2026
Operations,493,36,50,2025
Sales,24,37,64,2025
Operations,221,28,57,2025
Marketing,300,41,54,2024
IT,225,87,21,2024
IT,86,83,52,2025
Marketing,262,59,47,2025
Finance,323,3,78,2024
IT,56,56,50,2026
Operations,79,95,50,2024
Operations,108,23,20,2026
Sales,458,54,19,2025
Marketing,219,2,56,2026
Sales,242,13,37,2025
Finance,491,61,44,2025
IT,345,11,15,2024
Sales,87,11,16,2025
IT,245,23,28,2024
IT,204,24,5,2025
Finance,139,52,77,2025
Sales,336,11,69,2026
IT,58,21,64,2026
Marketing,199,9,70,2025
Finance,363,20,48,2026
Operations,456,95,48,2024
Sales,290,10,62,2026
Finance,396,15,54,2024
IT,365,83,48,2024
Operations,394,41,47,2024
IT,190,94,75,2025
Marketing,274,84,32,2024
Sales,335,95,5,2024
Operations,81,36,52,2025
Operations,461,94,20,2026
Marketing,450,7,64,2025
Sales,474,75,48,2026
HR,257,61,50,2024
Marketing,340,61,4,2024
IT,424,44,42,2025
IT,386,18,69,2026
IT,185,80,55,2024
Operations,174,12,25,2025
Finance,284,72,58,2024
IT,128,89,64,2025
IT,90,91,75,2026
IT,362,85,64,2025
Finance,220,73,3,2025
HR,160,69,64,2026
HR,247,19,0,2024
Marketing,135,21,72,2025
Finance,177,69,52,2024
Marketing,260,5,52,2025
Operations,191,65,73,2025
HR,420,38,5,2025
Operations,61,52,21,2025
Sales,308,91,63,2026
Operations,71,38,75,2025
Marketing,268,43,6,2024
Marketing,46,21,28,2026
IT,223,66,72,2026
HR,216,90,50,2026
Sales,309,83,68,2026
Marketing,33,9,61,2026
Marketing,271,12,57,2025
Marketing,86,72,64,2024
Sales,80,39,12,2025
Operations,35,24,15,2025
Sales,424,27,25,2025
Sales,357,16,48,2024
Sales,411,20,73,2024
Marketing,454,44,76,2024
Sales,354,2,8,2026
IT,432,91,75,2026
HR,92,39,49,2026
Finance,447,10,72,2026
Operations,453,89,55,2025
IT,423,4,48,2026
Marketing,406,6,3,2024
Finance,398,64,61,2025
Marketing,323,25,49,2024
IT,241,72,73,2025
HR,51,37,68,2026
IT,404,93,14,2024
IT,287,50,29,2024
Operations,420,93,73,2026
Operations,122,83,25,2026
HR,193,12,31,2025
Marketing,250,73,62,2026
Finance,416,87,35,2024
Marketing,363,90,19,2025
Operations,214,53,67,2024
IT,41,93,57,2025
Operations,63,90,41,2024
Operations,373,77,32,2026
HR,84,16,55,2024
Operations,350,90,34,2024
Finance,51,50,76,2026
Finance,144,8,60,2026
Marketing,113,74,7,2026
Operations,157,54,24,2025
HR,408,28,66,2025
Sales,310,96,76,2025
Marketing,225,83,55,2024
HR,298,10,51,2024
Marketing,127,15,35,2025
Marketing,83,56,5,2024
Finance,83,73,13,2025
Marketing,52,29,62,2024
Operations,47,45,0,2024
Sales,88,86,10,2024
Sales,323,47,35,2024
IT,117,82,64,2025
HR,129,85,41,2024
HR,457,51,69,2024
Marketing,96,98,40,2025
Sales,360,76,78,2025
Marketing,301,90,74,2025
HR,425,67,70,2025
HR,86,55,34,2025
Marketing,247,82,10,2026
IT,209,36,72,2024
IT,64,15,0,2024
Finance,281,65,54,2026
Marketing,444,1,66,2026
Finance,108,32,31,2026
Operations,295,43,30,2024
Marketing,307,70,58,2024
HR,228,87,4,2024
HR,76,90,67,2025
Finance,71,75,35,2024
HR,424,76,78,2024
HR,384,10,37,2025
Marketing,396,41,72,2025
HR,58,28,7,2024
Marketing,273,18,79,2024
Sales,122,26,73,2024
Sales,116,65,56,2026
Sales,251,10,59,2024
HR,22,97,29,2024
Operations,438,45,26,2024
HR,397,21,56,2025
Finance,200,20,19,2025
Finance,234,8,72,2026
Sales,110,59,32,2025
Marketing,259,77,63,2026
IT,228,69,78,2025
Sales,325,20,68,2025
HR,200,94,62,2026
Marketing,233,91,18,2024
Finance,113,9,1,2024
Finance,418,73,62,2024
Finance,259,89,59,2026
Finance,61,44,67,2026
Finance,154,19,62,2026
IT,126,30,61,2026
Operations,53,85,73,2025
HR,391,49,2,2024
Operations,115,18,25,2026
Finance,471,70,49,2026
HR,154,32,65,2025
Finance,33,38,41,2024
Operations,282,87,26,2024
Finance,307,11,67,2026
Operations,76,2,5,2024
IT,28,62,13,2024
Marketing,39,93,0,2024
Operations,331,1,60,2026
Finance,189,30,41,2025
Operations,38,37,79,2025
Finance,29,82,9,2024
Finance,101,43,30,2024
Operations,30,59,79,2025
Finance,433,38,40,2024
Marketing,204,20,3,2024
IT,224,5,4,2024
HR,88,66,8,2026
Operations,323,47,36,2026
Sales,330,80,76,2024
Marketing,232,64,22,2025
Operations,442,19,29,2025
IT,161,61,41,2024
Finance,108,6,31,2025
Marketing,203,58,20,2025
Operations,484,53,70,2026
HR,362,38,5,2025
Finance,112,36,19,2024
Finance,45,12,41,2024
Finance,96,5,33,2026
Operations,333,65,16,2025
HR,492,71,9,2025
Operations,408,49,25,2025
Sales,116,11,4,2024
Marketing,214,78,50,2024
Finance,497,87,17,2024
Finance,218,70,12,2026
HR,498,54,15,2024
Marketing,276,77,31,2026
Finance,26,34,55,2024
Operations,317,52,21,2026
Marketing,393,85,49,2024
Marketing,100,0,74,2025
IT,273,57,34,2025
Marketing,304,7,46,2025
Sales,73,90,72,2026
HR,107,83,44,2026
Operations,68,26,23,2024
HR,384,63,19,2024
Finance,20,63,2,2025
Operations,456,99,68,2025
HR,453,6,54,2026
Finance,160,7,21,2025
Sales,58,13,11,2024
Marketing,150,12,11,2025
Sales,300,15,58,2024
HR,36,40,75,2024
Marketing,153,52,16,2025
Operations,100,45,65,2026
Sales,261,67,64,2026
HR,157,54,71,2025
Operations,496,0,45,2025
Sales,76,63,66,2025
HR,205,46,41,2024
Marketing,110,32,29,2025
Sales,418,41,60,2026
HR,298,43,51,2026
Operations,247,35,44,2026
HR,90,7,17,2024
Finance,305,62,64,2026
Operations,424,69,79,2024
Finance,258,53,14,2025
HR,394,35,14,2026
IT,408,86,26,2024
Marketing,49,83,34,2026
Finance,108,86,55,2024
HR,369,97,37,2024
Finance,407,91,78,2026
Sales,103,85,20,2025
IT,97,84,2,2024
Finance,389,1,28,2026
Finance,308,50,47,2024
Sales,73,49,33,2024
Marketing,368,56,37,2026
Sales,119,2,26,2025
Sales,337,58,1,2025
Marketing,123,36,35,2024
Finance,169,71,37,2024
Marketing,86,74,4,2024
Sales,395,39,66,2024
Finance,82,86,0,2026
IT,334,2,24,2026
Finance,178,30,25,2025
IT,191,57,36,2025
Finance,430,25,35,2025
Finance,400,23,59,2025
IT,480,50,54,2026
Finance,225,66,23,2024
Operations,378,12,41,2026
HR,162,36,4,2024
Sales,218,78,56,2025
Finance,146,58,58,2025
HR,154,88,67,2026
HR,434,32,47,2026
Finance,444,10,72,2025
Marketing,305,3,23,2026
Operations,139,80,1,2024
Finance,21,75,67,2024
HR,136,49,7,2026
Operations,147,57,59,2026
Operations,284,85,72,2024
Finance,172,89,21,2025
Operations,396,45,6,2024
Sales,443,3,24,2025
Operations,73,30,8,2025
Operations,340,98,64,2024
HR,117,23,69,2024
Finance,244,73,19,2024
Sales,450,17,38,2025
IT,91,84,72,2025
Marketing,246,4,49,2024
HR,95,76,28,2025
Marketing,466,49,40,2025
HR,125,12,6,2024
Sales,30,14,76,2024
HR,434,44,11,2024
Sales,220,85,40,2024
HR,423,8,35,2024
Marketing,40,51,1,2025
Marketing,289,97,23,2025
Operations,493,40,54,2025
Marketing,319,14,29,2025
Operations,36,17,73,2025
HR,418,69,27,2024
IT,352,96,78,2026
IT,445,68,2,2026
Operations,266,64,55,2025
Marketing,25,19,18,2026
Sales,65,34,57,2026
IT,399,95,24,2024
Marketing,164,96,61,2026
Marketing,201,88,41,2026
Operations,318,65,52,2025
Operations,128,21,54,2026
IT,57,71,23,2025
Sales,80,86,69,2025
HR,293,64,33,2025
Marketing,288,81,8,2024
Operations,371,19,70,2026
Finance,250,40,6,2026
Marketing,253,0,5,2026
Sales,59,13,49,2025
Sales,58,33,16,2026
Sales,300,10,59,2025
Finance,274,72,7,2024
Sales,112,19,54,2024
IT,400,63,67,2026
Marketing,401,64,69,2025
Operations,441,59,1,2026
Sales,171,56,51,2024
Operations,157,68,44,2026
Finance,472,81,36,2026
Sales,131,77,54,2026
Marketing,38,39,13,2026
Finance,193,10,36,2024
HR,420,57,23,2024
HR,430,87,13,2025
HR,242,13,12,2025
Sales,135,83,76,2026
IT,394,44,16,2026
Sales,380,50,28,2024
Sales,435,98,21,2024
Marketing,421,35,57,2024
Sales,302,23,42,2026
HR,321,51,60,2025
Operations,437,74,8,2026
Operations,130,55,68,2024
IT,85,90,3,2026
HR,268,56,26,2025
Marketing,230,18,79,2026
HR,275,12,77,2024
Sales,25,87,5,2026
HR,416,59,69,2026
IT,310,28,47,2025
Sales,427,97,10,2026
Finance,407,3,49,2026
Finance,302,24,74,2024
IT,450,74,78,2024
IT,309,74,74,2026
Operations,233,40,40,2026
Sales,453,64,20,2026
Sales,114,28,35,2025
Finance,249,81,52,2024
Operations,309,22,20,2024
HR,84,57,7,2025
Finance,440,11,17,2024
Sales,211,22,11,2025
Marketing,383,68,46,2026
Marketing,382,13,23,2026
HR,179,93,46,2026
Operations,318,28,73,2026
HR,259,69,3,2024
Finance,150,91,70,2026
HR,315,34,24,2026
HR,51,11,57,2025
IT,142,82,67,2024
Marketing,89,97,21,2026
Finance,136,10,34,2026
IT,83,49,37,2026
Operations,245,12,67,2026
IT,336,37,53,2025
Marketing,211,45,26,2025
Finance,253,73,47,2026
Marketing,291,28,58,2025
HR,408,40,40,2025
Finance,176,56,33,2024
Sales,466,9,29,2024
Finance,347,18,60,2026
HR,24,19,2,2024
HR,322,56,0,2024
Marketing,268,81,1,2026
Finance,356,35,40,2026
Operations,475,10,31,2026
HR,117,3,38,2026
HR,247,63,66,2026
Marketing,170,43,55,2025
Finance,359,8,14,2025
Finance,321,92,65,2025
Sales,249,85,58,2026
Finance,372,44,79,2024
Marketing,497,89,12,2024
Sales,264,89,41,2026
Operations,24,28,31,2025
IT,142,75,62,2026
Marketing,42,65,57,2025
Sales,297,51,71,2026
IT,386,30,53,2025
Operations,245,78,22,2024
Finance,308,12,70,2025
IT,323,96,26,2024
Operations,350,61,45,2024
Operations,250,70,64,2026
IT,398,36,53,2024
Finance,292,89,8,2024
Marketing,397,83,37,2024
Marketing,230,12,18,2024
Operations,62,43,14,2026
HR,158,8,63,2024
Marketing,82,2,7,2025
Operations,52,48,12,2026
IT,231,37,30,2024
HR,120,12,50,2024
IT,233,7,27,2026
HR,338,39,11,2026
Sales,422,20,0,2024
Sales,89,25,17,2025
HR,158,83,65,2024
HR,268,0,51,2025
HR,33,67,10,2024
Operations,20,54,6,2026
Marketing,446,53,11,2026
Sales,270,75,16,2026
HR,246,65,63,2025
IT,290,53,18,2024
Sales,136,45,46,2024
IT,275,43,6,2024
HR,497,15,20,2024
HR,403,75,62,2024
Operations,261,68,22,2026
IT,384,0,34,2024
Sales,105,96,46,2026
Operations,29,24,66,2026
IT,200,65,72,2026
Operations,480,22,55,2024
Operations,316,78,38,2026
IT,318,92,59,2025
Marketing,473,92,6,2025
Marketing,200,63,31,2025
HR,498,5,14,2026
Finance,308,43,40,2025
Sales,447,28,63,2024
HR,104,88,4,2024
Marketing,475,86,44,2025
Sales,341,11,36,2024
Operations,27,83,78,2024
Operations,169,59,34,2024
Sales,189,43,7,2025
Finance,243,14,60,2025
HR,28,39,67,2025
IT,137,46,63,2024
HR,179,54,30,2026
Sales,393,13,73,2024
Marketing,356,40,57,2025
Sales,316,16,13,2025
Finance,69,71,35,2024
Finance,322,69,60,2026
HR,237,36,29,2025
IT,191,37,18,2025
HR,214,62,74,2025
IT,234,13,69,2025
Finance,423,70,3,2026
Sales,50,9,46,2024
Finance,207,2,9,2024
Finance,430,43,58,2026
Operations,161,4,10,2024
Finance,48,70,29,2025
HR,348,84,62,2025
Sales,396,39,27,2026
IT,480,95,71,2024
Operations,493,33,75,2024
Operations,52,46,71,2025
Operations,477,20,39,2026
Finance,252,79,4,2024
Operations,403,92,41,2025
HR,71,5,45,2024
Operations,155,49,1,2025
IT,435,32,68,2024
HR,419,50,61,2026
Marketing,32,62,66,2026
Sales,264,82,57,2024
Finance,237,70,27,2024
Sales,67,5,27,2024
IT,275,29,40,2026
IT,230,29,47,2024
Sales,374,55,50,2024
HR,109,2,59,2024
Operations,339,29,46,2026
Sales,135,45,36,2025
IT,471,48,73,2024
Finance,273,5,41,2025
Sales,42,73,14,2024
HR,352,45,26,2026
Operations,380,91,34,2026
IT,474,91,52,2024
Finance,273,31,53,2024
Marketing,202,95,30,2024
Sales,374,36,33,2026
Sales,74,33,57,2024
Sales,53,36,56,2025
Operations,431,77,57,2026
Sales,258,93,15,2025
Sales,316,60,22,2026
Finance,404,71,0,2026
Sales,481,94,68,2025
Finance,442,90,29,2024
Sales,345,24,74,2024
Operations,76,35,8,2024
Operations,288,4,26,2026
Sales,94,26,46,2024
Marketing,258,87,13,2025
Finance,404,47,61,2024
HR,405,96,29,2026
IT,74,47,67,2026
IT,184,14,74,2024
IT,344,72,41,2026
Sales,93,9,29,2025
Marketing,338,17,29,2024
Finance,256,77,79,2026
IT,295,14,43,2026
Operations,253,16,46,2025
HR,284,36,29,2024
Finance,333,41,64,2025
HR,74,32,13,2025
IT,486,92,45,2026
Marketing,144,30,66,2026
Marketing,55,49,5,2024
Finance,84,40,54,2024
Finance,203,32,12,2024
Marketing,499,21,5,2025
Marketing,362,3,54,2024
IT,435,89,18,2024
IT,353,30,19,2024
Marketing,164,3,11,2024
Operations,168,2,55,2026
Marketing,309,85,56,2024
Operations,439,98,33,2024
Finance,24,36,45,2026
Operations,35,23,3,2025
Sales,31,8,16,2026
Finance,119,95,73,2025
HR,418,50,29,2026
Marketing,69,2,9,2026
IT,65,16,38,2026
Operations,358,90,2,2025
Finance,143,55,57,2024
Operations,393,4,75,2024
Sales,91,21,3,2024
IT,308,26,75,2024
Finance,190,92,48,2025
HR,283,9,54,2025
HR,269,19,41,2026
Finance,458,81,49,2026
Finance,35,27,13,2026
Marketing,263,28,5,2026
Operations,431,76,46,2025
IT,220,4,45,2026
Sales,31,54,32,2025
HR,230,11,13,2026
Finance,53,54,8,2026
Marketing,440,96,19,2026
Sales,481,60,6,2026
Finance,181,2,8,2024
Sales,111,95,66,2025
Finance,182,40,77,2025
Operations,47,54,51,2024
Sales,36,41,28,2025
Finance,431,8,71,2025
IT,265,31,55,2026
Finance,190,83,64,2026
Marketing,484,94,20,2024
Finance,179,83,31,2025
HR,86,23,35,2024
HR,195,34,49,2024
IT,205,38,51,2024
Sales,169,89,41,2025
HR,494,73,26,2025
Finance,395,20,9,2024
Finance,212,0,71,2024
Operations,55,49,22,2026
IT,422,75,48,2025
Sales,241,66,16,2024
Marketing,477,5,67,2024
Marketing,447,18,49,2024
Operations,62,40,58,2024
Operations,76,25,11,2025
IT,255,82,37,2026
Marketing,148,79,36,2026
Marketing,337,9,10,2025
IT,108,9,11,2026
IT,77,13,74,2026
HR,378,1,11,2026
Sales,32,38,59,2024
Operations,363,89,73,2026
HR,100,89,49,2024
Operations,278,78,38,2024
Sales,300,4,16,2026
IT,203,80,29,2025
HR,232,15,37,2025
HR,404,91,73,2025
Operations,346,63,6,2025
Operations,413,6,45,2026
Sales,87,41,32,2024
Finance,198,33,56,2024
HR,118,53,19,2025
Operations,178,65,22,2025
Marketing,310,59,52,2024
Operations,265,82,53,2025
Operations,234,35,65,2026
Operations,255,53,74,2025
Marketing,143,34,70,2026
Finance,472,36,12,2026
Finance,433,62,77,2025
Operations,111,46,13,2025
Operations,323,27,63,2024
Marketing,466,52,9,2026
Operations,63,28,25,2026
Operations,478,51,30,2024
Operations,141,65,66,2026
Finance,472,69,61,2025
Sales,483,66,68,2026
IT,362,4,30,2025
Marketing,188,69,29,2024
Finance,117,97,59,2024
HR,164,40,52,2026
Finance,204,9,76,2024
Marketing,48,39,2,2024
Marketing,142,13,38,2025
Operations,278,3,23,2024
Marketing,463,54,10,2026
Operations,357,15,78,2025
IT,382,41,28,2025
HR,252,41,71,2025
Sales,249,87,20,2024
Operations,221,51,64,2024
Finance,181,0,62,2025
Finance,398,34,4,2025
IT,50,64,5,2024
Marketing,393,60,70,2025
Sales,307,34,33,2025
Operations,177,23,76,2026
Finance,85,42,0,2024
Operations,38,47,15,2026
Finance,96,40,50,2024
Sales,381,96,0,2024
Marketing,205,45,78,2024
Operations,384,88,63,2026
Finance,119,3,1,2026
Sales,214,51,43,2024
Marketing,167,85,66,2024
Operations,374,63,61,2024
Finance,219,20,34,2025
HR,422,39,66,2024
HR,269,63,31,2024
IT,394,44,51,2024
IT,64,0,14,2025
Sales,429,93,58,2026
IT,334,26,79,2024
Finance,182,53,50,2024
HR,463,13,5,2024
Operations,458,56,54,2025
IT,414,48,68,2025
IT,443,53,0,2025
Operations,204,63,34,2024
Marketing,146,76,75,2025
Operations,51,97,24,2026
HR,342,97,45,2024
Operations,109,77,8,2025
Operations,131,65,64,2024
Operations,101,21,57,2026
Operations,30,54,41,2025
Finance,202,34,7,2024
HR,110,35,30,2025
Sales,464,7,32,2025
Marketing,122,47,4,2026
Operations,445,12,13,2024
HR,433,54,3,2024
Operations,338,17,74,2025
HR,458,19,49,2026
Marketing,365,57,50,2024
IT,146,75,56,2026
IT,361,8,34,2025
Marketing,445,42,17,2026
Marketing,216,11,34,2026
IT,330,12,44,2025
Operations,382,68,19,2025
IT,366,72,64,2024
Sales,123,18,18,2025
Sales,139,84,60,2024
Marketing,198,30,29,2024
HR,368,11,56,2025
HR,346,77,52,2026
Operations,326,18,27,2026
Finance,142,20,71,2026
Finance,210,27,10,2024
Marketing,42,49,22,2024
HR,342,89,10,2025
Sales,49,99,67,2024
Operations,78,53,63,2024
Marketing,356,42,65,2026
Finance,161,35,2,2026
Operations,213,55,42,2025
Operations,261,40,21,2026
Finance,494,63,78,2025
Marketing,256,19,1,2024
Marketing,481,39,27,2024
Marketing,371,39,59,2026
Marketing,430,75,22,2025
Finance,96,87,13,2026
Finance,317,68,56,2024
HR,211,61,64,2025
Sales,152,88,10,2025
IT,435,19,28,2025
Finance,77,86,34,2024
Marketing,35,65,29,2025
IT,287,65,43,2026
IT,253,76,34,2024
Finance,188,28,3,2026
Operations,129,69,8,2025
IT,397,70,45,2026
IT,132,58,70,2025
IT,193,56,13,2024
Operations,78,54,8,2025
Sales,373,90,13,2025
HR,401,77,28,2026
Sales,246,36,71,2026
HR,142,64,31,2026
HR,69,8,18,2024
IT,219,45,58,2024
Sales,381,91,36,2025
IT,462,12,31,2025
Sales,368,49,48,2024
Marketing,299,69,35,2024
Marketing,327,7,57,2026
IT,293,39,40,2024
IT,468,77,54,2026
IT,414,35,79,2025
Sales,184,8,7,2025
Finance,168,12,74,2025
Marketing,140,57,16,2025
Sales,325,89,30,2025
Marketing,185,92,10,2025
Sales,57,49,73,2025
IT,469,51,50,2024
IT,101,22,71,2025
Sales,188,3,71,2026
Sales,262,74,60,2026
IT,396,92,42,2025
Operations,95,92,3,2024
HR,170,77,59,2025
Operations,420,98,9,2025
Finance,79,19,42,2025
Sales,127,33,49,2026
Sales,406,25,62,2025
IT,73,32,60,2025
Marketing,344,47,19,2026
Sales,447,50,45,2024
Finance,280,51,30,2024
Sales,239,13,3,2024
HR,394,31,43,2026
Sales,448,4,62,2026
Marketing,278,46,2,2024
Operations,272,92,11,2025
Marketing,370,91,67,2026
Finance,208,70,0,2026
Marketing,77,69,9,2025
IT,294,2,13,2026
HR,147,51,24,2025
Sales,206,66,8,2025
Finance,190,30,58,2025
IT,377,82,31,2025
Finance,147,87,28,2025
IT,115,44,13,2024
Operations,262,23,55,2026
Marketing,56,98,31,2024
IT,276,34,56,2026
IT,236,0,61,2026
HR,209,42,39,2025
Operations,370,70,61,2026
Operations,384,90,65,2024
Finance,72,86,42,2024
Marketing,364,40,53,2024
Finance,39,25,37,2024
Finance,157,87,13,2026
IT,21,99,63,2026
Sales,189,48,79,2024
Sales,276,33,38,2025
Operations,173,57,63,2025
Finance,374,18,4,2025
Marketing,33,70,18,2024
Operations,163,28,75,2026
IT,497,79,59,2025
Finance,263,85,44,2024
HR,251,7,59,2026
Sales,377,6,0,2024
Operations,263,63,73,2024
Sales,124,28,22,2026
Finance,331,95,24,2026
Finance,468,6,18,2024
HR,462,78,26,2024
Sales,238,56,39,2024
Operations,167,99,37,2024
Operations,312,36,59,2024
Operations,465,81,46,2024
Operations,422,4,4,2025
Sales,303,59,55,2024
Marketing,51,14,4,2025
Operations,408,80,3,2024
Operations,380,61,41,2025
Operations,421,7,55,2025
Marketing,451,75,27,2025
Operations,303,45,2,2024
Marketing,201,31,16,2025
Marketing,177,10,54,2024
Finance,211,16,14,2026
Finance,306,94,77,2024
Finance,218,5,21,2025
Sales,198,51,47,2024
IT,319,85,1,2026
Sales,349,41,10,2025
Marketing,365,60,31,2024
Operations,83,63,32,2024
IT,134,9,11,2024
HR,250,42,15,2026
Operations,150,75,48,2025
IT,240,69,43,2024
Operations,428,37,21,2026
HR,124,92,3,2024
Operations,35,32,59,2026
HR,45,20,27,2026
Operations,117,39,50,2024
Sales,483,93,76,2024
Finance,487,4,23,2025
IT,283,15,8,2026
Sales,396,41,73,2026
HR,76,16,56,2025
IT,187,0,15,2026
Marketing,60,51,53,2026
Sales,444,23,43,2024
IT,354,31,25,2024
Finance,474,1,58,2026
Finance,388,26,44,2025
IT,164,10,27,2026
Operations,418,51,65,2025
Finance,239,94,32,2026
HR,189,51,30,2026
HR,47,74,0,2024
Marketing,195,39,34,2025
Sales,200,53,30,2024
Operations,319,87,11,2025
IT,242,17,8,2024
Sales,310,88,34,2024
HR,487,44,62,2024
Operations,471,96,36,2024
HR,151,85,55,2025
Operations,409,19,57,2025
Operations,483,34,12,2024
IT,121,59,23,2026
IT,175,11,49,2025
Operations,65,50,14,2026
Operations,25,61,17,2024
Marketing,336,64,20,2025
Marketing,80,96,77,2026
Sales,161,95,26,2025
Operations,241,53,78,2024
HR,321,19,6,2024
Sales,362,32,49,2026
Marketing,170,51,54,2025
Finance,465,45,26,2025
IT,297,24,53,2025
IT,455,80,10,2025
HR,287,53,1,2026
HR,279,38,23,2024
IT,313,13,58,2025
Finance,389,19,1,2025
Sales,268,21,54,2025
IT,127,38,70,2025
Finance,160,5,53,2026
Sales,131,95,1,2026
IT,272,16,72,2025
Finance,463,96,78,2026
Finance,481,79,58,2025
Marketing,238,74,77,2026
Finance,24,1,52,2026
Sales,346,43,20,2025
Marketing,67,82,29,2024
Marketing,32,56,52,2024
Finance,388,21,20,2024
Finance,40,29,28,2025
Sales,456,39,11,2026
Marketing,331,62,12,2024
Finance,188,23,36,2025
IT,357,23,56,2026
Operations,184,0,64,2024
HR,219,82,69,2026
Operations,113,85,65,2026
Operations,453,36,69,2025
IT,205,96,5,2025
HR,30,60,8,2025
Finance,208,47,21,2024
Sales,171,82,32,2026
Operations,364,8,7,2024
Finance,109,94,8,2025
Finance,239,78,27,2025
IT,448,31,51,2026
Operations,67,50,70,2025
IT,71,96,6,2025
HR,84,44,71,2025
Operations,417,43,49,2025
Finance,358,34,72,2024
Sales,333,12,16,2024
Operations,171,16,1,2025
Operations,379,45,42,2026
Marketing,200,13,44,2026
Sales,491,60,71,2026
IT,397,19,22,2024
Marketing,88,74,14,2024
Sales,98,93,62,2024
IT,201,33,30,2026
IT,373,64,57,2024
Finance,451,53,11,2024
IT,38,60,36,2024
Operations,482,83,47,2025
Finance,120,13,5,2025
IT,265,86,36,2025
Finance,27,32,13,2025
HR,417,70,54,2025
Sales,46,99,1,2024
Operations,315,38,3,2025
IT,480,3,6,2025
Operations,85,63,29,2026
Finance,222,20,13,2024
Sales,458,37,28,2024
IT,218,87,60,2024
IT,464,22,69,2024
Sales,336,16,51,2026
HR,104,71,48,2024
Finance,409,99,18,2024
Sales,320,59,36,2025
Sales,236,37,54,2026
Finance,201,48,21,2025
Operations,275,82,29,2024
HR,80,91,10,2026
Marketing,351,44,55,2025
Sales,211,61,14,2025
Finance,198,97,11,2026
Operations,309,63,43,2026
HR,491,49,75,2025
Operations,239,23,40,2026
Finance,116,27,6,2024
Finance,87,87,12,2024
Operations,305,22,64,2026
IT,167,47,75,2026
Sales,282,84,71,2024
Sales,86,79,74,2024
Finance,44,63,59,2024
HR,437,25,74,2024
Finance,143,64,34,2024
Finance,424,56,25,2026
Finance,382,77,13,2024
IT,231,89,66,2025
IT,280,54,70,2026
HR,219,21,6,2024
IT,147,4,64,2024
Marketing,268,65,60,2024
IT,432,2,22,2024
Sales,424,26,68,2025
Operations,230,38,44,2024
HR,179,8,20,2024
IT,103,46,12,2025
IT,190,30,61,2025
IT,366,71,53,2026
Marketing,383,85,75,2026
HR,460,64,58,2024
Marketing,346,86,16,2024
Sales,171,1,60,2024
IT,148,72,55,2025
Marketing,191,10,41,2025
Marketing,257,42,43,2026
Marketing,292,59,63,2026
Sales,218,32,61,2026
IT,40,61,69,2025
IT,437,26,37,2026
IT,165,94,18,2024
Finance,217,80,60,2025
Operations,233,55,13,2025
HR,497,33,39,2025
Marketing,145,24,65,2025
Finance,67,95,51,2024
Marketing,389,65,3,2024
Finance,307,99,32,2026
HR,475,85,44,2025
Operations,48,93,76,2024
Sales,186,33,18,2025
Finance,407,38,59,2025
Finance,454,74,74,2024
Sales,448,7,11,2024
Finance,163,46,23,2025
Finance,206,53,74,2025
HR,458,49,16,2026
IT,416,61,54,2024
Finance,53,57,32,2024
Sales,390,18,23,2024
HR,370,62,19,2026
Operations,245,95,74,2025
IT,351,89,78,2026
Operations,242,87,27,2024
IT,201,19,11,2025
Sales,151,44,54,2024
Finance,494,8,55,2025
HR,468,96,18,2025
Finance,138,11,42,2025
Operations,426,48,35,2026
Finance,290,20,58,2026
Sales,370,36,29,2024
Sales,392,96,13,2025
Marketing,101,15,69,2026
Sales,369,37,5,2025
Operations,302,63,51,2025
IT,378,86,29,2024
HR,337,74,52,2026
Finance,168,84,31,2026
HR,61,95,30,2026
Finance,203,9,18,2025
IT,163,59,58,2026
Finance,254,25,27,2024
Operations,222,79,40,2024
Operations,428,21,37,2024
HR,402,2,76,2025
Marketing,178,23,12,2024
Sales,396,83,40,2024
Marketing,480,16,58,2024
Finance,382,96,50,2025
Sales,79,18,53,2026
IT,86,37,25,2025
Sales,436,7,77,2026
Finance,313,13,26,2026
HR,238,88,37,2025
Sales,287,44,69,2025
HR,408,77,59,2026
HR,480,68,41,2026
IT,410,45,44,2025
HR,357,91,8,2025
IT,209,22,10,2024
IT,78,34,58,2024
Operations,42,17,59,2026
Marketing,165,70,7,2026
Operations,297,26,28,2026
Finance,110,39,39,2026
Marketing,44,65,11,2025
IT,208,70,72,2024
IT,365,94,3,2025
Marketing,97,72,51,2025
Operations,137,77,2,2024
HR,499,52,45,2024
Sales,454,9,65,2025
Finance,335,95,59,2024
