employee_id,remote_days_per_month,performance_score,work_life_balance_score,remote_suitability
5235,13,55,3,Low
41090,15,71,3,Low
63620,1,52,2,Low
64288,10,82,2,Low
34619,2,54,2,Low
6204,14,69,2,Low
41075,11,74,1,Low
10025,4,50,5,Low
74638,0,86,3,Low
5207,16,77,2,Low
18601,3,71,1,Low
68973,5,75,5,High
51569,15,50,5,Low
69595,1,79,2,Low
23743,6,51,2,Low
27497,6,81,2,Low
22872,6,80,1,Low
19049,12,95,2,Low
27504,0,90,1,Low
17354,21,84,3,Low
23682,21,78,5,High
23462,3,52,3,Low
59453,1,59,4,Low
11546,1,54,1,Low
79441,8,57,4,Low
12701,13,92,4,High
59356,8,63,1,Low
71441,7,95,1,Low
86777,15,73,3,Low
76005,6,86,4,High
28764,13,99,5,High
48587,11,87,3,Low
48766,1,65,5,Low
75624,2,99,5,High
7862,18,92,5,High
4511,19,74,2,Low
36520,17,74,3,Low
81750,13,74,3,Low
84669,3,53,5,Low
17139,0,55,4,Low
37981,10,71,3,Low
83983,20,64,1,Low
30711,1,99,3,Low
27378,2,64,3,Low
8260,14,59,3,Low
29917,11,97,2,Low
20927,11,73,1,Low
83858,21,64,2,Low
387,4,54,5,Low
28015,2,81,1,Low
50204,20,86,4,High
48211,0,88,5,High
40545,0,53,2,Low
52664,14,55,1,Low
50920,15,62,5,Low
10679,19,83,2,Low
76671,14,57,1,Low
25297,6,99,2,Low
80395,2,79,1,Low
27893,7,55,1,Low
30231,9,55,3,Low
47658,12,61,4,Low
44118,11,89,4,High
62479,10,94,1,Low
52933,5,85,1,Low
9510,5,59,1,Low
62404,4,51,3,Low
55383,13,60,3,Low
42150,12,66,4,Low
11347,8,51,2,Low
68242,19,97,1,Low
86891,10,75,1,Low
75402,21,74,2,Low
55876,8,87,2,Low
84681,9,69,4,Low
51456,13,60,1,Low
83068,18,62,1,Low
43812,17,91,5,High
67977,8,51,2,Low
68436,15,59,1,Low
25295,14,75,1,Low
53204,4,53,5,Low
11542,12,75,4,High
56812,7,60,4,Low
74404,17,63,3,Low
88501,19,69,4,Low
23340,12,81,4,High
19223,20,69,2,Low
433,17,68,5,Low
49041,15,72,3,Low
51390,6,71,1,Low
62827,8,67,5,Low
64122,12,76,3,Low
1299,0,54,2,Low
11886,14,97,4,High
21267,12,92,5,High
15901,18,84,5,High
23776,8,74,2,Low
21438,11,79,4,High
47610,14,99,4,High
58707,2,69,1,Low
48467,10,81,4,High
44367,12,69,2,Low
61046,0,82,3,Low
73601,10,51,3,Low
4854,21,59,3,Low
58904,9,73,4,High
29711,19,54,4,Low
19444,16,66,5,Low
21622,11,57,1,Low
37509,18,64,3,Low
25008,20,50,3,Low
83217,1,59,1,Low
85789,15,60,4,Low
22102,0,96,4,High
57696,16,89,5,High
5619,17,85,4,High
76955,4,98,4,High
14938,17,64,1,Low
19098,16,85,5,High
5155,10,66,2,Low
46072,18,60,3,Low
42409,6,87,1,Low
3243,10,60,2,Low
49141,3,64,4,Low
79230,10,61,5,Low
36865,12,80,3,Low
12752,17,72,1,Low
84473,17,65,2,Low
1668,7,89,3,Low
77754,7,96,4,High
48899,7,96,1,Low
19871,3,58,1,Low
25670,16,91,1,Low
46084,15,56,5,Low
26371,18,52,4,Low
11041,9,81,2,Low
15300,11,82,4,High
18685,17,98,3,Low
36120,3,77,5,High
46374,17,96,2,Low
66594,3,53,2,Low
1976,7,73,3,Low
53328,3,57,5,Low
21133,0,50,5,Low
70619,5,75,4,High
3330,1,71,3,Low
45304,21,55,5,Low
66473,19,86,1,Low
79033,16,94,5,High
42257,10,83,5,High
30056,0,52,4,Low
16296,14,89,4,High
30575,20,54,5,Low
9410,15,69,3,Low
12750,6,75,3,Low
54056,16,69,1,Low
86805,0,80,3,Low
64169,13,55,5,Low
20237,21,93,3,Low
81659,14,66,2,Low
63416,10,55,1,Low
67134,3,73,1,Low
36631,9,67,3,Low
1642,3,60,4,Low
60796,11,75,4,High
19796,18,85,4,High
27457,6,88,4,High
31281,10,94,2,Low
19106,7,77,4,High
1084,0,88,5,High
10115,18,52,5,Low
61666,7,93,4,High
38423,9,55,4,Low
11854,4,63,4,Low
19493,3,55,1,Low
51362,19,75,3,Low
30295,14,62,3,Low
75725,21,69,4,Low
37044,4,71,1,Low
3063,11,94,4,High
28022,5,99,2,Low
64128,17,64,5,Low
55393,10,85,1,Low
17616,12,99,4,High
63580,0,89,5,High
56305,12,96,4,High
22324,5,57,1,Low
79704,21,50,1,Low
66928,7,57,4,Low
27645,4,51,3,Low
47455,18,63,5,Low
56023,20,96,4,High
76039,18,76,4,High
19137,21,73,3,Low
89086,1,80,4,High
14228,7,67,3,Low
8385,4,81,3,Low
60574,7,76,5,High
15470,1,72,5,High
17632,9,58,3,Low
10477,18,63,4,Low
83602,0,60,3,Low
52233,19,85,4,High
31605,19,70,4,Low
17888,5,71,1,Low
15609,8,81,5,High
18304,0,67,3,Low
43360,3,57,4,Low
79576,6,71,5,High
21244,13,91,2,Low
9831,9,91,1,Low
72196,3,96,3,Low
42786,18,59,5,Low
22411,1,73,4,High
84505,8,96,1,Low
46465,15,97,3,Low
28512,6,99,5,High
28568,1,59,5,Low
35939,4,93,5,High
26067,16,57,3,Low
84536,0,65,4,Low
10687,20,74,4,High
20479,2,94,2,Low
7793,9,68,5,Low
75105,10,69,5,Low
50005,5,53,3,Low
25386,8,90,3,Low
67007,0,93,5,High
88974,1,57,5,Low
52527,14,74,5,High
3616,20,56,2,Low
75236,8,55,1,Low
59780,13,64,1,Low
68752,6,99,1,Low
73754,12,95,4,High
55389,9,55,2,Low
86993,11,63,3,Low
47081,14,76,5,High
65029,5,55,5,Low
52016,5,92,2,Low
24236,15,77,5,High
74777,3,61,5,Low
22720,8,53,2,Low
53604,10,94,3,Low
10582,19,63,5,Low
42253,5,75,1,Low
69475,1,83,1,Low
26591,19,85,3,Low
74140,17,92,5,High
42482,3,97,3,Low
24907,5,91,5,High
39077,20,76,5,High
61579,10,67,5,Low
61494,21,55,4,Low
58358,13,75,1,Low
40463,10,92,3,Low
82955,17,93,5,High
85856,2,95,4,High
22900,0,96,4,High
64706,1,94,3,Low
33465,0,96,2,Low
26309,15,76,1,Low
22069,11,68,1,Low
80661,10,74,5,High
5612,21,54,4,Low
87893,9,52,4,Low
65017,4,86,1,Low
81276,11,99,5,High
65595,7,54,4,Low
160,9,51,4,Low
86930,17,77,5,High
65100,15,64,2,Low
51766,3,57,4,Low
41221,17,68,1,Low
30859,2,81,1,Low
4160,0,90,4,High
19426,9,72,3,Low
5931,9,54,2,Low
35389,6,86,4,High
36077,17,71,2,Low
20197,3,87,2,Low
58857,10,69,4,Low
48919,16,54,2,Low
31633,10,91,3,Low
51286,8,59,5,Low
15838,16,81,5,High
54547,7,55,2,Low
89423,9,77,5,High
29681,3,70,5,Low
39568,13,56,2,Low
68612,7,91,2,Low
1169,4,53,1,Low
52773,9,93,5,High
32523,7,58,1,Low
6795,0,76,3,Low
58631,16,76,2,Low
82196,15,58,1,Low
81577,3,83,2,Low
67077,15,91,1,Low
8677,21,78,5,High
19884,21,62,4,Low
86281,17,86,1,Low
83377,12,61,1,Low
16821,7,94,4,High
74863,0,88,5,High
72954,11,75,1,Low
14795,5,96,1,Low
10730,20,68,3,Low
13825,6,84,3,Low
28725,14,91,1,Low
14632,3,59,2,Low
11305,10,59,5,Low
51958,10,77,3,Low
20682,13,86,1,Low
15761,20,64,4,Low
23060,3,89,2,Low
63578,19,78,3,Low
61912,4,63,4,Low
4109,14,76,3,Low
81778,18,69,3,Low
48404,19,57,1,Low
73732,10,92,4,High
66151,1,76,1,Low
69367,19,56,5,Low
57926,1,84,5,High
85499,14,69,1,Low
32818,0,60,1,Low
6964,14,84,4,High
7144,15,65,2,Low
49044,20,72,1,Low
53708,3,51,5,Low
35988,2,82,3,Low
9875,10,61,2,Low
6739,6,90,3,Low
58719,9,99,2,Low
60563,3,85,5,High
34383,4,74,3,Low
4472,15,62,2,Low
16427,7,66,3,Low
9346,15,79,1,Low
32356,5,62,2,Low
19028,12,63,4,Low
778,17,90,5,High
49847,6,54,3,Low
32700,15,68,5,Low
45811,4,51,2,Low
12779,10,69,1,Low
40573,18,56,4,Low
29459,3,94,1,Low
61685,1,70,2,Low
11601,9,77,5,High
76594,16,63,1,Low
44874,10,74,2,Low
70448,17,80,1,Low
29605,18,79,4,High
6651,10,77,5,High
8168,17,69,2,Low
75647,20,71,4,High
18197,14,66,5,Low
1776,12,84,3,Low
62472,15,75,4,High
18611,8,51,1,Low
58221,12,91,5,High
50977,17,71,2,Low
63576,2,98,2,Low
55315,16,80,2,Low
83833,8,99,1,Low
25187,13,73,4,High
7060,2,61,4,Low
10671,5,54,1,Low
25576,8,73,4,High
55864,9,76,4,High
4673,20,83,1,Low
1770,12,91,4,High
16874,19,81,2,Low
47164,21,97,1,Low
40751,6,74,4,High
41285,8,88,3,Low
6566,2,80,2,Low
47240,3,56,3,Low
75693,4,79,4,High
49966,2,79,5,High
74337,19,79,1,Low
5146,14,70,1,Low
84096,13,84,2,Low
36518,9,77,5,High
25934,19,56,5,Low
17795,4,93,5,High
65786,7,62,2,Low
67358,10,62,3,Low
51180,0,64,3,Low
8252,1,88,5,High
25517,21,53,5,Low
80790,9,98,5,High
14847,9,80,4,High
59288,3,86,3,Low
85049,2,92,2,Low
60561,17,74,4,High
1112,14,88,3,Low
40220,7,90,2,Low
28423,4,90,2,Low
53273,2,74,2,Low
36120,1,65,3,Low
83877,0,69,2,Low
34254,3,85,5,High
83934,3,53,5,Low
10264,0,97,2,Low
40614,17,73,2,Low
24682,9,94,1,Low
57012,10,77,3,Low
28494,13,51,5,Low
68152,5,95,1,Low
79877,6,97,4,High
81589,9,60,4,Low
83430,19,82,1,Low
80004,20,50,2,Low
72111,0,76,5,High
31675,10,53,4,Low
23553,12,86,2,Low
3592,7,96,2,Low
63039,21,52,5,Low
54631,14,71,1,Low
6250,3,91,5,High
59106,11,76,3,Low
19970,7,91,3,Low
79916,8,66,2,Low
16306,3,92,5,High
1743,11,77,1,Low
80395,12,57,4,Low
36114,7,53,5,Low
66728,4,77,1,Low
32692,18,91,1,Low
37965,1,96,1,Low
27774,9,81,3,Low
75180,15,60,2,Low
57984,8,97,3,Low
77881,6,61,4,Low
62613,13,68,5,Low
66742,4,69,5,Low
64488,12,77,5,High
64601,6,73,3,Low
59816,13,90,2,Low
29029,0,54,5,Low
23658,13,57,4,Low
41494,4,52,5,Low
52812,13,68,1,Low
16958,6,91,1,Low
7630,17,60,4,Low
29319,16,56,2,Low
16938,10,70,1,Low
42239,14,97,2,Low
49415,3,86,2,Low
74588,6,58,2,Low
29720,1,94,2,Low
17234,17,83,3,Low
87981,1,86,1,Low
7021,10,94,2,Low
8560,2,58,3,Low
30691,4,65,4,Low
80894,11,94,3,Low
69081,3,59,3,Low
52739,19,96,5,High
16945,12,76,5,High
4760,17,88,3,Low
74505,1,70,3,Low
48393,19,74,2,Low
67343,3,67,1,Low
7317,9,56,2,Low
74031,1,91,2,Low
70235,21,54,4,Low
48878,8,74,5,High
11983,13,91,1,Low
89471,0,75,5,High
19559,7,92,5,High
73191,20,55,1,Low
57906,10,68,4,Low
2043,9,70,3,Low
3155,21,54,3,Low
6862,21,69,5,Low
88208,10,55,3,Low
39389,19,94,1,Low
49891,7,69,5,Low
17156,11,71,5,High
63062,20,79,1,Low
46148,15,83,4,High
32077,20,79,2,Low
50535,1,84,5,High
67071,20,70,5,Low
87716,3,78,3,Low
67320,18,64,2,Low
3131,9,54,3,Low
3356,19,89,5,High
13844,17,69,1,Low
83515,15,93,2,Low
21833,15,56,1,Low
6987,0,85,1,Low
10999,7,99,5,High
22601,10,66,2,Low
16888,3,64,3,Low
53748,0,65,2,Low
42856,7,75,5,High
29876,1,51,3,Low
56417,12,87,1,Low
55179,6,55,4,Low
40177,19,77,2,Low
62628,0,89,3,Low
42293,8,75,3,Low
26600,0,87,5,High
42727,10,92,3,Low
51925,16,67,5,Low
22695,8,70,2,Low
88959,13,50,3,Low
27668,0,55,1,Low
26670,17,68,5,Low
41768,20,75,2,Low
70280,13,81,4,High
26508,6,82,1,Low
86516,21,83,2,Low
74762,12,99,2,Low
20852,7,63,4,Low
4126,9,95,4,High
71748,14,53,3,Low
35992,3,99,4,High
54753,4,75,5,High
31663,1,93,3,Low
68241,16,72,3,Low
67870,9,97,4,High
53731,10,93,5,High
79924,19,99,3,Low
50178,4,96,2,Low
43053,4,63,4,Low
32524,4,55,4,Low
29023,17,76,5,High
14277,11,65,2,Low
75030,5,86,2,Low
27130,1,64,1,Low
23090,9,60,4,Low
53580,14,54,4,Low
41528,15,94,1,Low
53562,8,84,2,Low
21633,5,98,4,High
66733,18,70,1,Low
17405,8,91,5,High
54638,17,69,5,Low
28645,7,78,1,Low
53473,13,80,3,Low
83296,7,60,3,Low
32301,13,83,5,High
59368,12,63,2,Low
37578,4,94,3,Low
18654,21,64,3,Low
14845,2,89,5,High
76607,18,91,1,Low
81907,1,69,2,Low
76439,5,58,5,Low
4534,11,60,2,Low
47914,2,68,5,Low
13473,8,51,3,Low
35019,10,76,4,High
39082,1,76,3,Low
73072,18,60,5,Low
17787,2,93,3,Low
87012,20,68,2,Low
68766,5,70,2,Low
47845,6,59,5,Low
44590,18,70,5,Low
66748,19,84,3,Low
17114,17,54,2,Low
84438,5,76,1,Low
45891,11,66,5,Low
56193,5,73,3,Low
60936,20,56,4,Low
21110,1,82,2,Low
67793,18,80,2,Low
49021,12,56,2,Low
13040,18,61,1,Low
56084,1,76,5,High
3419,18,76,5,High
30770,11,98,4,High
29638,14,52,1,Low
24803,14,69,4,Low
33054,3,90,5,High
65551,13,50,4,Low
51304,20,77,5,High
36560,11,55,5,Low
19088,5,64,3,Low
28795,20,76,2,Low
52210,13,77,5,High
19277,4,84,4,High
4317,15,60,4,Low
5726,4,57,2,Low
55572,12,96,3,Low
23478,4,85,5,High
61253,16,91,4,High
45288,2,84,2,Low
2632,0,59,1,Low
8006,15,84,5,High
28048,14,90,4,High
16595,17,74,3,Low
16494,5,96,1,Low
88012,1,77,5,High
76029,6,92,1,Low
55954,12,54,4,Low
51556,4,67,5,Low
64752,9,93,5,High
29671,11,54,3,Low
16934,1,59,5,Low
87140,5,67,3,Low
72400,18,98,3,Low
43519,1,51,4,Low
56333,18,77,2,Low
48051,1,50,5,Low
32566,20,83,4,High
40698,2,72,1,Low
76848,20,89,3,Low
22088,10,83,5,High
58911,17,96,1,Low
60487,1,87,4,High
29978,7,56,2,Low
56549,0,91,3,Low
87701,6,97,5,High
61680,0,76,3,Low
23683,19,61,4,Low
18308,18,52,5,Low
36051,0,74,5,High
19326,21,51,5,Low
80037,20,58,5,Low
38298,20,65,5,Low
46900,10,87,4,High
34884,17,53,3,Low
39453,11,55,5,Low
33491,21,74,3,Low
65989,16,82,5,High
60277,14,93,4,High
30247,3,50,5,Low
66087,7,83,5,High
65101,3,84,1,Low
37039,7,81,5,High
25457,17,68,4,Low
33054,8,80,5,High
67676,0,98,3,Low
57440,1,98,1,Low
83414,21,98,5,High
45433,5,91,3,Low
51655,15,64,5,Low
61567,8,78,5,High
46118,14,68,1,Low
59249,20,63,3,Low
78136,3,80,2,Low
26141,0,59,4,Low
73141,18,97,2,Low
15210,5,68,4,Low
86579,9,89,1,Low
13018,0,80,3,Low
77226,8,98,1,Low
24923,3,51,1,Low
33545,2,79,3,Low
3829,1,62,1,Low
66129,5,95,5,High
24066,3,98,5,High
29215,1,85,4,High
44920,0,80,1,Low
62720,18,60,4,Low
64378,2,71,5,High
26217,17,94,4,High
50028,5,52,2,Low
10136,4,53,3,Low
18929,0,72,5,High
53439,18,58,2,Low
47422,11,76,1,Low
36951,20,90,4,High
22946,0,59,3,Low
69008,0,90,3,Low
63940,5,84,5,High
31391,0,66,5,Low
47749,7,82,3,Low
47664,19,74,3,Low
88502,20,91,1,Low
5874,11,80,3,Low
26409,4,72,4,High
82010,11,84,1,Low
61207,20,80,3,Low
85312,20,94,1,Low
75465,1,94,5,High
87915,5,88,4,High
14887,0,69,5,Low
8003,8,81,4,High
12561,11,72,1,Low
29378,14,73,1,Low
38236,10,91,3,Low
52085,21,72,3,Low
68415,11,94,3,Low
74834,2,83,4,High
79236,2,67,5,Low
75026,16,63,4,Low
79462,4,97,2,Low
40908,0,88,5,High
79103,17,62,3,Low
43459,18,59,2,Low
24784,21,91,3,Low
3947,21,62,4,Low
51642,3,55,3,Low
60494,12,72,4,High
75936,1,75,3,Low
58905,1,77,4,High
70809,2,93,5,High
80989,9,99,1,Low
25830,5,68,4,Low
83946,16,71,3,Low
1682,5,97,4,High
51402,3,51,1,Low
46408,13,65,4,Low
39984,14,86,3,Low
83051,4,98,3,Low
71603,15,91,5,High
77622,18,99,5,High
79238,6,74,2,Low
74430,10,88,5,High
86672,4,56,5,Low
46514,3,72,1,Low
78597,10,72,1,Low
42417,21,85,4,High
18089,15,52,2,Low
11013,14,78,2,Low
88934,12,78,2,Low
47814,18,78,3,Low
69301,10,55,3,Low
28730,8,91,5,High
75898,3,61,3,Low
31474,7,68,5,Low
22421,20,57,4,Low
3828,19,61,4,Low
74897,18,56,1,Low
25160,12,88,4,High
32396,6,50,1,Low
2658,19,73,5,High
36107,19,67,5,Low
84950,2,91,2,Low
41277,18,56,4,Low
28657,12,88,3,Low
13056,12,98,4,High
71648,7,58,3,Low
67697,14,72,4,High
32081,8,57,2,Low
71247,15,62,4,Low
57022,21,85,2,Low
64976,5,54,5,Low
52211,14,52,5,Low
3162,19,96,1,Low
86968,1,70,3,Low
78348,13,67,1,Low
63612,2,97,3,Low
86527,9,99,2,Low
7695,1,77,1,Low
19405,21,98,4,High
1446,8,65,1,Low
52624,12,92,2,Low
75333,12,87,3,Low
33974,5,82,5,High
85911,8,58,3,Low
57852,0,81,4,High
43821,11,99,3,Low
5693,8,91,5,High
34356,10,57,3,Low
73640,21,61,1,Low
20691,14,66,3,Low
85160,10,73,2,Low
47385,18,92,2,Low
10528,15,56,4,Low
84839,13,74,4,High
22556,17,53,2,Low
79040,14,63,3,Low
49977,9,76,5,High
14225,6,89,2,Low
76901,4,63,1,Low
37296,15,60,2,Low
64236,6,78,4,High
12470,1,67,3,Low
42619,21,87,3,Low
32925,9,95,1,Low
77962,1,88,3,Low
64567,18,62,4,Low
58026,7,75,4,High
56965,12,70,5,Low
30138,20,80,2,Low
59962,0,73,3,Low
18933,19,80,1,Low
5253,18,89,3,Low
33912,3,88,3,Low
30770,4,69,3,Low
68376,4,59,2,Low
16244,0,82,3,Low
66377,20,60,3,Low
25197,11,72,5,High
1860,13,90,2,Low
33312,19,80,4,High
79160,12,72,3,Low
56462,5,92,5,High
23253,17,58,5,Low
18056,8,83,1,Low
51574,0,56,4,Low
14944,20,62,5,Low
4328,11,51,1,Low
83378,16,95,3,Low
74421,13,79,1,Low
52172,10,91,2,Low
8534,15,57,1,Low
88743,12,88,4,High
37855,11,65,1,Low
66214,16,67,5,Low
26740,1,97,3,Low
44716,0,75,1,Low
35560,2,99,1,Low
32409,0,87,3,Low
8920,15,50,1,Low
23274,18,62,3,Low
81147,19,99,5,High
85975,7,96,4,High
2539,21,69,3,Low
60410,12,53,1,Low
61470,9,63,3,Low
1595,15,58,1,Low
58103,21,54,2,Low
76535,10,51,2,Low
8082,2,90,4,High
80197,11,96,1,Low
37634,8,95,3,Low
46044,19,52,4,Low
19593,15,95,5,High
77762,0,98,5,High
23754,15,62,4,Low
41115,1,72,2,Low
69217,7,62,4,Low
61,14,81,4,High
50632,12,91,4,High
52579,7,64,2,Low
79663,9,90,1,Low
56575,6,68,5,Low
60817,2,53,1,Low
18524,20,88,3,Low
52140,13,99,1,Low
61915,16,81,1,Low
35100,13,75,3,Low
28029,10,74,2,Low
3751,18,84,2,Low
88916,12,56,4,Low
16178,6,90,3,Low
41118,2,76,2,Low
33083,15,96,5,High
9261,16,71,2,Low
64620,3,54,5,Low
41043,8,50,2,Low
78055,9,85,3,Low
8574,10,88,2,Low
27178,21,84,3,Low
51890,9,72,4,High
18625,4,80,4,High
80142,10,96,4,High
9054,18,52,2,Low
21406,15,85,1,Low
61571,4,89,1,Low
78634,20,59,5,Low
51023,4,52,2,Low
74539,17,90,1,Low
31511,13,98,3,Low
37713,0,71,2,Low
1658,11,73,1,Low
18291,1,71,4,High
39805,11,60,3,Low
81537,20,83,1,Low
66506,20,97,2,Low
2226,1,71,2,Low
32182,17,70,3,Low
1470,15,64,3,Low
13851,6,89,4,High
71360,6,67,3,Low
64756,21,57,5,Low
41308,12,81,2,Low
23954,12,56,3,Low
43179,1,93,4,High
54711,12,86,4,High
7,6,60,5,Low
64091,17,61,2,Low
62455,9,84,5,High
54299,0,75,3,Low
62768,6,67,2,Low
12325,20,86,2,Low
84464,5,84,1,Low
75356,11,57,4,Low
87322,0,92,4,High
8920,4,58,4,Low
2394,0,95,1,Low
31395,7,63,4,Low
3408,17,66,4,Low
14559,17,57,1,Low
75607,13,50,5,Low
10697,16,92,3,Low
23990,14,71,2,Low
59372,0,54,4,Low
48544,11,91,5,High
26680,11,65,4,Low
15866,14,55,3,Low
2850,14,50,2,Low
77429,15,61,3,Low
66747,6,77,2,Low
21092,0,64,2,Low
17711,16,86,2,Low
24619,15,72,4,High
39133,11,86,3,Low
75492,0,95,5,High
82360,16,55,5,Low
53373,7,78,2,Low
53331,9,88,3,Low
87112,5,51,4,Low
82805,3,53,2,Low
5856,0,99,2,Low
26448,13,86,3,Low
77981,8,90,3,Low
43076,13,75,2,Low
48461,13,98,4,High
32238,6,74,2,Low
75702,7,92,5,High
19967,5,92,2,Low
80802,6,53,1,Low
68698,11,95,5,High
12802,17,61,4,Low
10392,8,99,3,Low
88202,18,53,4,Low
73967,21,50,3,Low
73708,21,92,4,High
52483,19,50,4,Low
35444,14,71,1,Low
52372,3,74,1,Low
64488,8,96,4,High
9148,7,56,5,Low
86425,2,74,3,Low
68241,15,96,3,Low
88783,8,67,3,Low
50779,9,75,4,High
63097,18,91,3,Low
54146,14,65,3,Low
22091,4,93,5,High
431,16,78,3,Low
8591,13,99,3,Low
13260,19,83,1,Low
45707,4,87,4,High
41419,11,64,2,Low
78017,8,65,1,Low
56855,14,94,2,Low
32941,16,55,2,Low
89677,17,88,3,Low
22386,1,78,2,Low
73007,6,90,5,High
38017,1,89,2,Low
12120,20,86,4,High
39397,6,91,3,Low
59702,11,54,4,Low
88346,19,68,2,Low
17017,11,93,2,Low
80080,19,90,3,Low
10905,21,72,3,Low
7970,5,86,3,Low
49979,19,59,3,Low
32153,11,94,2,Low
83897,15,52,1,Low
18312,0,81,1,Low
18799,0,88,4,High
48262,18,55,3,Low
30867,9,52,1,Low
84694,13,87,5,High
88320,2,87,5,High
73447,20,66,2,Low
64562,21,86,3,Low
29157,20,74,2,Low
35024,13,82,3,Low
57814,9,78,5,High
42610,11,81,2,Low
67403,12,83,2,Low
7333,18,81,1,Low
67873,14,76,4,High
1072,15,85,5,High
45957,19,80,5,High
63800,14,52,2,Low
89320,10,51,1,Low
12660,12,97,4,High
80830,16,79,2,Low
2239,2,72,5,High
17841,16,95,4,High
21865,20,64,1,Low
69200,8,70,5,Low
33617,2,56,3,Low
79647,16,51,2,Low
2143,11,66,4,Low
60729,7,72,5,High
30330,14,66,1,Low
48851,17,85,3,Low
64766,5,74,5,High
32998,11,72,1,Low
1669,21,54,1,Low
8456,8,70,2,Low
7607,12,94,5,High
80768,20,60,5,Low
67995,17,54,1,Low
35014,9,54,3,Low
52236,8,83,2,Low
3566,21,63,2,Low
89770,21,61,3,Low
59415,18,63,1,Low
864,9,86,5,High
33892,12,86,3,Low
78381,11,76,1,Low
71843,1,58,2,Low
33148,7,94,3,Low
41492,12,91,4,High
30819,8,92,4,High
7033,20,63,1,Low
67797,6,82,1,Low
61403,2,60,5,Low
62984,13,91,2,Low
25592,7,91,3,Low
67794,10,86,4,High
24200,18,87,5,High
36359,21,77,5,High
11099,3,98,1,Low
73227,9,56,5,Low
5930,6,70,2,Low
43952,2,65,5,Low
8950,6,55,2,Low
31753,21,71,3,Low
60790,18,90,5,High
81326,5,81,4,High
4049,8,62,3,Low
65550,16,72,5,High
79504,10,71,5,High
64496,10,97,1,Low
87379,6,91,4,High
9883,13,99,1,Low
34472,8,99,3,Low
29097,10,73,2,Low
37562,10,95,2,Low
25319,4,59,3,Low
51483,2,94,5,High
11979,9,62,1,Low
42665,4,66,4,Low
4539,3,55,4,Low
29594,13,51,2,Low
85571,1,65,2,Low
39549,0,89,5,High
17750,8,65,3,Low
77445,13,73,3,Low
43685,11,53,4,Low
7794,14,56,3,Low
58097,17,97,5,High
59451,9,52,5,Low
3373,7,92,4,High
61396,2,63,3,Low
47782,3,53,1,Low
87484,6,75,1,Low
15278,0,80,2,Low
8049,5,69,2,Low
57327,4,58,1,Low
58011,17,55,5,Low
81445,0,88,4,High
71519,9,84,5,High
39957,6,54,1,Low
75603,9,62,2,Low
75198,19,79,3,Low
66602,9,73,3,Low
5356,3,72,4,High
77327,16,55,2,Low
79909,15,79,4,High
51435,14,75,1,Low
16311,14,82,3,Low
59629,11,67,1,Low
89655,14,75,4,High
16610,17,78,4,High
25642,15,65,4,Low
16471,13,89,2,Low
36994,10,96,3,Low
32761,12,59,3,Low
83412,13,55,1,Low
3310,1,90,1,Low
33156,1,65,5,Low
71443,21,56,1,Low
63341,19,73,2,Low
72862,8,57,4,Low
60370,11,67,2,Low
34954,11,81,4,High
3340,0,93,4,High
53074,0,93,2,Low
81156,3,99,5,High
63260,10,74,1,Low
11006,4,83,3,Low
75953,5,58,1,Low
38672,10,69,1,Low
75917,17,51,1,Low
83413,13,64,5,Low
20625,6,79,5,High
38211,8,80,1,Low
16134,13,51,4,Low
7725,1,51,2,Low
34836,3,88,5,High
14502,21,92,1,Low
15980,8,89,3,Low
45820,3,87,1,Low
14728,15,51,5,Low
27089,19,77,1,Low
1136,4,66,5,Low
15650,15,98,5,High
31985,12,52,4,Low
11374,20,69,3,Low
83479,0,72,4,High
62466,16,92,1,Low
34533,7,64,5,Low
26989,6,58,1,Low
40921,17,72,3,Low
61518,12,96,4,High
42612,1,96,5,High
52134,7,68,1,Low
9066,11,99,3,Low
14532,14,68,1,Low
75924,14,95,4,High
39785,7,86,5,High
30361,7,73,3,Low
64714,3,97,5,High
565,12,64,5,Low
79685,1,87,5,High
23397,1,89,3,Low
46615,16,59,4,Low
8592,12,59,1,Low
65569,21,98,2,Low
71200,11,86,2,Low
63633,13,84,2,Low
45475,4,57,3,Low
61186,0,60,2,Low
61286,12,57,2,Low
79624,12,79,5,High
22154,17,95,4,High
43674,15,80,1,Low
19918,14,62,5,Low
37509,1,60,1,Low
24550,21,72,1,Low
34062,9,69,2,Low
68392,11,81,4,High
83498,13,59,4,Low
8173,7,94,4,High
75964,16,52,4,Low
87867,10,98,4,High
5032,10,82,5,High
48055,11,97,5,High
83695,11,55,1,Low
42143,16,67,1,Low
504,19,96,3,Low
22499,17,52,2,Low
54485,19,55,5,Low
47258,9,72,4,High
18588,15,83,2,Low
46665,7,70,3,Low
64517,4,72,5,High
45865,2,51,4,Low
10639,11,80,3,Low
53175,0,94,2,Low
86632,18,81,2,Low
87075,5,88,3,Low
63651,7,65,1,Low
8406,17,87,5,High
70571,19,76,5,High
36191,20,61,2,Low
81852,1,92,3,Low
1747,0,73,5,High
70712,18,54,1,Low
38123,16,93,5,High
49761,9,70,1,Low
16541,4,87,1,Low
73225,6,84,1,Low
35346,20,59,3,Low
63759,17,77,4,High
86784,15,98,5,High
53484,5,80,5,High
31999,16,86,3,Low
83057,1,60,4,Low
37835,15,53,3,Low
1469,16,53,3,Low
84235,12,88,2,Low
12338,0,73,5,High
4400,18,64,4,Low
2539,21,58,1,Low
